spp,median_Nmax
Altcal,1
Altcom,1
Altshe,1
Asplep,2
Astbur,1.5
Auldew,2
Batfas,1
Batfer,7
BenhoM,1
Benhor,1
Boumic,1
Calmac,1
Calple,1
Chabif,1
Chabri,1
Chacya,1
Chando,1
Cphfro,1
Ctehor,1
Cunlon,1
Cyafoa,1
Cyafur,1
Cypcol,2
Cypdwj,2
Cypkan,3.5
Cyplep,2
Cypmic,2
Cyppav,1
Cypzon,1
Ectdes,4.5
Enamel,3
Erecya,2
Eremar,1
Gnaper,1
Gnapfe,1
Gralem,2
Hapmic,2
Intloo,1
Juldic,1
JulmaN,1
JulmaS,1
Julorn,1
Julreg,1
JulreK,1
Lamcal,2
Lamlem,1
Lamoce,1
Lamorn,1
Lamsig,1
Lchaur,1
Lepatt,2
Lepcun,1
Lepelo,2
Lepken,1
LepmeK,1
Lepmim,1
Leppro,1
Lesper,4
Limdar,2
Loblab,1
Mdcten,6
Neobou,2
Neobre,3
Neobri,8
Neobue,1
NeocaK,3
Neocal,2
Neocau,6
Neochi,1
Neochr,1
Neocyg,1
Neocyl,1
Neoese,1
Neofal,2
NeofaM,2.5
Neofur,1
NeogrM,3
Neoleu,1
Neolou,2.5
Neomee,2
Neomod,1
Neomon,2
Neomul,7
Neomux,1
Neonig,1.5
Neoobs,1
Neopro,1
Neopul,7
Neosav,1
Neosex,1
Neotet,1
Neotoa,2
Neotre,1
Neowal,6
Ophboo,1
Ophnas,1
Ophpar,2
Ophven,2
Ophwhi,2
Pcybri,8
PcybrN,16
Pcynig,1.5
Permic,1
Peteph,1
Petfam,1
Petfas,2
Petgia,1
Pethor,1
Petiko,1
Petkas,1
Petkip,1
Petmos,2
Petort,1
Petpol,1
Petrai,1
Petred,1
Pettex,1
Pettre,1
Plepar,1
Plestr,1
Psccur,1
Regcal,1
Simdia,2
Spaery,1
Tanirs,1
Telbif,3
TeldhN,1
TeldhS,1.5
Telshe,3
TelteS,1
Telvit,2
Trioto,3
Trobri,1
Trodub,1
Trokir,1.5
Troluk,1
Tromoo,1
Tropol,2
Trored,1
Varmoo,2
Xenbat,2
Xenbou,2
Xencau,1
Xenfla,2
Xenoch,3
Xensin,1
Xenspi,2
XenspN,2
Xensun,1
