species	grouping
Altcal	S
Altcom	S
Altshe	S
Asplep	G
Astbur	G
Auldew	G
Batfas	S
Batfer	G
BenhoM	S
Benhor	S
Boumic	S
Calmac	S
Calple	S
Chabif	S
Chabri	S
Chacya	S
Chando	S
Cphfro	S
Ctehor	S
Cunlon	S
Cyafoa	S
Cyafur	S
Cypcol	G
Cypdwj	G
Cypkan	G
Cyplep	G
Cypmic	G
Cyppav	S
Cypzon	S
Ectdes	G
Enamel	G
Erecya	G
Eremar	S
Gnaper	S
Gnapfe	S
Gralem	G
Hapmic	G
Intloo	S
Juldic	S
JulmaN	S
JulmaS	S
Julorn	S
Julreg	S
JulreK	S
Lamcal	G
Lamlem	S
Lamoce	S
Lamorn	S
Lamsig	S
Lchaur	S
Lepatt	G
Lepcun	S
Lepelo	G
Lepken	S
LepmeK	S
Lepmim	S
Leppro	S
Lesper	G
Limdar	G
Loblab	S
Mdcten	G
Neobou	G
Neobre	G
Neobri	G
Neobue	S
NeocaK	G
Neocal	G
Neocau	G
Neochi	S
Neochr	S
Neocyg	S
Neocyl	S
Neoese	S
Neofal	G
NeofaM	G
Neofur	S
NeogrM	G
Neoleu	S
Neolou	G
Neomee	G
Neomod	S
Neomon	G
Neomul	G
Neomux	S
Neonig	G
Neoobs	S
Neopro	S
Neopul	G
Neosav	S
Neosex	S
Neotet	S
Neotoa	G
Neotre	S
Neowal	G
Ophboo	S
Ophnas	S
Ophpar	G
Ophven	G
Ophwhi	G
Pcybri	G
PcybrN	G
Pcynig	G
Permic	S
Peteph	S
Petfam	S
Petfas	G
Petgia	S
Pethor	S
Petiko	S
Petkas	S
Petkip	S
Petmos	G
Petort	S
Petpol	S
Petrai	S
Petred	S
Pettex	S
Pettre	S
Plepar	S
Plestr	S
Psccur	S
Regcal	S
Simdia	G
Spaery	S
Tanirs	S
Telbif	G
TeldhN	S
TeldhS	G
Telshe	G
TelteS	S
Telvit	G
Trioto	G
Trobri	S
Trodub	S
Trokir	G
Troluk	S
Tromoo	S
Tropol	G
Trored	S
Varmoo	G
Xenbat	G
Xenbou	G
Xencau	S
Xenfla	G
Xenoch	G
Xensin	S
Xenspi	G
XenspN	G
Xensun	S
