id	sample	region	phenotype	species
Mu12DE	12DE	Diencephalon	Solitary	Multifasciatus
Mu12TL	12TL	Telencephalon	Solitary	Multifasciatus
Or20DE	20DE	Diencephalon	Solitary	Ornatipinnis
Or20TL	20TL	Telencephalon	Solitary	Ornatipinnis
Or23DE	23DE	Diencephalon	Solitary	Ornatipinnis
Or23TL	23TL	Telencephalon	Solitary	Ornatipinnis
Or26DE	26DE	Diencephalon	Solitary	Ornatipinnis
Or26TL	26TL	Telencephalon	Solitary	Ornatipinnis
Mu28DE	28DE	Diencephalon	Solitary	Multifasciatus
Mu28TL	28TL	Telencephalon	Solitary	Multifasciatus
Me31DE	31DE	Diencephalon	Group-Living	Meeli
Me31TL	31TL	Telencephalon	Group-Living	Meeli
Me32DE	32DE	Diencephalon	Group-Living	Meeli
Me32TL	32TL	Telencephalon	Group-Living	Meeli
Me33DE	33DE	Diencephalon	Group-Living	Meeli
Me33TL	33TL	Telencephalon	Group-Living	Meeli
Me34DE	34DE	Diencephalon	Group-Living	Meeli
Me34TL	34TL	Telencephalon	Group-Living	Meeli
Me38DE	38DE	Diencephalon	Group-Living	Meeli
Me38TL	38TL	Telencephalon	Group-Living	Meeli
Mu40DE	40DE	Diencephalon	Group-Living	Multifasciatus
Mu40TL	40TL	Telencephalon	Group-Living	Multifasciatus
Mu45DE	45DE	Diencephalon	Solitary	Multifasciatus
Mu45TL	45TL	Telencephalon	Solitary	Multifasciatus
Mu46DE	46DE	Diencephalon	Solitary	Multifasciatus
Mu46TL	46TL	Telencephalon	Solitary	Multifasciatus
Or47DE	47DE	Diencephalon	Solitary	Ornatipinnis
Or47TL	47TL	Telencephalon	Solitary	Ornatipinnis
Or48DE	48DE	Diencephalon	Solitary	Ornatipinnis
Or48TL	48TL	Telencephalon	Solitary	Ornatipinnis
Or49DE	49DE	Diencephalon	Solitary	Ornatipinnis
Or49TL	49TL	Telencephalon	Solitary	Ornatipinnis
Mu4DE	4DE	Diencephalon	Group-Living	Multifasciatus
Mu4TL	4TL	Telencephalon	Group-Living	Multifasciatus
Me51DE	51DE	Diencephalon	Solitary	Meeli
Me51TL	51TL	Telencephalon	Solitary	Meeli
Me52DE	52DE	Diencephalon	Solitary	Meeli
Me52TL	52TL	Telencephalon	Solitary	Meeli
Me55DE	55DE	Diencephalon	Solitary	Meeli
Me55TL	55TL	Telencephalon	Solitary	Meeli
Mu5DE	5DE	Diencephalon	Group-Living	Multifasciatus
Mu5TL	5TL	Telencephalon	Group-Living	Multifasciatus
Me60DE	60DE	Diencephalon	Solitary	Meeli
Me60TL	60TL	Telencephalon	Solitary	Meeli
Me61DE	61DE	Diencephalon	Solitary	Meeli
Me61TL	61TL	Telencephalon	Solitary	Meeli
Me62DE	62DE	Diencephalon	Solitary	Meeli
Me62TL	62TL	Telencephalon	Solitary	Meeli
Mu7DE	7DE	Diencephalon	Solitary	Multifasciatus
Mu7TL	7TL	Telencephalon	Solitary	Multifasciatus
Mu8DE	8DE	Diencephalon	Group-Living	Multifasciatus
Mu8TL	8TL	Telencephalon	Group-Living	Multifasciatus
