gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
pudp	pseudouridine 5'-phosphatase	601.335112197398	3.75938071116772	0.226519877941957	16.5962508249763	7.41821630979049e-62	1.68556710991059e-57
LOC100703957	interferon-induced protein 44	133.639196425625	5.38731676204148	0.454179170496675	11.861655293769	1.87236475808849e-32	2.12719360166433e-28
LOC100691242	C-C motif chemokine 17	1346.53685182735	6.31436747044209	0.563688389129524	11.201876058141	3.99189101714929e-29	3.02345825638888e-25
LOC112847478	uncharacterized LOC112847478	446.451767327779	2.52843582839754	0.229895883067547	10.9981779345507	3.89931062298344e-28	1.77200271950859e-24
LOC100707017	putative zinc finger protein 876	63.4685333681254	7.99034987440145	0.72522508228055	11.0177516878966	3.1379905631574e-28	1.77200271950859e-24
ciao3	nuclear prelamin A recognition factor-like	1463.45985019894	-1.82928297881007	0.167226277152731	-10.9389685039711	7.50488872584671e-28	2.84210136047815e-24
LOC100701281	complement component 7a	269.178129155976	2.89231101624367	0.2710815128789	10.6695251384987	1.41346883473993e-26	4.58811983756583e-23
LOC109202762	C-C motif chemokine 8	436.461883411139	6.42145421461645	0.631990975676085	10.1606739047927	2.97016301734702e-24	8.43600551001988e-21
pyroxd2	pyridine nucleotide-disulphide oxidoreductase domain 2	126.683155253146	4.56970234903512	0.463974409243818	9.8490396409638	6.92020293285934e-23	1.74712056711589e-19
LOC106097439	uncharacterized LOC106097439	169.523488084271	-2.46688948844072	0.254053975942336	-9.71009990806301	2.73069323528878e-22	6.20468116922316e-19
LOC100699771	deoxycytidylate deaminase	337.595079547182	2.64324498072005	0.273976951217637	9.64769105201244	5.02749283636282e-22	1.03849720207124e-18
LOC100690431	cytosolic sulfotransferase 2	99.9348145170992	-6.36359001519618	0.683905974697868	-9.30477324460786	1.34278549339728e-20	2.54256433174774e-17
LOC106096584	OX-2 membrane glycoprotein	90.6531287283196	-6.72325750941558	0.750151439891352	-8.96253363239474	3.17302168750682e-19	5.54595375257923e-16
fbxw2	F-box and WD repeat domain containing 2	1537.10261976308	-1.46517003865059	0.165871957062065	-8.83313891390548	1.01778496614024e-18	1.65186500004561e-15
mat2a	methionine adenosyltransferase 2Ab	3186.26731203861	-1.12544181133594	0.128233311367919	-8.77651679840733	1.68615594936639e-18	2.5541890321002e-15
ginm1	glycoprotein integral membrane 1	4303.22819565954	0.909273445790914	0.103963358637002	8.74609533312332	2.20862531429305e-18	3.13652402446042e-15
msmo1	methylsterol monooxygenase 1	332.933717294973	1.69576950705144	0.194081211303618	8.73742231749884	2.38489578131144e-18	3.18762364370344e-15
LOC100697574	major facilitator superfamily domain containing 1-like	771.084146961841	-1.34918425978395	0.15506687860243	-8.70066046304494	3.29958127581519e-18	3.99395124927074e-15
LOC102081134	putative selection and upkeep of intraepithelial T-cells protein 1 homolog	19.1231181104102	-20.0147636894887	2.30073573811269	-8.69928838759509	3.33971805898002e-18	3.99395124927074e-15
LOC106097716	interferon-induced protein 44	305.335198372094	5.31397322056486	0.626702004574237	8.47926635271418	2.26618347755873e-17	2.57461104885447e-14
apmap	adipocyte plasma membrane associated protein	1760.89653411655	1.28682112558346	0.152864430073598	8.41805464465418	3.82787242927107e-17	4.1417579684713e-14
nbisL1-trna-16	NA	1215.32126582605	4.90170182166978	0.588576457467479	8.32806300605495	8.21757788677503e-17	8.48726385196828e-14
LOC102083273	uncharacterized LOC102083273	291.243650650636	-1.72594964960173	0.207783102122439	-8.30649668799674	9.85689789134682e-17	9.73775799509489e-14
LOC100707837	GATA zinc finger domain-containing protein 14	183.006128865538	3.23234080843835	0.399056097195958	8.09996597258131	5.49745622572901e-16	5.20471668170894e-13
LOC100710159	claudin-7-A	89.4350014708041	-4.37935110824923	0.552178867998659	-7.93103713679217	2.17323212985884e-15	1.9752072181861e-12
LOC102079720	uncharacterized LOC102079720	273.492454799572	2.82523469063523	0.358490484779671	7.88091960759187	3.24980354732531e-15	2.84007831547406e-12
LOC102083044	uncharacterized LOC102083044	80.4283561027723	-3.5151636690026	0.446695840963465	-7.86925542315516	3.56758128950586e-15	3.00231785407971e-12
ckap5	cytoskeleton associated protein 5	5982.42639571915	-1.07261325001894	0.137777415672897	-7.7851166301847	6.96489269172169e-15	5.65201041933215e-12
LOC100708354	galactosidase, beta 1-like	393.286021733994	1.43209968460278	0.185012561961841	7.74055377330622	9.89847268858924e-15	7.75562401483188e-12
LOC100708054	epidermal growth factor receptor pathway substrate 15	2292.37750967173	0.917951359500056	0.118821344094153	7.72547530494755	1.11436744588862e-14	8.44021903516043e-12
LOC100698134	uncharacterized LOC100698134	27.6467970352267	-7.95036880067152	1.03441963574444	-7.68582548701321	1.52013603912847e-14	1.11421068003474e-11
LOC100710458	transmembrane protein 269	3004.92568021137	-1.89095147943403	0.246544513865098	-7.66981771279123	1.72240955505896e-14	1.22301843468905e-11
edem3	ER degradation enhancer, mannosidase alpha-like 3	1767.50992664281	0.689413081274833	0.090385763342526	7.62745210949021	2.39438710051463e-14	1.64864435448162e-11
LOC100702938	creatine kinase, muscle b	560.203432877948	5.21962959713393	0.688974567144379	7.57593944108552	3.56538104285708e-14	2.31464537302282e-11
LOC100709126	dysbindin-A	911.061812285365	1.25802480405509	0.166000174395055	7.57845471331363	3.49694921153976e-14	2.31464537302282e-11
nbisL1-trna-19	NA	349.992531160001	3.19793464648281	0.422614648550914	7.56702271785438	3.81875138071565e-14	2.41026857979503e-11
LOC109194403	alpha-2-HS-glycoprotein	1418.52890044625	2.52121910054631	0.337388237425564	7.47275340653379	7.85339351793094e-14	4.82283263552505e-11
LOC100711095	uncharacterized LOC100711095	67.8180437461757	3.08908665647049	0.413917933432	7.46304135908616	8.45477931364939e-14	5.05551304117741e-11
LOC109202219	acyl-coenzyme A thioesterase 4	30.1133205362633	6.77224238785261	0.912514274121828	7.42151939964991	1.15784290152639e-13	6.74577087396993e-11
LOC100708292	beta-glucuronidase	1095.00614343914	2.04344255055963	0.275716812655524	7.41138173939604	1.24990228119234e-13	7.10006990831308e-11
arhgef37	Rho guanine nucleotide exchange factor (GEF) 37	541.156284146819	1.47031375841745	0.200903802441574	7.31849641743361	2.50764715219159e-13	1.38972581931945e-10
LOC109202005	ferritin, middle subunit-like	86.0168054368754	-3.82594526542451	0.527651802865838	-7.25089016022429	4.14041361118858e-13	2.23996376365302e-10
LOC100702396	titin, tandem duplicate 2	84.5397478357982	5.37597821145106	0.745736836931187	7.2089481774482	5.63857137936673e-13	2.92102900633494e-10
LOC100690520	eukaryotic translation elongation factor 1 alpha 1, like 3	445.948903668765	1.99850859908378	0.27724265909165	7.20851764166323	5.65642444673609e-13	2.92102900633494e-10
nbis-5	cytochrome c oxidase subunit III	486359.232219665	1.97203688511018	0.275118729436259	7.16794850409146	7.61299260799408e-13	3.84405373419648e-10
LOC102078066	sterile alpha motif domain containing 9 like	54.5130073472213	-6.10975324829234	0.854594960061175	-7.14929707502017	8.72233834019471e-13	4.30845590795444e-10
LOC109203547	cytokine-dependent hematopoietic cell linker	56.3408121766423	-5.41094704739201	0.757816028088519	-7.14018554218276	9.32050220877822e-13	4.50596704655019e-10
LOC102082837	NA	40.9214653343354	8.7139520692947	1.22980347964192	7.08564596990075	1.38397204112474e-12	6.55137764967424e-10
lancl3	LanC like 3	1279.98497733737	1.72347279874802	0.24354347809294	7.07665346755996	1.47677196549372e-12	6.84800257141802e-10
LOC100710659	cystatin-B	862.387909629274	3.24709689125595	0.46006035677304	7.05798020510128	1.68940117376415e-12	7.67731469405379e-10
