gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC109201896	hemoglobin subunit alpha-A	1502.26175774462	7.96688524628656	0.466894698474472	17.0635590258735	2.77143645595053e-65	6.29725791521081e-61
pudp	pseudouridine 5'-phosphatase	601.335112197398	3.74361221441504	0.239420151414934	15.6361617528471	4.12875594512151e-55	4.69067962925254e-51
LOC106097439	uncharacterized LOC106097439	169.523488084271	-3.49306238234629	0.288705638672434	-12.0990445438079	1.06847510134944e-33	8.09263041762066e-30
LOC100708354	galactosidase, beta 1-like	393.286021733994	2.33551840626794	0.194423231883989	12.0125480048677	3.05291344975827e-33	1.73420748513519e-29
ano5	anoctamin 5a	1079.97816591549	2.34510997748342	0.208319559705408	11.2572721486149	2.13258060406212e-29	9.69129929709989e-26
LOC100704040	hemoglobin subunit beta-1	7964.87651957442	-8.91592644941065	0.80588070329064	-11.0635810151607	1.88421416185204e-28	7.13551903093367e-25
LOC100695526	PI-PLC X domain-containing protein 1	70.9054771657381	10.7722299165186	0.993214852882192	10.8458204035701	2.08754487965629e-27	6.7761706793643e-24
mphosph8	M-phase phosphoprotein 8	4180.21356959235	1.81187377406649	0.172223518634684	10.5204782043142	6.95198399762816e-26	1.97453725492634e-22
LOC102079720	uncharacterized LOC102079720	273.492454799572	3.95997625666252	0.377387528525952	10.4931296276003	9.28992989259308e-26	2.34539763355e-22
LOC109201892	hemoglobin subunit alpha-A	906.229090004289	7.73359310708204	0.762296741100965	10.1451215650124	3.48344446852858e-24	7.91508252139064e-21
LOC100704493	dimethylaniline monooxygenase [N-oxide-forming] 5	1411.02649281976	7.0858674139769	0.730485635617959	9.70021458119785	3.00865207708703e-22	6.21478113596104e-19
LOC100702978	SH2 domain-containing adapter protein F	1166.64252080395	1.17300687224095	0.128778947070409	9.10868506790646	8.33864517786149e-20	1.57892246442807e-16
LOC100704125	hemoglobin, alpha embryonic 5	5807.81061364068	-9.25058129742445	1.02206745568597	-9.05085202151929	1.41857081026958e-19	2.47944353468811e-16
LOC102083044	uncharacterized LOC102083044	80.4283561027723	-4.637191237484	0.514327532303117	-9.01602762099674	1.95033258214335e-19	3.16538978081866e-16
LOC100704059	hemoglobin subunit beta-A	153.542311708636	5.17521812969844	0.58408703298903	8.86035442905585	7.97604497869599e-19	1.20821129337287e-15
mboat7	membrane bound O-acyltransferase domain containing 7	1816.5055122255	1.28911300841909	0.145956936020441	8.8321462725043	1.02686039001179e-18	1.45827011136549e-15
LOC100534515	estrogen receptor 2a	525.928047784232	3.65969723940634	0.427719308237069	8.55630589717942	1.16541804266918e-17	1.55768404503112e-14
ghdc	GH3 domain containing	2009.92058617776	1.76629757211393	0.207418998724051	8.51560167091445	1.65727568889127e-17	2.09203434461042e-14
pcgf3	polycomb group ring finger 3	2120.30229784793	1.63206230599546	0.195906240429706	8.33083368051805	8.02750397090912e-17	9.60004974878931e-14
msmo1	methylsterol monooxygenase 1	332.933717294973	1.70507356966892	0.206390540109078	8.26139399978209	1.43980976984948e-16	1.63576787952599e-13
LOC100697574	major facilitator superfamily domain containing 1-like	771.084146961841	-1.3633330070962	0.165536659970419	-8.23583735071025	1.78306047070983e-16	1.92927142930804e-13
LOC100710159	claudin-7-A	89.4350014708041	-4.84718142333997	0.610102926188632	-7.94485850710592	1.9441256834142e-15	2.00792835356988e-12
glyctk	glycerate kinase	198.589603893508	-1.99380500243028	0.252018920372568	-7.91133062344198	2.54652231934086e-15	2.51574261478535e-12
tspan10	tetraspanin 10	54.245991941689	-5.43026137808761	0.688016481687031	-7.89263269503732	2.95877462706417e-15	2.801219878173e-12
LOC100702676	caspase-8	192.490922205773	3.21516610641236	0.410411875018742	7.83399872692655	4.72593566858356e-15	4.29530841046223e-12
LOC100699903	carboxypeptidase B2 (plasma)	53.780274034048	6.63505285873475	0.854448141224173	7.76530785031455	8.14471539208129e-15	7.11785473611043e-12
unc93a	unc-93 homolog A	69.3880893775437	-4.40244793092179	0.569967943844655	-7.72402725182328	1.12710728345575e-14	9.48523396099315e-12
ciao3	nuclear prelamin A recognition factor-like	1463.45985019894	-1.36017299068181	0.177326524576167	-7.67044295224755	1.71403388853228e-14	1.39093850054395e-11
LOC100700958	von Willebrand factor A domain-containing protein 7	20.9300315125882	8.68512874681824	1.14332833034495	7.59635575915264	3.0458644984768e-14	2.38648734946172e-11
LOC100703972	tumor necrosis factor receptor superfamily member 14	452.1716694733	2.38802729744634	0.31913562295226	7.48279767502976	7.2756850024709e-14	5.51060382087146e-11
LOC106096584	OX-2 membrane glycoprotein	90.6531287283196	-5.78373193989577	0.774200091508222	-7.47059061776712	7.98356696780833e-14	5.6688315200794e-11
LOC100705229	cytochrome P450 27C1	451.181425443535	-1.94014620796069	0.259610314942535	-7.47330169985788	7.8207258657428e-14	5.6688315200794e-11
anapc15	anaphase promoting complex subunit 15	1127.8949985274	-1.30586216966311	0.175137303618726	-7.45621945000348	8.9040395818535e-14	6.13083598117803e-11
LOC100706968	beta-carotene oxygenase 1, like	208.493934237668	-3.42839479141526	0.463864036153702	-7.39094761439807	1.4578605213911e-13	9.74279610795547e-11
LOC100697384	tetraspanin 4b	174.701624060114	-2.20989289889541	0.299281240429831	-7.38400073362948	1.53602599174359e-13	9.97188073839938e-11
fbxw2	F-box and WD repeat domain containing 2	1537.10261976308	-1.29806301639653	0.176224030123631	-7.36598190091253	1.75847680851538e-13	1.10989194564129e-10
LOC102080791	hemoglobin subunit alpha-A	25.6039296545363	6.86584396761087	0.943961604653283	7.27343562891278	3.50457834120805e-13	2.15218997483593e-10
LOC100704191	inter-alpha-trypsin inhibitor heavy chain H3	245.158189559471	-3.50649103087967	0.482510706487343	-7.26717766825687	3.67075882493081e-13	2.19492057947573e-10
LOC109201805	bryoporin-like	90.0844077637949	-9.01889218462697	1.25319917435824	-7.19669496211208	6.168955888824e-13	3.59412860784254e-10
LOC106097578	selection and upkeep of intraepithelial T-cells protein 1	1057.43557960379	-2.36637172774473	0.329337403794117	-7.18525044675475	6.7084101343944e-13	3.81071237684274e-10
LOC100703776	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	637.055751241538	1.27283099797666	0.178370800007891	7.13587088200735	9.61762598028599e-13	5.33004140302581e-10
LOC106098346	putative transmembrane protein INAFM2	77.260988931597	-6.38790342482407	0.897667889537741	-7.11610997705795	1.1101572433957e-12	6.00595068677075e-10
nme5	NME/NM23 family member 5	115.607037132243	-3.18365930401541	0.454227135117404	-7.00895886194146	2.40098030320124e-12	1.26872266161253e-09
LOC102083273	uncharacterized LOC102083273	291.243650650636	-1.54002650631669	0.221774091895951	-6.94412270230024	3.80819403016058e-12	1.96658601712065e-09
LOC100709126	dysbindin-A	911.061812285365	1.21728934877846	0.176422789533694	6.89984186281092	5.20604596249271e-12	2.62870614132799e-09
pola1	polymerase (DNA directed), alpha 1	673.35659987921	1.63123773553065	0.236607307967905	6.89428297688896	5.4137164078303e-12	2.67414052649391e-09
LOC112844741	NA	31.0959172498474	7.41843048420764	1.07811543602272	6.88092409804925	5.94655313521999e-12	2.87484213486103e-09
LOC112846143	uncharacterized LOC112846143	61.2417309952701	-7.77375722557067	1.14348911626376	-6.79827828267457	1.05876795813932e-11	5.011942821842e-09
LOC100711567	transient receptor potential cation channel, subfamily M, member 6	149.861226632207	-2.43643502672051	0.362766561547829	-6.7162613233284	1.86446300803506e-11	8.64578132011688e-09
shbg	sex hormone-binding globulin	167.304312951209	2.42899223011877	0.365214845823239	6.65085841360999	2.91388493054762e-11	1.32418586783806e-08
LOC102080126	PDZ and pleckstrin homology domains 1	90.492330219576	-3.79063827464254	0.571233152281904	-6.63588634430631	3.22558320468826e-11	1.43709218778288e-08
LOC100701987	hemoglobin subunit beta-A	145.564952796685	7.47236616804151	1.12762425271541	6.62664548944156	3.43401005396794e-11	1.50053031627422e-08
egf	epidermal growth factor	145.957374082148	-3.0006429589969	0.453750008634295	-6.61298711162186	3.76641258106264e-11	1.61472503145104e-08
LOC109194403	alpha-2-HS-glycoprotein	1418.52890044625	2.3628626809749	0.35790539513253	6.60191970590426	4.05867335502112e-11	1.70779955505167e-08
LOC100690950	huntingtin-interacting protein 1-related protein	138.136559424937	-3.70150805890858	0.565122254856008	-6.54992442272817	5.75662093661795e-11	2.37821710766969e-08
LOC109195863	uncharacterized LOC109195863	20.6865503838345	9.16316035993628	1.4055885095623	6.51909168124154	7.07344120978462e-11	2.87004877087011e-08
LOC100690431	cytosolic sulfotransferase 2	99.9348145170992	-4.4317585129971	0.680877194591259	-6.50889550744544	7.57053583198752e-11	3.01785465218281e-08
tmprss9	transmembrane serine protease 9	43.1313122605216	-3.87377947943119	0.596797885393381	-6.49094035726648	8.53022468171118e-11	3.34178905548002e-08
LOC106098933	inter-alpha-trypsin inhibitor heavy chain H3	211.451759412253	-3.0315076783188	0.470694784445617	-6.44049557908168	1.19084024600223e-10	4.58614780841739e-08
LOC100703660	desmoplakin	478.949466002091	-1.55803525503969	0.242844887713891	-6.41576303996686	1.40119250498435e-10	5.30631601637572e-08
