gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC109201896	hemoglobin subunit alpha-A	1502.26175774462	7.95249047281325	0.442536729340676	17.9702382775356	3.33280226150343e-72	7.27884013912349e-68
pudp	pseudouridine 5'-phosphatase	601.335112197398	4.01117624882087	0.226308305497153	17.7243881527421	2.71854741423247e-70	2.96865377634186e-66
LOC106097439	uncharacterized LOC106097439	169.523488084271	-3.35225239171177	0.262694564351586	-12.761026860172	2.70610074622057e-37	1.97004134324857e-33
ano5	anoctamin 5a	1079.97816591549	2.38368674252625	0.196403932930481	12.1366548365912	6.75308137257891e-34	3.68718242942808e-30
LOC100704040	hemoglobin subunit beta-1	7964.87651957442	-7.9693340841931	0.733270166779941	-10.8682098975735	1.63374835325656e-27	7.13621280702467e-24
LOC100708354	galactosidase, beta 1-like	393.286021733994	1.98655183574984	0.183869629348177	10.8041324866549	3.29052589065231e-27	1.19775142419744e-23
LOC100695526	PI-PLC X domain-containing protein 1	70.9054771657381	10.5941657775984	0.984293118378854	10.7632224382988	5.13427816638352e-27	1.60189478791166e-23
LOC109201892	hemoglobin subunit alpha-A	906.229090004289	7.62792515971251	0.720755684996509	10.5832327354441	3.56443445265389e-26	9.73090605574511e-23
LOC102079720	uncharacterized LOC102079720	273.492454799572	3.69082849598737	0.357138198157243	10.3344546033755	4.92203981244061e-25	1.19441499448559e-21
LOC100704493	dimethylaniline monooxygenase [N-oxide-forming] 5	1411.02649281976	6.85342698086698	0.6895959172724	9.93832302252419	2.83560423518547e-23	6.19295964964507e-20
mphosph8	M-phase phosphoprotein 8	4180.21356959235	1.60353445847953	0.162388092288244	9.87470470207393	5.35905709867295e-23	1.06401642759106e-19
LOC102083044	uncharacterized LOC102083044	80.4283561027723	-4.5279961787879	0.46619601335618	-9.71264457237742	2.66335493208333e-22	4.84730597639167e-19
msmo1	methylsterol monooxygenase 1	332.933717294973	1.8695418810252	0.193757912470994	9.64885437287664	4.97079242600065e-22	8.3509312756811e-19
unc93a	unc-93 homolog A	69.3880893775437	-5.47803121656319	0.571865711677047	-9.5792265643946	9.77743638960966e-22	1.52528007677911e-18
tspan10	tetraspanin 10	54.245991941689	-5.96492713378568	0.633538186826866	-9.41526060751218	4.71910258074118e-21	6.87101335755915e-18
LOC106096584	OX-2 membrane glycoprotein	90.6531287283196	-7.46339665894322	0.796112109734531	-9.37480609537762	6.93030368888337e-21	9.45986453532579e-18
mboat7	membrane bound O-acyltransferase domain containing 7	1816.5055122255	1.27912395410893	0.137508706722498	9.30213064028222	1.3765899043753e-20	1.76851314773862e-17
ghdc	GH3 domain containing	2009.92058617776	1.81335337257561	0.195501815570708	9.2753786827098	1.76989208618126e-20	1.85900872515773e-17
LOC100697574	major facilitator superfamily domain containing 1-like	771.084146961841	-1.44139848608312	0.155311398903143	-9.28069991167882	1.68368877656344e-20	1.85900872515773e-17
ciao3	nuclear prelamin A recognition factor-like	1463.45985019894	-1.55063890389721	0.166963576248883	-9.28728851366817	1.58268766651764e-20	1.85900872515773e-17
LOC100704059	hemoglobin subunit beta-A	153.542311708636	5.1295472220848	0.553091294130685	9.27432284058476	1.78750838957474e-20	1.85900872515773e-17
fbxw2	F-box and WD repeat domain containing 2	1537.10261976308	-1.51801162141236	0.165957540142205	-9.14698795915879	5.85430398504589e-20	5.81172722879101e-17
LOC100704125	hemoglobin, alpha embryonic 5	5807.81061364068	-8.46120685110395	0.937649138315109	-9.02385178565637	1.81589618111971e-19	1.72431185198498e-16
LOC100704801	protocadherin-15	230.417678992934	-2.60218823536322	0.290257544785116	-8.96510110457139	3.09996336015623e-19	2.82096665774217e-16
LOC106098346	putative transmembrane protein INAFM2	77.260988931597	-6.66918524924189	0.751492883324951	-8.87458204492149	7.01965238883602e-19	6.13236832688715e-16
LOC106097578	selection and upkeep of intraepithelial T-cells protein 1	1057.43557960379	-2.74705241802688	0.310459448015221	-8.8483453655184	8.88264020604485e-19	7.46141777307768e-16
LOC100534515	estrogen receptor 2a	525.928047784232	3.51022066245997	0.40360565783561	8.69715425022533	3.4031070343237e-18	2.75273546776406e-15
glyctk	glycerate kinase	198.589603893508	-2.01386572018333	0.23285800467025	-8.64847108449275	5.21939733855508e-18	4.07112992407296e-15
anapc15	anaphase promoting complex subunit 15	1127.8949985274	-1.40378826513032	0.164634099216607	-8.52671634740367	1.50560452047135e-17	1.1338759561067e-14
pcgf3	polycomb group ring finger 3	2120.30229784793	1.57362961242137	0.184674829136908	8.52108335378379	1.58067719666861e-17	1.15073299917475e-14
LOC100710159	claudin-7-A	89.4350014708041	-4.72715628133309	0.559374704213482	-8.45078664752956	2.89346584421027e-17	2.03849335605007e-14
LOC100705229	cytochrome P450 27C1	451.181425443535	-2.05194667425704	0.243098105958983	-8.44081720078581	3.15126646263092e-17	2.1507393607456e-14
LOC100712286	catalase	98.4056365875131	-2.71143562974306	0.322904449996866	-8.39702156402422	4.57945973573873e-17	3.03076971601618e-14
LOC102080126	PDZ and pleckstrin homology domains 1	90.492330219576	-4.46756282528908	0.542773926401228	-8.2309827498725	1.85683710495279e-16	1.19274477565202e-13
LOC100702978	SH2 domain-containing adapter protein F	1166.64252080395	0.994335012048464	0.121345527319321	8.1942452599169	2.52170416587213e-16	1.57354339950421e-13
LOC100690950	huntingtin-interacting protein 1-related protein	138.136559424937	-4.33879687948584	0.535074313770468	-8.10877436614732	5.11328959693429e-16	3.10206235547347e-13
LOC100700958	von Willebrand factor A domain-containing protein 7	20.9300315125882	9.03874995949282	1.117353645816	8.08942629161234	5.99464178071484e-16	3.538458824076e-13
LOC106098933	inter-alpha-trypsin inhibitor heavy chain H3	211.451759412253	-3.58029274871104	0.444965655634921	-8.04622267667451	8.5388566496595e-16	4.90759550601483e-13
tpp2	tripeptidyl peptidase 2	1581.40913265263	0.808351427619691	0.102704043438973	7.87068746811334	3.52697721434324e-15	1.97510724003221e-12
aadat	aminoadipate aminotransferase	655.879430151925	1.59883373108944	0.204078291428972	7.83441354734147	4.71036042057489e-15	2.57185678963389e-12
LOC109201895	hemoglobin subunit beta-like	118.327317521769	-8.41840189760995	1.08202219254611	-7.78024883001761	7.23820380108257e-15	3.8556675857474e-12
LOC100697734	A disintegrin and metalloproteinase with thrombospondin motifs 15	148.506305708298	2.81182783763509	0.362456504900993	7.75769726743671	8.64852920708521e-15	4.39264832285444e-12
LOC102083273	uncharacterized LOC102083273	291.243650650636	-1.60910421641605	0.207390584799783	-7.75881035279156	8.57297330818128e-15	4.39264832285444e-12
LOC100699903	carboxypeptidase B2 (plasma)	53.780274034048	6.27037708401131	0.816871232508883	7.67608998146856	1.64017936044647e-14	8.14125391639795e-12
dnpep	aspartyl aminopeptidase	626.101573872712	1.50078874946576	0.19559703241738	7.67286052818662	1.68202354177014e-14	8.16342092272443e-12
LOC100711567	transient receptor potential cation channel, subfamily M, member 6	149.861226632207	-2.56663351558217	0.338396254924388	-7.58469834766837	3.3326149086234e-14	1.58226760009424e-11
LOC100704191	inter-alpha-trypsin inhibitor heavy chain H3	245.158189559471	-3.36686989598974	0.448876617564566	-7.50065778488774	6.34983702951611e-14	2.95064767499217e-11
tmprss9	transmembrane serine protease 9	43.1313122605216	-3.76348468252679	0.508167637577756	-7.40599047287999	1.30175179414432e-13	5.92297066335666e-11
LOC100697384	tetraspanin 4b	174.701624060114	-2.02302367532831	0.275283751350571	-7.34886699779098	1.99893965239518e-13	8.90955959353279e-11
LOC112846143	uncharacterized LOC112846143	61.2417309952701	-6.56104748223583	0.893854748832031	-7.34017186887346	2.13319744133973e-13	9.31780642377192e-11
LOC102080791	hemoglobin subunit alpha-A	25.6039296545363	6.61804820334936	0.91176966923223	7.25846496837539	3.9150775189352e-13	1.67657437281461e-10
LOC100690431	cytosolic sulfotransferase 2	99.9348145170992	-4.5688871362736	0.63693238117422	-7.17326873513732	7.32279065776584e-13	3.07557207626165e-10
sapcd2	suppressor APC domain containing 2	649.761387759996	-1.38344005915619	0.194718785816215	-7.10481042369454	1.20487812404467e-12	4.96500721304446e-10
