group	Sample	Zdist	BeyondThreshold
GL_Meeli	Me31TL	1.42909300884709	FALSE
GL_Meeli	Me32TL	2.63436390446689	FALSE
GL_Meeli	Me33TL	0.552711810631561	FALSE
GL_Meeli	Me34TL	1.16104704785427	FALSE
GL_Meeli	Me38TL	2.31609572297079	FALSE
GL_Multifasciatus	Mu40TL	1.68726573366703	FALSE
GL_Multifasciatus	Mu4TL	1.1274855901521	FALSE
GL_Multifasciatus	Mu5TL	2.12459036954676	FALSE
GL_Multifasciatus	Mu8TL	1.83521833840597	FALSE
S_Meeli	Me51TL	0.52855421595188	FALSE
S_Meeli	Me52TL	1.89231178666452	FALSE
S_Meeli	Me55TL	2.29250262380712	FALSE
S_Meeli	Me60TL	1.50150465723488	FALSE
S_Meeli	Me61TL	2.50410185914388	FALSE
S_Meeli	Me62TL	1.53596090641059	FALSE
S_Multifasciatus	Mu12TL	1.81670512967363	FALSE
S_Multifasciatus	Mu28TL	1.56322892228678	FALSE
S_Multifasciatus	Mu45TL	1.04610667247917	FALSE
S_Multifasciatus	Mu46TL	2.27356808662138	FALSE
S_Multifasciatus	Mu7TL	1.99811080614539	FALSE
S_Ornatipinnis	Or20TL	2.87774610414076	FALSE
S_Ornatipinnis	Or23TL	1.09748867498212	FALSE
S_Ornatipinnis	Or26TL	1.83931195466293	FALSE
S_Ornatipinnis	Or47TL	1.1705333670061	FALSE
S_Ornatipinnis	Or48TL	1.95979835187705	FALSE
S_Ornatipinnis	Or49TL	1.38566574559958	FALSE
