gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC100698923	dehydrogenase/reductase SDR family member 11	393.259182069199	8.22570924128154	1.32388016745107	6.21333368647623	5.18721310453982e-10	1.09569502407195e-05
nbis-pseudo28	C5a anaphylatoxin chemotactic receptor 1-like	255.584656446537	6.81798813823718	1.20356722232203	5.66481706363132	1.47181474030157e-08	0.00015544571379695
LOC100702396	titin, tandem duplicate 2	22.3809521491007	-6.58663034929675	1.21650743537262	-5.41437738708045	6.15023299759995e-08	0.000433037905361012
LOC102075721	galectin-8	61.3958456631567	5.17163705516659	1.07393166880459	4.81561090467069	1.46750230018261e-06	0.0077495127716893
LOC102083285	coiled-coil domain-containing protein 158	240.164978397982	-2.15634457686906	0.471345441457793	-4.57487096979201	4.76513570422902e-06	0.0201307922960859
htatip2	HIV-1 Tat interactive protein 2	423.173501692632	1.10555341837289	0.248960962645392	4.44066976053425	8.96793273480769e-06	0.0315716071928905
LOC102080640	interferon-induced very large GTPase 1-like	20.3341102184022	-6.75164250777128	1.548397717838	-4.36040587633937	1.29821416084206e-05	0.0342777221493334
LOC112841902	28S ribosomal RNA	36.4298678786844	-3.74523232645696	0.853558423998865	-4.38778673041594	1.14509977946248e-05	0.0342777221493334
LOC100690214	uncharacterized LOC100690214	80.3043275524577	-3.08927108613245	0.733108113830355	-4.21393656386037	2.50957798949464e-05	0.0536508477660295
LOC100702045	calpain-3	17.4975551806935	-5.45268999552136	1.29698129491033	-4.20413927087387	2.62077538866065e-05	0.0536508477660295
LOC100700303	uncharacterized LOC100700303	146.74615215991	-4.97828508689875	1.19039290281137	-4.1820520562089	2.88889801580197e-05	0.0536508477660295
LOC100698206	keratin, type I cytoskeletal 50 kDa	25.5927309412737	-4.13882362785434	0.994323883479642	-4.1624501800867	3.14850849782196e-05	0.0536508477660295
gadd45b	growth arrest and DNA damage inducible beta	1465.25859816473	0.947173374049884	0.228147782884433	4.15157825368687	3.30190323797937e-05	0.0536508477660295
dchs2	dachsous cadherin-related 2	151.943124849367	-2.07487673531822	0.509741577000294	-4.07044829956459	4.69227540841488e-05	0.0619468334074672
mki67	marker of proliferation Ki-67	106.751473003778	-1.42559061344308	0.348894341774723	-4.08602388388277	4.38828629530658e-05	0.0619468334074672
tcap	titin-cap (telethonin)	19.0782540032685	-5.23418731990394	1.28405778939174	-4.07628641261029	4.57606492224196e-05	0.0619468334074672
LOC100703845	troponin C, skeletal muscle	37.0827489061876	-4.40514299278757	1.11091136831905	-3.96534153705988	7.32909292161468e-05	0.0910661351666276
LOC100710292	tropomyosin 2 (beta)	116.839175824385	-2.76325518681499	0.702582289537802	-3.93299863654806	8.38927137616516e-05	0.0932666206730193
LOC100694711	protein tyrosine phosphatase receptor type Fa	868.91185741874	-1.0509687587677	0.267213034418262	-3.93307445146051	8.38662475017918e-05	0.0932666206730193
LOC100703747	tropomyosin alpha-3 chain	27.0465418430966	-5.26773710404975	1.3588902777956	-3.87649922155238	0.000105970148829679	0.111920372686466
irx3	iroquois homeobox 3a	13.2391382519852	-4.52909297437644	1.1764848956799	-3.84968221097225	0.000118271173389165	0.118963904547587
LOC100696983	perforin 1.5	695.689379632071	0.918985567984403	0.239529704372085	3.8366246490951	0.00012473689758209	0.11976443125575
LOC100706968	beta-carotene oxygenase 1, like	105.933503456588	-2.6585980043934	0.699769478719119	-3.79924830282651	0.000145135626627978	0.133291297446208
LOC100697248	occludin	242.527898827952	-1.53023627141782	0.408893846428983	-3.74238028960797	0.000182285376575105	0.148092846515229
nbis-pseudo653	28S ribosomal RNA	65.9811956169209	-2.47428693203767	0.658929914753205	-3.75500774306838	0.000173336119502856	0.148092846515229
cemip2	cell migration inducing hyaluronidase 2	171.113011117666	-1.12748858160129	0.300503815148129	-3.7519942335691	0.000175433500433442	0.148092846515229
LOC102076632	uncharacterized LOC102076632	20.9276438992484	5.55272805469819	1.48970344729351	3.72740498438556	0.000193461458411273	0.150028569677571
LOC112845091	uncharacterized LOC112845091	30.4272537339399	-5.2757834354343	1.41805230850781	-3.72044345880718	0.000198873263786962	0.150028569677571
trdn	triadin	13.9876889175616	-6.12257711355857	1.65714577540491	-3.69465209665249	0.000220188060948069	0.160380427979519
