gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
pudp	pseudouridine 5'-phosphatase	519.577355114219	3.81995541330482	0.279400436326044	13.6719736859936	1.49290252409988e-42	3.15345800165617e-38
LOC100710458	transmembrane protein 269	2057.2078799717	-2.68512592180333	0.200279235177335	-13.4069112028804	5.50856983266779e-41	5.81787602877209e-37
LOC100690431	cytosolic sulfotransferase 2	121.284949622322	-7.35149855265091	0.579576565140772	-12.6842577750971	7.22954488787215e-37	5.09032255555078e-33
LOC112847478	uncharacterized LOC112847478	263.635327874126	3.43021249883156	0.274491659993722	12.4966000748803	7.79127561204686e-36	4.11437786883165e-32
LOC100699771	deoxycytidylate deaminase	202.70341130753	2.89371233725212	0.291046466699222	9.94244104754102	2.72076753970208e-23	9.57846212352119e-20
ginm1	glycoprotein integral membrane 1	3172.21087711804	1.21375072460931	0.122005429908806	9.94833365626873	2.56441060204144e-23	9.57846212352119e-20
LOC100689985	transmembrane protein 269	233.478367267747	-3.01919704790032	0.313457336898478	-9.63192336722419	5.86217735784422e-22	1.76895389042491e-18
LOC106097716	interferon-induced protein 44	177.376575920486	5.30499875393927	0.568126460100974	9.33770758185847	9.84423644203763e-21	2.14545644855474e-17
LOC100690520	eukaryotic translation elongation factor 1 alpha 1, like 3	460.75993520403	1.89175883201121	0.202362435016379	9.34836958182526	8.90091665601792e-21	2.14545644855474e-17
mat2a	methionine adenosyltransferase 2Ab	2233.09726040194	-1.41506883052374	0.151597273928786	-9.33439496536377	1.01569684635456e-20	2.14545644855474e-17
LOC100710159	claudin-7-A	54.44449207301	-4.5608265484224	0.498447302640219	-9.15006766866671	5.68978962136551e-20	1.09259478338276e-16
LOC100707017	putative zinc finger protein 876	37.0202949728497	8.63776424234745	0.949515786218458	9.09702015250133	9.28441329218725e-20	1.63428884975726e-16
cpox	coproporphyrinogen oxidase	995.565639356147	1.16196954084651	0.131482047475836	8.83747677461487	9.79045855833096e-19	1.59079889328942e-15
npc1l1	NPC1-like 1	98.7269680872433	-5.7917244663383	0.656110272425146	-8.82736440770948	1.07171177913277e-18	1.61698342218726e-15
fbxw2	F-box and WD repeat domain containing 2	1402.03147458707	-1.50031304189825	0.170405352649352	-8.80437743634431	1.31580894197384e-18	1.85292215208757e-15
LOC100690950	huntingtin-interacting protein 1-related protein	99.8536956372081	-5.47352785822797	0.633204784701047	-8.64416692746908	5.41992704233484e-18	7.15531993220243e-15
ckap5	cytoskeleton associated protein 5	5247.85124861783	-0.916390934193045	0.106634577588237	-8.59375030988195	8.41758347133775e-18	1.04590950391216e-14
opn1sw	opsin 1 (cone pigments), short-wave-sensitive 1	29.6999034509557	22.9170923983194	2.67500609474539	8.56711782576357	1.06107307635273e-17	1.24516925509993e-14
apmap	adipocyte plasma membrane associated protein	2008.73464739561	1.32206690895122	0.154830772014941	8.53878651992797	1.3563870310676e-17	1.50794543459162e-14
lancl3	LanC like 3	1185.98056740004	1.76439915507449	0.207274940187832	8.51236118305282	1.704267367248e-17	1.79996197991898e-14
LOC100691824	uncharacterized LOC100691824	179.84130158629	-1.97031407952068	0.231918464129108	-8.49571890241486	1.96711540838268e-17	1.97863708434607e-14
LOC100708292	beta-glucuronidase	769.769412618122	2.15368248428749	0.253772171565654	8.48667712854519	2.12629465793857e-17	2.04153282089256e-14
LOC100694379	N-acetyltransferase 16, like	65.9863848179622	-6.15446785269157	0.740375561828121	-8.31262965716356	9.36042900625409e-17	8.59653660430892e-14
LOC109202762	C-C motif chemokine 8	426.923797437199	8.30183627701135	1.00697659304044	8.24431901832492	1.66103454940117e-16	1.46191803279171e-13
LOC100707837	GATA zinc finger domain-containing protein 14	147.120785127865	3.70218818083855	0.453102789864871	8.17074682312739	3.06486214057677e-16	2.58956331981613e-13
LOC100693393	beta-1,3-galactosyltransferase 8	46.2760660180633	-4.66277855430719	0.578721391663495	-8.05703508022115	7.81672230956048e-16	6.35048559018639e-13
LOC100700659	histamine receptor H2b	33.9675062099855	4.63379011574768	0.57586342945851	8.04668238805315	8.50685731551411e-16	6.65519803983721e-13
LOC112842358	uncharacterized LOC112842358	20.3008197036107	8.15182787394899	1.03587892312139	7.86947942659679	3.56119968552801e-15	2.68654360562172e-12
LOC100699981	myosin binding protein Cb	244.801834839524	1.84431078712089	0.235512599143853	7.8310493528814	4.83814694124361e-15	3.52400613240996e-12
LOC102075955	von Willebrand factor A domain-containing protein 5A	183.778387467223	-6.03326812504135	0.77770363590284	-7.75779853213274	8.64162837917309e-15	6.08457054177577e-12
LOC100706139	kinesin-1 heavy chain	38.8507036423908	7.6579367470869	1.00231944744371	7.64021566838544	2.16858184641564e-14	1.47764368844637e-11
