gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC100710458	transmembrane protein 269	2057.2078799717	-2.61931891580744	0.191087168655136	-13.7074557870217	9.16143245406928e-43	1.93516937727305e-38
pudp	pseudouridine 5'-phosphatase	519.577355114219	3.650142575713	0.268198024254511	13.6098786926526	3.49823971394218e-42	3.69466587388004e-38
LOC112847478	uncharacterized LOC112847478	263.635327874126	3.54193409773115	0.263223847662602	13.4559772193254	2.83960203543431e-41	1.9993637931493e-37
LOC100689985	transmembrane protein 269	233.478367267747	-3.79892042568012	0.304715144033186	-12.4671205224588	1.12829942053381e-35	5.9582671649839e-32
LOC100690431	cytosolic sulfotransferase 2	121.284949622322	-5.76542573574678	0.491519045932474	-11.7298114558492	8.96581620196061e-32	3.78769871268028e-28
LOC102079720	uncharacterized LOC102079720	207.210544786309	4.41231480900526	0.377282279540619	11.6949961561347	1.35193321852012e-31	4.75948089580007e-28
LOC100708292	beta-glucuronidase	769.769412618122	2.59658498050991	0.242165052868497	10.7223769480889	7.99225628286118e-27	2.41172042089824e-23
LOC106097716	interferon-induced protein 44	177.376575920486	5.74463435398884	0.545629650142535	10.5284497506471	6.38777815145966e-26	1.68661297366603e-22
LOC100692923	KIAA1191 ortholog	2969.41274869435	-0.946799908604371	0.0935105714129175	-10.1250574592637	4.277274369536e-24	1.0038762945301e-20
LOC100691824	uncharacterized LOC100691824	179.84130158629	-2.24245118688148	0.2245214541783	-9.98769224566251	1.72552093337391e-23	3.6448178675657e-20
fbxw2	F-box and WD repeat domain containing 2	1402.03147458707	-1.62286899112588	0.162796065509704	-9.96872366690673	2.08895934496357e-23	4.01137165851504e-20
LOC100689838	anthrax toxin receptor 2	1194.56140407403	-2.17492157149846	0.226316988401066	-9.61006766157645	7.25013281077264e-22	1.27620462801625e-18
LOC100707837	GATA zinc finger domain-containing protein 14	147.120785127865	4.15212847588675	0.433965882369829	9.56786845365019	1.09132381356008e-21	1.77323330106382e-18
LOC100690950	huntingtin-interacting protein 1-related protein	99.8536956372081	-5.72175059013731	0.614076842594532	-9.31764592516203	1.18950072185346e-20	1.79470169626504e-17
LOC100710159	claudin-7-A	54.44449207301	-4.3684898598965	0.475058133831038	-9.19569532399634	3.72577082630133e-20	5.24663047759754e-17
LOC100702151	C-type mannose receptor 2	69.4735345801909	6.44563451398352	0.706954365463232	9.11746900347665	7.68991797788349e-20	1.01521335904271e-16
lum	lumican	460.649832837831	4.03114235279556	0.442563965720496	9.10860952321965	8.34445268740982e-20	1.03682278891857e-16
npc1l1	NPC1-like 1	98.7269680872433	-5.83571514812879	0.641328568674608	-9.09941554636975	9.08192264223381e-20	1.06576362206614e-16
opn1sw	opsin 1 (cone pigments), short-wave-sensitive 1	29.6999034509557	22.751240344718	2.56336051384717	8.87555231572646	6.95872153539807e-19	7.73626710485334e-16
LOC100706139	kinesin-1 heavy chain	38.8507036423908	8.75104442647465	0.986734872051438	8.86868871704218	7.40122514344237e-19	7.81680393524666e-16
nbisL1-trna-16	NA	753.099413572986	5.118875247663	0.587238740248741	8.71685550836575	2.86034802157777e-18	2.8771014885613e-15
