gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC100704040	hemoglobin subunit beta-1	3351.49534750289	-9.42775471026036	0.636634257269777	-14.8087455279135	1.28618322702661e-49	2.71680483044831e-45
pudp	pseudouridine 5'-phosphatase	519.577355114219	4.02250665110283	0.279646637173386	14.38424824901	6.49803217922238e-47	6.86289668608572e-43
LOC100710458	transmembrane protein 269	2057.2078799717	-2.57158777221734	0.200598953626865	-12.8195472893681	1.27442434540545e-37	8.97322181599975e-34
LOC106097439	uncharacterized LOC106097439	324.232135622103	-3.45600148948322	0.270091364312293	-12.7956756347353	1.73338347339047e-37	9.15356477710675e-34
LOC109201892	hemoglobin subunit alpha-A	482.549112855837	8.16076270752721	0.641211304046947	12.7271036178266	4.18061701285816e-37	1.76614346325206e-33
aadat	aminoadipate aminotransferase	488.941731833412	2.11688649581309	0.173772908162923	12.1819132694055	3.88069924156831e-34	1.36620016799412e-30
LOC102079720	uncharacterized LOC102079720	207.210544786309	4.76359165212232	0.391897018894647	12.1552127790054	5.38214767759878e-34	1.62410150562742e-30
LOC100700303	uncharacterized LOC100700303	146.74615215991	-6.59307072159567	0.570278049411092	-11.5611511409288	6.48337763474175e-31	1.71185482223312e-27
LOC112847823	gastrula zinc finger protein XlCGF49.1-like	135.058713333808	-4.71516070603345	0.410495780298848	-11.4865022549093	1.54230966934258e-30	3.61980079394704e-27
LOC109201896	hemoglobin subunit alpha-A	812.384609903793	7.29408057645101	0.637061344522559	11.4495733247126	2.36305766923252e-30	4.99148671471985e-27
ano5	anoctamin 5a	1239.53961758444	2.95228481593234	0.259878599223766	11.3602459946704	6.59586461467125e-30	1.26658589323364e-26
LOC100704493	dimethylaniline monooxygenase [N-oxide-forming] 5	1406.81499123774	7.4354269996757	0.675573578248376	11.0060950266206	3.57150357667166e-28	6.28673917083629e-25
LOC102077394	piggyBac transposable element-derived protein 4	113.865690975761	9.94167403238002	0.945945269928617	10.5097772021528	7.78773095059107e-26	1.26538646822566e-22
LOC100704125	hemoglobin, alpha embryonic 5	2758.62402929893	-5.86005264909015	0.55942963140848	-10.4750487283561	1.12479661880354e-25	1.69707706992766e-22
LOC100693027	phospholipase D2	316.317671670586	-2.145786555499	0.205817498250337	-10.4256760175419	1.89308287988447e-25	2.66583931145331e-22
LOC106097578	selection and upkeep of intraepithelial T-cells protein 1	812.511233959521	-3.26773552136479	0.326034489879481	-10.0226682231463	1.21186299065578e-23	1.59988637197638e-20
pcgf3	polycomb group ring finger 3	1558.32396737095	1.47940315182195	0.148593469697499	9.95604419786184	2.37318290241836e-23	2.94874955575195e-20
fbxw2	F-box and WD repeat domain containing 2	1402.03147458707	-1.67606382701536	0.17106624600676	-9.79774716602554	1.15124576687092e-22	1.35098690742302e-19
dab2	DAB adaptor protein 2	1112.61136305214	2.10357187938315	0.215423722085536	9.76481076001418	1.59409332797018e-22	1.77221228245864e-19
LOC100695526	PI-PLC X domain-containing protein 1	47.0002966082729	9.10811464769607	0.94823664983828	9.60531809148005	7.59231366745991e-22	8.01862207988779e-19
LOC100708210	pleckstrin homology domain containing, family O member 1a	2070.82840552502	1.82963466122902	0.193118913356024	9.47413502610179	2.68979898030719e-21	2.70555351719184e-18
LOC100690431	cytosolic sulfotransferase 2	121.284949622322	-4.69578428962426	0.498327543084544	-9.42308799661832	4.38012761175937e-21	4.20551979741787e-18
LOC100689985	transmembrane protein 269	233.478367267747	-2.95920157277394	0.315765146190207	-9.37152693537434	7.14906835000931e-21	6.56564220683681e-18
ero1a	endoplasmic reticulum oxidoreductase 1 alpha	412.932647500065	-1.76618474470101	0.191596279294818	-9.2182622293166	3.01953958922759e-20	2.65757228096894e-17
LOC102082938	cortexin-1	308.342432340754	2.20423302466573	0.239604556744993	9.199462041165	3.59746239826381e-20	3.03956792954106e-17
LOC100689838	anthrax toxin receptor 2	1194.56140407403	-2.17834633934725	0.237647272929703	-9.1663005953854	4.89530500661465e-20	3.97705875595082e-17
LOC100712286	catalase	101.308062489119	-3.98750679014452	0.436237332776493	-9.14068212540518	6.20596332736676e-20	4.85513197644326e-17
LOC100708533	annexin A14	87.1794873961038	-2.94157148542082	0.323660862708426	-9.08843738722518	1.0047261525064e-19	7.57958232835453e-17
ghdc	GH3 domain containing	1134.2161410598	1.71230836100694	0.188583662701371	9.0798340454255	1.08740523774963e-19	7.92043477137428e-17
LOC100703572	D-dopachrome tautomerase	815.122629309829	-1.66171115074496	0.183550049520646	-9.05317734909164	1.38867496135403e-19	9.77766040289371e-17
mphosph8	M-phase phosphoprotein 8	2734.44804734566	1.42150322044	0.160338074034492	8.86566231383202	7.60506386142451e-19	5.18199238531838e-16
LOC100534515	estrogen receptor 2a	324.047673731122	3.60814989874982	0.414500297297924	8.7048186027149	3.18083082322028e-18	2.09964654621506e-15
LOC100710159	claudin-7-A	54.44449207301	-4.38103197125621	0.508834025308369	-8.6099430331947	7.30968911727468e-18	4.54125185953509e-15
LOC100697384	tetraspanin 4b	145.904076780449	-2.9212540556464	0.339226302841436	-8.61151989446964	7.20982244045895e-18	4.54125185953509e-15
LOC100690403	uridine phosphorylase 1	155.031072342388	-2.30241566848409	0.269425525861414	-8.54564785991506	1.2781719959363e-17	7.713950591475e-15
opn1sw	opsin 1 (cone pigments), short-wave-sensitive 1	29.6999034509557	22.848925383204	2.67582936900421	8.53900687684995	1.35380320754797e-17	7.94344032028772e-15
LOC100706048	uncharacterized LOC100706048	191.212340170016	-2.227722138873	0.26129572500172	-8.52567388486105	1.51922729022307e-17	8.67314541929241e-15
LOC100690950	huntingtin-interacting protein 1-related protein	99.8536956372081	-5.50741418652371	0.647423606129009	-8.50666261530519	1.79011468480442e-17	9.95068223345362e-15
LOC100706184	reticulon-3-B	207.151112120569	-2.69750068040439	0.319371923459282	-8.44626744638781	3.00764237021722e-17	1.62898537913073e-14
LOC100703660	desmoplakin	479.342445168589	-1.99397817695867	0.238173067527126	-8.371971682867	5.6662062632322e-17	2.99218187245634e-14
LOC102080474	PR domain containing 2, with ZNF domain a	1153.64826537214	-1.02296099600993	0.124548979178625	-8.21332300558498	2.15149770743066e-16	1.10844112375751e-13
sncg	synuclein, gamma a	591.947489861276	-2.40548363872588	0.293806623332384	-8.18730228557359	2.67146590680238e-16	1.34355653212826e-13
nfs1	NFS1 cysteine desulfurase	3807.85029888314	-0.785145772156159	0.0971979044926177	-8.07780554791478	6.59426455013697e-16	3.23931744401264e-13
inpp1	inositol polyphosphate-1-phosphatase	1111.25005627758	1.47369046019778	0.183615591332413	8.02595492846711	1.00739206084176e-15	4.83616875026377e-13
LOC100708099	solute carrier family 22 member 5	125.628795011854	7.28071963808554	0.918491424494581	7.92682375025102	2.24822016312667e-15	1.05531454457166e-12
LOC100697646	3-hydroxy-3-methylglutaryl-CoA reductase a	361.070753648581	2.0015568422288	0.252622022087096	7.92312889308886	2.3160727319491e-15	1.06353052862958e-12
LOC109200364	NA	37.3095025172828	9.40935021292674	1.19528827800583	7.87203420803634	3.48920719203129e-15	1.56813879823993e-12
plod2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	253.632392812914	-2.30540166573268	0.292988475177358	-7.86857457221528	3.5870471603216e-15	1.57852494098903e-12
shbg	sex hormone-binding globulin	300.202085271193	2.36919021510172	0.302740226989302	7.82581898237608	5.04362620381027e-15	2.17421461843029e-12
LOC102080126	PDZ and pleckstrin homology domains 1	68.9976366361445	-4.13267397132721	0.529556588806436	-7.80402710245154	5.99623062714391e-15	2.53316759074321e-12
