ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0016071	mRNA metabolic process	362	-0.363156361741019	-1.86923845434313	4.43113213535423e-09	9.96561617241167e-06	8.8575999210923e-06	6410	tags=41%, list=29%, signal=29%	100698250/100696507/100699118/100702724/100710449/100708897/100701757/100707282/100695846/100706601/100710963/100700642/100691769/100710000/100694078/100689773/100706104/100698511/100706537/100694522/100692969/100699188/100695619/100693252/100708537/100697533/100703796/100707633/100695331/109194181/100712006/100693566/100690096/100693218/100699538/100711291/100692012/100700246/100697249/100707129/100693324/100695170/100701097/100699867/100707399/100711813/100694770/100697035/100705769/100701324/100697243/100699690/100711282/100705055/100706712/100695961/100697194/100701928/100700782/100695574/100690725/100711617/102080291/106096440/100699324/100692646/100701724/100696402/100690224/100706343/100712366/100701682/100710010/100695324/100702848/100696623/100711186/100694929/100695289/100710677/109194205/100694823/100694828/100708021/100704767/100699529/100693449/100701672/100689832/100708447/100697389/100702406/100692045/100696474/100697945/100708356/100705851/100708102/100703605/100701810/100710001/100706877/100705667/100711756/100695680/100708852/100710361/100706793/100698139/100702078/109201891/100697569/100698899/100712452/100695255/100690485/100694892/100706247/100692059/100703921/100710770/100692046/100691289/100705935/100697367/100705063/100690599/100691305/100702461/100692185/100701615/100701082/100706673/100690925/100693731/100696161/100711649/100699151/100689717/100711151/102081847/100698415/100696059/100702944/100693513/100693655/100701416
GO:0007601	visual perception	70	-0.548494187612812	-2.23942751046867	1.55267488360864e-07	0.000116398860441194	0.000103457179086765	1755	tags=33%, list=8%, signal=30%	100696010/100705502/100697182/100695018/100706275/100710676/100690909/100696806/100700337/100710942/100706449/100695135/100710249/100694113/100711209/100691394/100695749/100706677/100703904/100691236/100703065/100690289/100711016
GO:0022402	cell cycle process	417	-0.314747496977139	-1.64849272691101	2.36426745319934e-06	0.000590804166916147	0.000525116244868486	5266	tags=31%, list=24%, signal=24%	100691156/100701307/100699090/100710876/100712326/100703135/100698323/100711022/100710499/100704782/100704642/100705678/102076426/100702932/100710138/102078735/100696245/100695054/100692625/100706285/100711302/100691294/100712408/100697672/100709239/100704389/100696899/102083324/102076674/100692952/100696219/100711561/100699860/100703623/100705774/100702196/100696174/100705824/100692568/100695091/109195697/100692639/100706394/100710315/100704432/100710036/100701538/100709597/100706456/100699933/100692362/100697228/109195276/100706580/100708298/100691363/100691463/100710265/100705333/100700679/100712269/100692253/100693963/102080670/100534580/100703013/100711491/100695713/102081933/100693695/100690083/100710394/100695547/102078628/100697398/100708289/100692719/100691253/102080254/100691990/100706903/100700098/100701302/100698969/100711614/100699756/100708894/100703129/100710515/100693703/100690623/100700767/100708730/100712383/100695637/100700645/102077992/100702917/100712417/102078894/100712043/100697865/100709110/100703806/100698986/100690993/100703225/102076885/100692287/102082769/100701449/100689885/100696161/100704164/109194218/100690588/100691295/100704962/100708829/100707659/100694956/100700008/100705288/100701875/100707719/100702073/100698067/100696937/100691496/100711211
GO:0006643	membrane lipid metabolic process	119	0.430934039935618	1.94942447286698	2.78314242536913e-06	0.000625928731465517	0.000556335522713261	4679	tags=41%, list=21%, signal=33%	100706271/100699387/100698709/100711669/100694975/100708631/100711467/100696854/100701389/100707418/100534548/100696270/100711966/100700196/100710478/100691706/100695535/100704001/100702609/100709299/100697094/100708717/100689911/100709129/100710995/100700285/100707150/100712548/100712327/100696205/100696202/100702158/100706239/100710068/100702623/100708114/100708657/100692117/100694219/100701733/100707102/100709314/100693596/102078950/100710738/100705015/100703787/100693501/100704865
GO:0009890	negative regulation of biosynthetic process	465	-0.294334798730531	-1.55738263858684	1.42739236536999e-05	0.00200637839357319	0.0017833013827879	5441	tags=34%, list=24%, signal=26%	102082459/100695640/100697533/100703796/100694287/100534552/100690348/100706205/109194181/100702845/100711911/100693566/100698488/100692012/100700246/100693067/100707092/100691042/100707365/100707129/100703752/102081460/100693324/100690744/100701097/102080440/100694304/100694770/100697873/100701721/102079418/100697035/100706575/100692441/100691380/100694710/100697243/100534460/100699633/100694613/100710331/100700191/100702761/102079174/100706211/100693395/100695574/100694055/100698867/100711617/100692160/100707366/100700316/100698880/102079997/100690224/100690611/100712366/100698618/100696631/100696623/100710315/102078390/100694828/100708601/100695719/100692129/100704767/100692770/100694940/100701672/100691999/100697389/100708189/100697277/100693607/100693872/100693348/100705552/102075684/100708102/100706822/100700929/100701712/100690808/102081894/100694434/100706402/100708332/100693637/100695904/100706877/100698451/102079202/100693424/100707488/100694525/100695791/100705551/102078743/100691253/100700403/100707295/100699863/100695680/100702741/100694763/100696323/100707382/100698139/109201891/100698899/100712282/102080961/100695255/100700422/100702791/100693068/100707364/100699579/100709503/100711980/100690553/100708747/100695779/100702358/100709547/100692046/100691289/100712556/102079624/100690599/100692566/102081712/100697223/100696076/100702127/100710160/100704959/106098407/100697400/100702269/100701615/100705962/100702792/100690925/100703800/100700604/100693731/100696161/102076499/100699831/100695408/102081847/100700436/100693655/100701416
GO:0002224	toll-like receptor signaling pathway	28	0.642699267559277	2.18548588468089	2.33685726637555e-05	0.00276610104846242	0.00245855509631422	3842	tags=46%, list=17%, signal=38%	100700947/100696011/102080834/100710704/100696189/100708008/100696480/100703947/106098214/100692776/100711546/100705953/100703629
GO:0002764	immune response-regulating signaling pathway	86	0.443857021944024	1.87957783743277	2.32284435707196e-05	0.00276610104846242	0.00245855509631422	4517	tags=38%, list=20%, signal=31%	100700947/100696011/102080834/100693552/100710704/100708939/100699099/100696189/100708008/100692404/100700900/100708629/102081783/100698182/100706409/100696480/100711595/100703947/106098214/100692776/109194357/100711546/100705719/100699330/100705953/100703629/100690001/100699060/100698817/100693490/102077259/100693670/100694547
GO:0010558	negative regulation of macromolecule biosynthetic process	456	-0.297632627544939	-1.57023367020384	2.48967014548929e-05	0.00279963407860271	0.00248835979278114	5441	tags=34%, list=24%, signal=26%	102082459/100695640/100697533/100703796/100694287/100534552/100690348/100706205/109194181/100702845/100711911/100693566/100698488/100692012/100700246/100693067/100707092/100691042/100707129/100703752/102081460/100693324/100690744/100701097/102080440/100694304/100694770/100697873/100701721/102079418/100697035/100706575/100692441/100691380/100694710/100697243/100534460/100699633/100694613/100710331/100700191/100702761/102079174/100706211/100693395/100695574/100694055/100698867/100711617/100692160/100707366/100700316/100698880/102079997/100690224/100690611/100712366/100698618/100696631/100696623/100710315/102078390/100694828/100708601/100695719/100692129/100704767/100692770/100694940/100701672/100691999/100697389/100708189/100693607/100693872/100693348/100705552/102075684/100708102/100706822/100700929/100701712/100690808/102081894/100694434/100706402/100708332/100693637/100695904/100706877/100698451/102079202/100693424/100707488/100694525/100695791/100705551/102078743/100691253/100700403/100707295/100699863/100695680/100702741/100694763/100696323/100698139/109201891/100698899/100712282/102080961/100695255/100700422/100702791/100693068/100707364/100699579/100709503/100711980/100690553/100708747/100695779/100702358/100709547/100692046/100691289/100712556/102079624/100690599/100692566/102081712/100697223/100696076/100702127/100710160/100704959/106098407/100697400/100702269/100701615/100705962/100702792/100690925/100703800/100700604/100693731/100696161/102076499/100699831/100695408/102081847/100700436/100693655/100701416
GO:0010557	positive regulation of macromolecule biosynthetic process	449	-0.290970592130473	-1.52977941972918	4.6254973545817e-05	0.00472851979566101	0.00420278443844528	5774	tags=37%, list=26%, signal=28%	100709869/100711059/102081615/100710066/100696752/100704780/100698268/100698511/100699119/100691023/100695619/100693009/100694303/102082459/100696274/100691488/100703632/100709928/100691661/109194181/100704197/102077828/100705914/102076937/100705541/100709586/102075597/100711859/100694646/100708818/100691833/100693067/100697249/102078106/100699288/100700362/100701097/100703150/100697873/100696833/100708841/100703972/100694417/102081187/100701498/100708315/100534460/100705339/100698057/100697408/100698878/100704340/102078657/100700776/100711530/100706754/100698392/100711617/100706364/100698260/100694099/100707366/100711457/106097853/100711382/100711502/100696631/100705183/100699089/102081185/100698988/100700388/100712583/100702849/100705281/100701649/102078814/100689867/100706110/100701658/100701192/100689832/100700997/100706200/100706824/109203836/100712340/100710887/100692573/100699346/100707669/100692488/100708694/100700132/100708102/100705632/100706579/100706800/102079559/102081773/100696117/102075543/100692838/100708332/100534499/100695827/100710922/100711879/100710717/100701827/100693282/100693961/100690070/100699863/100708188/100705897/100699437/100695680/100702741/100699509/100700511/100709989/100698139/100691990/100697569/100694188/102081093/100706680/100699715/102078580/100702791/100698130/100706752/100699579/100697915/102079249/100695779/100696470/100701334/100700271/100700725/100705071/100690941/100696076/100702127/100692308/100700211/100693371/100693960/100691095/100690925/102081056/100697109/100690809/102083202/100696161/100712238/100706203/100696780/100708254/100692790/100707066/100707443/100709643
GO:0009896	positive regulation of catabolic process	120	-0.399217739013987	-1.77330095176908	7.30263400740619e-05	0.00608282366024315	0.00540651149320247	4958	tags=36%, list=22%, signal=28%	100706543/100692012/100693324/102080697/100707697/100694770/100690893/100690418/100690889/100711617/100701846/100706466/100709466/100697678/100710474/100712366/100712457/100703621/109195185/100701672/100697389/100707119/100700105/100703540/100705051/100706144/100698325/100706877/100706342/100698899/100695255/100696900/100692046/100691289/100690218/100710053/100709024/100692287/100693731/100693226/102081847/100700008/100701422
