ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl04744	Phototransduction	45	-0.724586335176461	-2.70863590083146	1e-10	1.78e-08	1.47368421052632e-08	1112	tags=58%, list=5%, signal=55%	100703896/100702856/100697897/100702079/100710676/100701591/100703644/100696806/100700337/100703259/100709379/100706644/100698069/100710942/100711075/100707107/100693630/100690422/100708779/100711209/100706802/100704481/100695749/100691236/100696535/100706288
onl04142	Lysosome biogenesis	304	0.35234621303245	1.82454150524416	5.17832625044335e-08	4.60871036289458e-06	3.81560881611615e-06	5552	tags=39%, list=25%, signal=30%	100710704/100706489/100695517/100707775/100705579/100694034/100697328/100707426/100696189/100705026/100711467/100700431/100707260/100704055/100705883/100700034/100707418/100711488/100697150/100691615/100698606/100696414/100701959/100697684/100698122/100696270/100710628/100706490/100694692/100709126/100705898/100689769/100695535/100708413/100710839/100696480/100708870/100704001/100692670/100694958/100707855/102082099/100705007/100710077/100690195/100697104/100707381/100704769/100708717/100692916/100691194/100689736/100696865/100700357/100689911/100696864/100707150/100705306/100705613/100701584/100691387/100693374/100693914/100708794/100695033/100703047/102078181/100703061/100700372/100707845/100696456/100691814/100691401/100707472/100706743/100702468/100702623/100696613/100701268/100689992/100695758/100701733/100697896/100703579/100694135/100707102/100701867/100703629/100708725/100712128/100703787/100694834/100694853/100702144/100710311/100700356/100689819/100701856/100700525/100690050/100706835/100699603/100693112/100699380/100703641/100694706/100708225/100691332/102076596/100712265/100689844/100690785/100705449/100697003/100708610/100697281/100705570/102079126
onl04145	Phagosome	220	0.372489732504105	1.86091523933045	7.88353900914637e-07	4.67756647876018e-05	3.87261565361576e-05	5699	tags=42%, list=26%, signal=32%	100690863/100712435/100706709/100707242/100698241/100692000/112841710/100705579/100695592/100694500/100700431/100706614/100705883/100702693/100709378/100696414/100710720/100691071/100701272/100701980/100691790/100705898/100702414/100695365/100697553/100709747/100703853/100690614/100697763/100690195/100703581/112841648/100696865/100690501/100704478/100708312/100704307/100698385/100709660/100710185/100708794/100694924/100692238/100534414/100703061/100534412/100704725/100691401/100700630/100702468/100696613/100689992/100703003/100695265/100695758/100697826/100703579/100704868/112841757/100705953/100702826/100694447/100692508/109194454/100694867/100704472/100708725/102079388/100712415/106098650/100694547/100704618/109194284/100702241/100701856/100701242/106096429/112841688/100711081/100709123/100705437/100701175/100705449/100702695/100706267/100699850/102079126/100712088/102076024/100690004/100703518/100689711/100711757
onl03013	Nucleocytoplasmic transport	114	-0.427641208353943	-1.91573512248647	1.86177885631706e-05	0.00082849159106109	0.000685918526011547	5846	tags=41%, list=26%, signal=31%	100694716/100697306/100708823/100705199/100698665/100691023/100690780/100691661/100690756/100704580/100690096/100690637/100695574/100711750/100534431/100702729/100690572/100692890/109204784/100709252/100711259/100698533/109196356/100703520/100693011/100695904/100704490/100710699/100704151/100694592/100708590/100706938/100712132/100707458/100693167/100693711/100707310/100707528/100695971/100691350/100708163/100696986/100534527/100707688/100698415/100695406/100693655
onl04080	Neuroactive ligand-receptor interaction	478	0.279016979741426	1.51263926966118	3.28142906320479e-05	0.0011681887465009	0.000967158039681411	4023	tags=24%, list=18%, signal=20%	100705754/100711714/102079317/100705021/100708397/100708119/100703568/102077569/100534521/100707753/102075979/100691407/100695984/100707497/100700221/100710389/100702544/102082036/100696671/100705788/109202970/100690455/100697445/100691419/100696951/100701643/100711458/106098248/100699508/100698904/100702181/100696419/102081250/102082288/102082059/100693550/100708840/100705513/100534397/100693279/100708195/100534574/100701681/100710195/100690769/100692475/100534440/100695690/100693586/100701565/102080933/100705061/100695739/102075655/100697180/100707068/100534509/100699935/100692942/100695312/100694489/102077518/100689848/100708556/100534518/100695338/100707330/100693419/100534513/100708890/100696615/109194365/100698807/100708184/100699488/100697904/100702227/100691101/100701604/100698045/100704653/100694976/100703627/100703029/100534492/100705911/100708153/100693819/100709500/100691617/100703512/100702742/102075509/100704436/100694807/102078258/100696649/100698181/100709703/100711588/100705418/100696583/100698500/100704776/100690357/100692136/100709739/100690001/100700387/100690430/100698635/100700080/100712567/100691822/100698927
onl03040	Spliceosome	155	-0.374290668030251	-1.74813967692394	5.31588813667047e-05	0.00157704681387891	0.00130565673532257	6668	tags=45%, list=30%, signal=32%	100691944/100711394/100700954/100696507/100705065/100712371/100708897/100695846/100700642/100691769/100697306/100705199/100698231/100698665/100534448/100708537/100703628/100691661/100697067/100697861/100711111/100690096/100696129/100699538/100711291/100711591/100697249/100711813/100705769/100711282/100705055/100706682/100697194/100700782/100690725/100699324/100701724/100696402/100706343/100695289/100708021/100699529/100695830/100710772/100693449/100689832/100709718/100707309/100702406/100709252/100703605/100703520/100699602/100710001/100711756/100708852/100710361/100706793/100712452/100692059/100697367/100695205/100693529/100702461/100704524/100701615/100706673/100707310/100696161/100711151
onl04672	Intestinal immune network for IgA production	73	0.452562705081484	1.90291601918082	0.000118649376330811	0.00301708414098348	0.00249788160696444	4233	tags=40%, list=19%, signal=32%	100693666/100692000/102078680/102080822/100699099/102077017/100693932/100702693/100709378/100692878/100703853/100697629/100703947/100703581/102077087/100695488/100712229/100694146/100710185/100692238/102081732/100695800/102081292/112841757/100702826/100692508/109194454/102077556/100694754
onl03015	mRNA surveillance pathway	99	-0.403789460880887	-1.75400297248453	0.000214687747140825	0.0042882879845986	0.00355032713095094	6006	tags=39%, list=27%, signal=29%	100698312/100710763/100694131/100705199/100698665/100693252/100703628/100703796/100701666/100697861/100690096/100693575/100706015/100697035/100704609/100708219/100695574/100693974/100705301/100701739/100709252/100697945/100697848/100703520/100701810/100695904/100704180/100701961/100689853/100690485/100704151/100693433/100705063/100712540/100707310/100707688/100698415/100693655/100701416
onl04512	ECM-receptor interaction	109	-0.394919835625127	-1.74955432961663	0.000216823549783076	0.0042882879845986	0.00355032713095094	4370	tags=35%, list=20%, signal=28%	100697706/100690162/100695028/100700040/100707779/100694532/100708902/100710915/100708604/100692395/100691211/100711318/100533982/100691235/100699391/100700514/100707465/100696606/100696095/100692535/100693712/100694562/100701361/100697814/100689834/100700237/100699320/100711983/100701057/100696180/100712166/100707936/100697206/100699591/100694506/100693578/100690471/100710205
onl04981	Folate transport and metabolism	37	-0.546024368945888	-1.95345324895061	0.000268105544190888	0.0047722786865978	0.00395102907228677	4441	tags=65%, list=20%, signal=52%	100703155/100691027/100695211/100693817/100712200/100708240/100702162/100698370/100690586/100707969/100705166/100709669/100710139/100705436/100695852/100708507/100708777/100701074/100703684/100712516/100706052/100700137/100700437/100711471
onl03082	ATP-dependent chromatin remodeling	118	-0.386840052722082	-1.74119552648189	0.000301103148950868	0.00487239641029587	0.00403391778498771	5350	tags=41%, list=24%, signal=31%	100708716/100693857/100699390/102082803/100700092/100699288/100690905/100691294/100708315/100696262/100702930/100698867/100708236/100696249/100706364/100700316/100697452/102081185/100692623/100691240/100698821/100696624/100709994/100708694/100705552/100689875/102075543/102079445/100694393/100697558/100693961/100707295/100699605/100705117/100698130/100711689/100699486/100697768/100696470/100699566/100702342/100697280/100699075/100691095/100705962/100700604/100704433/100706978
onl04510	Focal adhesion	285	-0.294481102827588	-1.48386030317208	0.000426202616423637	0.00632200547695061	0.00523406721923764	3987	tags=27%, list=18%, signal=22%	100707779/100691168/100701546/100694532/100708902/100709664/100710915/106096418/100708604/100701842/100708521/100692395/100701270/100690951/100691211/100711318/100533982/100707201/100707883/100708272/100702193/100691235/100694033/100712409/100707971/100696842/100708231/100700514/100709440/100696606/100709219/100692594/100709711/100707013/100692535/100693712/100694562/100701361/100693406/100704479/100706186/100710923/100700544/100710878/100689853/100701481/100704058/100695445/109194150/100703163/100697814/100708502/100689834/100706585/100691647/100697722/100706358/100700237/100690473/100699320/100709469/100711993/100711983/100693960/100704596/100701057/100707615/100696180/100712166/100699591/100694506/100712347/100693578/100692052/100702302/100690471
onl02010	ABC transporters	55	-0.463711052685114	-1.80266421606246	0.00060847506914933	0.00773632587918434	0.00640500072788768	5103	tags=45%, list=23%, signal=35%	100705950/100708240/100701781/100692981/100690840/100534453/100702162/102079432/112841651/100710805/100707969/100710139/109204597/100703385/100702657/100705598/100708507/100708777/100701074/100703684/100712516/100694781/100698679/100700137/100700437
onl04514	Cell adhesion molecule (CAM) interaction	280	0.293014118970154	1.50453069087429	0.000571606457039643	0.00773632587918434	0.00640500072788768	4610	tags=31%, list=21%, signal=25%	100690863/100712435/100706709/100707242/102076978/112841713/102083017/102076862/102080295/100711329/100692000/100691798/112841710/100706614/100702693/100709378/102079327/100691642/100692878/100704787/100707450/100699181/100691873/100691035/102076489/100703853/100697629/100699154/100703947/102079645/102078877/100703581/100705837/100699117/100700956/100707768/100708312/106097210/100704307/100698385/100709660/100694146/112841676/100710185/100694924/100692238/100709740/100698188/109199311/112846610/100693877/100701470/100698299/100698417/100707895/100699465/100694804/100704496/100696485/102081292/102080925/112841757/100691605/100705074/100703814/100690270/100702826/100692508/100689882/100699626/100704093/109194454/100690559/100707506/100704472/102079388/100696272/100694843/100709370/100691770/102077886/109197488/102077463/106098650/102076852/109194312/100699683/109194284
onl04110	Cell cycle	189	-0.324214160868957	-1.55466621433974	0.00091036357811329	0.0108029811269444	0.00894392287269197	5202	tags=34%, list=23%, signal=26%	100710876/100712326/100698323/100707856/100711022/100710499/100698660/100706845/100692625/100706285/100710008/100710845/102083324/100699860/100703623/100711644/100707083/100700822/100696174/100692568/100695091/100698988/100709597/100704871/100692362/100697228/100691363/100710836/100694277/100711746/100712269/100691989/100694314/100534580/100700462/100694653/100710607/100703314/100708289/100709989/100706903/100691560/100709880/100711614/100707977/100693703/100692385/100700725/102078894/100699353/100697280/100702587/100703806/100698986/100690993/100711254/100706093/100701449/100695114/100704962/100705288/100707719/100696937/100711211
onl04340	Hedgehog signaling pathway	70	-0.418500702250477	-1.69152337937158	0.00100848781011207	0.0112194268874968	0.00928870351419013	5256	tags=37%, list=24%, signal=28%	100697506/100698323/100691042/100700366/100704788/100707869/100699977/100700194/100709465/109194151/100690003/100709393/102081177/100693894/100696381/100691078/100699353/100701148/100692287/100703074/100710687/100710860/100700008/100694404/100692413/100700452
onl00830	Retinol metabolism	61	-0.438815054770033	-1.73146884278292	0.00117475798805098	0.0123004071690044	0.0101836605775317	3555	tags=33%, list=16%, signal=28%	100702802/100705564/100695823/100699830/100698458/100691992/100700772/100695449/100694376/102076912/112841656/106098479/100534482/100692880/100709766/100692221/100700192/100702001/100693144/100689922
onl00983	Drug metabolism - other enzymes	72	-0.408869714121591	-1.66845078050644	0.00134387404363264	0.013289421098145	0.0110024775502088	3495	tags=31%, list=16%, signal=26%	100703583/100690403/100705564/100689761/100710041/106098252/100707162/100696561/100702985/100690031/100698935/100696242/102076912/112841656/100534425/106098479/100534482/100699397/100694899/100703739/100701529/100707189
onl04010	MAPK signaling pathway	415	-0.259595989878133	-1.36201474861322	0.00251840589792057	0.0235934868331506	0.0195333421445363	3959	tags=25%, list=18%, signal=21%	100701546/102082971/100711294/100700730/100704277/100696515/100708105/100707083/100694890/100709664/100711192/100705695/106096418/100708521/100701270/100706864/100700146/100534578/100707883/100702193/100694033/100712409/100701192/102078731/100702092/100707971/100696842/100712573/100708651/100708231/100703189/100695935/100706720/100708961/100709811/100709219/100709172/100701535/100692594/100697746/100701577/100689874/100700462/100705632/100700631/100694653/100703391/100704745/100696191/100696380/100704108/100708547/100703314/100703991/100695827/100711879/102075875/100710923/102083126/100711833/100693282/100708188/100705897/100700511/106096648/100700544/100700380/100710878/100707977/100695445/100703163/100708360/100708502/100695481/100707974/100703024/100694840/100697722/100700975/100691074/100706358/100701169/100695849/100702587/100690648/100711993/100700219/100702187/100705501/100706093/100700615/100707615/100701765/100697854/100698373/100694753/100712512/100707066/100707443/100692052/100702302/100700452/100700094/100693532
onl00600	Sphingolipid metabolism	75	0.384702871972942	1.64552203352248	0.00304386467770655	0.0270903956315883	0.0224284765725746	3925	tags=37%, list=18%, signal=31%	100698709/100705853/100711669/100694799/100711467/100707418/100696270/100691706/100704001/100702609/100698562/100697094/100708717/100689911/100700285/100707150/100712548/100690304/100702158/100706239/100710068/100702623/100708657/100696128/100694219/100701733/100707102/100697320
