ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl00190	Oxidative phosphorylation	146	0.603739452621595	2.75699115198327	1e-10	8.9e-09	7.42105263157895e-09	4756	tags=66%, list=21%, signal=53%	8677314/8677317/100692881/100705239/100692587/8677319/8677313/8677320/100710104/8677316/8677324/106096937/100706771/8677318/8677323/8677321/100697907/100695358/100705299/100707142/100694419/100704883/100707916/100696786/100697434/100693065/100692250/100704109/100700806/100691549/100708725/100710162/100698621/100705792/100693543/100705449/100706427/100696016/100705312/100705972/100692526/100694483/100695203/8677312/100690057/100708573/100709019/100705042/100712084/100693446/100702099/100696271/100705793/100711343/100697091/100697423/100695760/100705947/100701139/100709974/100699226/100695060/100693018/100693141/100707800/100710754/100706497/100695068/100701856/100701929/100709256/100697524/100699388/100698306/100705346/100700405/100707594/100703579/100691746/100691881/100706772/100692759/100705231/100693673/100689881/100695305/100712213/8677322/100708544/100703964/100694607/100705832/100691073/100702176/100698436/100695608/100694087
onl03010	Ribosome	173	0.586367169200362	2.73674895361346	1e-10	8.9e-09	7.42105263157895e-09	6194	tags=68%, list=28%, signal=49%	112846812/112843666/100693690/100693430/100690398/112842563/100700449/100712355/100705698/100698782/100710267/100704434/100695777/100706131/100699889/112841902/100712529/100697647/100699787/100690179/112843668/100699803/100697226/100534572/100692584/100707344/112841671/100702758/100693537/100699139/100700005/100696981/100691103/100701387/100695522/100693356/106098935/112843665/100696163/100712489/100707213/100693246/100708197/100707041/100708525/100695635/100690746/100697017/100710306/100693457/100534436/100693891/100711912/100697473/100711190/100690034/100691205/100703910/100709025/100711682/100700493/100704095/100699764/100695843/100709648/100698311/100699676/100711334/100704343/100707884/100694681/100706674/100708460/100702190/100705596/100705490/100712250/100705775/100705165/100707655/100693220/100709517/100711314/100696829/100711099/100534449/100712073/100694481/100700425/100695239/100701640/100704791/100689858/100534549/100534443/100706003/100708520/100700760/100702526/100697185/100695708/100691912/100696222/100705081/100711077/100692490/100690460/100707648/100696588/100705882/100695084/100699950/100697190/100709589/100696630/100696027/100691299
onl03013	Nucleocytoplasmic transport	114	0.472914133884201	2.08542833094797	4.22499026330758e-07	2.50682755622917e-05	2.09025834079428e-05	4193	tags=40%, list=19%, signal=33%	100690520/100708590/100690096/100698415/100690637/100693928/100708823/100699044/100702752/100704580/100695904/106096996/100700214/100691350/100707458/100690756/100710038/100705199/100708163/100697075/100691481/100696970/100698474/100705751/100707444/100698469/100698533/100708578/100534431/109204784/100704548/100702828/100690780/100694592/100693167/100695796/100702413/100701899/100696737/100696709/100694181/100697824/109196356/100704151/100696986/100706661
onl01200	Carbon metabolism	147	0.429204137966308	1.95679203995765	1.35270094557082e-06	6.01951920779016e-05	5.01923245593384e-05	4906	tags=44%, list=22%, signal=35%	102082087/100692881/100705239/100692119/100705758/100709690/100706096/100699473/100696142/100707972/100709145/100699971/100694419/100689795/100703707/100710157/100695998/109202929/100698324/100707874/100698186/100697261/100696029/100705334/100706906/100705056/100690242/100709891/100699523/100710143/100700133/100534536/100712273/100710574/100712084/100696823/100691284/100691210/100696248/100701752/100706460/100534541/100707770/100711999/100703946/100712210/100690209/100703760/100703430/100701115/100711262/100699540/100702933/100703097/100695776/100698741/100711594/100711978/100701118/100710696/100711660/100708775/100692108/100692498/100692528
onl04141	Protein processing in endoplasmic reticulum	198	0.388101897537633	1.84835935786668	4.78872897841931e-06	0.000170478751631727	0.000142149639148868	3311	tags=30%, list=15%, signal=26%	100698159/100709493/100534448/100690953/100700083/100699822/102083160/100691545/100698470/100695162/100699353/100701646/100693024/100699888/100704662/100706186/100692517/100694779/100691567/100696698/100708428/100712496/100700552/100710058/100704139/100704710/100711796/100705917/100703041/100707967/100695345/100709737/100695155/100691305/100690275/100705345/100709064/100701641/100696887/100706727/100708965/100697290/100701377/106098101/100707709/100704866/100694674/100699947/100696358/100705320/100702828/100707674/100697936/100691317/100702212/100705501/100697275/102077389/100696705
onl03050	Proteasome	51	0.564195408399493	2.13275813695409	2.00413079630657e-05	0.000594558802904281	0.000495758670665308	6709	tags=71%, list=30%, signal=49%	100701093/100708662/100706559/100700300/100709555/100710147/112843250/100703299/100703712/100691358/100696341/100703382/100690632/100704021/100696839/100705995/100704752/100691978/100700845/100694980/100712325/100709236/100710300/100706775/100701743/100710977/100701559/100697106/100706501/100693714/102080582/100705986/100701457/100701572/102080581/100690318
onl01210	2-Oxocarboxylic acid metabolism	42	0.591253699222632	2.14511939709162	2.9266150449711e-05	0.000744196397149793	0.000620530408031466	4135	tags=52%, list=19%, signal=43%	102082087/100692119/100705674/100709690/100689795/100695998/100707874/100698186/100705334/100706906/100690242/100706080/100710143/100691284/100711018/100691210/100701752/100707770/100711999/100702933/100703097/100694950
onl04260	Cardiac muscle contraction	130	0.404893840323829	1.81224622287952	8.09316066722586e-05	0.00180072824845775	0.00150149428168269	4395	tags=36%, list=20%, signal=29%	8677314/8677317/100699862/8677313/100693295/106096937/100706771/100707930/8677323/100712462/100699477/100709284/100701831/100707142/100698262/100711157/100708478/100696786/100706681/100704109/100700806/100712391/100690441/100701149/100692262/100705312/100692280/100708540/100702099/112841652/100697091/100708961/100697423/100695760/100703066/100706497/100710835/100710292/100707594/100706772/100708132/100694151/100700975/100712579/100703964/100694607/100694365
onl04744	Phototransduction	45	0.533305619411558	1.95186964643287	0.000148991073296908	0.00294671233853885	0.00245704577015954	6037	tags=69%, list=27%, signal=50%	100703896/100693035/100690903/100695749/100704481/100707644/100690422/100697897/100696535/100691629/100708779/100706802/100703259/100702079/100700851/100706288/100693630/100699333/100691236/100696806/100697435/100706644/100709902/100710942/100700337/100711075/100711209/100708607/100698069/100710676/100709379
onl00020	Citrate cycle (TCA cycle)	39	0.553506311234166	1.99119280107971	0.000355173580098182	0.00632208972574763	0.00527152366250985	4446	tags=51%, list=20%, signal=41%	100692881/100705239/100692119/100696099/100694419/100689795/100707874/100698186/100705334/100709891/100710143/100712273/100712084/100706460/100711999/100711262/100702933/100711594/100711978/100710696
