ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl04518	Integrin signaling	215	-0.484882507438313	-2.18217955361298	1e-10	1.78e-08	1.37894736842105e-08	3929	tags=39%, list=18%, signal=32%	100709531/102080873/100695195/100707615/100711033/100696557/100711983/100706711/100693960/100696606/100694562/100701440/100706614/100704058/100707642/100700237/100700040/100700514/100706709/100709470/100700544/100695610/100704152/100712562/100691930/100693277/102080801/100692052/100693685/100711808/102075815/100690127/100710153/100711613/100707013/100699105/100689963/100709123/100693406/100701270/100690424/100707971/100705849/100710324/100703196/100705703/100699811/100710616/100692252/100706609/100707242/100690471/100696639/100707883/100695709/100696265/100697706/100689834/100702302/100693578/100705233/100708902/100708582/100712277/100696180/100692594/100697814/100699320/100706244/102077756/100692535/100710501/100708296/109194284/100691235/100703476/100708437/100701057/100699591/100701590/100708169/100697617/100706539
onl04514	Cell adhesion molecule (CAM) interaction	280	-0.400632496511331	-1.84054060617007	6.79292017245537e-08	6.04569895348527e-06	4.6835396978508e-06	4691	tags=35%, list=21%, signal=28%	100709660/100698299/100710403/106098650/102079388/100692508/100699711/102079979/100699091/106098356/102076258/100711853/100699154/102082286/102083124/109200029/100711329/100707895/102080873/102077929/100695195/100709109/100692238/100707708/100704472/112846610/100689918/109201948/100702693/100706614/100703853/100710179/100697852/102079182/100706174/100706709/100708205/112841676/109202867/100695610/100709378/109201613/109194176/100707450/100689711/100701242/100701688/100707064/100710153/112841688/100709123/100693366/100702826/102083200/100698417/100695373/100701969/100708527/100698889/100690424/109194454/106098255/100701975/100710710/100694738/100712435/100691149/100692463/102079940/109197488/100702234/102083017/100707242/102079592/100704575/100693372/109198943/102078978/100697318/100705772/102076978/100705374/100708582/100699465/100698574/100701693/100703581/100692535/100710971/109194284/100703476/100708437/100707843/112841757/100708169/100697617/100710159
onl03010	Ribosome	173	0.435900414700981	2.0078320238926	3.1619418958759e-07	1.87608552488637e-05	1.45338381880612e-05	8984	tags=65%, list=40%, signal=39%	100712355/100690174/100691299/100696499/100704791/100699889/100701387/100693430/112841902/100703575/100695635/100710199/100699950/100707518/100708384/112841671/100709517/100693690/100697226/100700005/100689858/100712351/100712073/100696163/100712565/100709394/100698311/100690398/100700449/100691806/100705882/100712222/100706003/100695881/100710267/100534436/100699676/100712489/100699787/100712259/100709025/100700760/100690746/109195715/100691288/100708407/112846812/100711099/100699952/112842563/100709589/100534569/100699747/100699908/100709298/100705081/100693246/100705490/100697189/100705165/100691963/100711190/100705775/100700060/100693891/100700425/100705238/100695239/100697190/100534572/112843666/100710875/100697473/100690804/100693457/100697647/100692256/100693537/100712529/100708460/100709648/112843668/100703241/100704434/100707884/100703910/100691205/100708520/100699139/100690179/100692490/100692069/100692584/100711498/100694819/100705698/100534449/100695708/100693220/100695843/100534443/100707041/100697988/100711314/100691103/100706131/100696027/100700493/100696829/100702526/100707655/100689943/106098935
onl04145	Phagosome	220	-0.419554837878724	-1.88444351387964	6.28340084435177e-07	1.96139925775053e-05	1.51947547466185e-05	4691	tags=40%, list=21%, signal=32%	100709660/100690004/102076024/106098650/102079388/100695781/100692508/100699091/106098356/100706267/100711757/102082286/102080873/100705711/100695195/100709109/100692238/100711983/100704472/100696606/109201948/100697826/100701440/109197098/100702693/100706614/100703853/100710179/100695365/100697852/100695265/100690461/100706709/100708205/109202867/100709378/102081239/100693277/100694867/109201613/109194176/100689711/100692435/100701242/100690127/100705431/112841688/100699105/100709123/100697763/100702826/100701969/100689992/109194454/100701975/100691897/100711071/100700971/100710017/100712435/100691149/100696420/100702234/100707242/100704575/100696639/102078978/100705310/100697318/100701862/100708582/100695758/100701693/100703581/100700630/100709747/100692535/106096470/100710971/109194284/100695592/100703476/100692664/112841757/102080526/100697617/106099003
onl04510	Focal adhesion	285	-0.390456383623908	-1.79271871282009	4.98684124258243e-07	1.96139925775053e-05	1.51947547466185e-05	3929	tags=31%, list=18%, signal=26%	100709531/100707615/100698523/100711033/100696557/100711983/100690580/100706711/100693960/100696606/100697034/100694562/100701440/100706186/100704058/100707642/100700237/100700514/100710886/100709470/100700544/100691168/100695610/100712562/100691930/100693277/100709219/102080801/100692052/100710923/100711808/102075815/100690127/100711613/100707013/100699105/100693406/100701270/100703163/100709440/100701156/100704596/100697131/100707998/100690424/100707971/100705849/100710324/100703196/100705703/100699811/100709026/100710616/100694458/100698785/100692252/100706609/100690471/100696639/100707883/100695709/100696265/100697706/100689834/100712315/100702302/100693578/100699613/100711819/100705233/100709493/100693678/100708902/100696180/100692594/100697814/100699320/100706244/102077756/100692535/100710501/100708296/100691235/100701057/100699591/100697617/100696183/100706539
onl04810	Regulation of actin cytoskeleton	322	-0.373109740993565	-1.73898637551812	6.61145817219279e-07	1.96139925775053e-05	1.51947547466185e-05	3666	tags=26%, list=16%, signal=22%	100696557/100711983/100690580/100701312/100696606/100697034/100700730/100706614/100704058/100710886/100706709/100703748/100709470/100697225/100698414/100700544/100691168/100695610/100705611/100695482/100704152/100712562/100709219/100712037/100694270/100710923/100691336/100711402/100711613/100707013/100699105/100709123/100697143/100701156/100704596/100697131/100699882/102082069/100699405/100690424/100707971/100705849/100691617/100705988/102081168/100700117/100705703/100705330/100709026/100694458/100697571/100692529/100698785/100692252/100706609/100695691/100707242/100707883/100695709/100696265/100704692/100697706/100689834/100699613/100711819/100705233/100708582/100692363/100696180/100692594/100705632/100693255/100709445/100692535/100708296/109194284/100691235/100703476/100691292/100708437/100707073/100708169/100697617/100696183/100706539
onl00190	Oxidative phosphorylation	146	0.439141420174653	1.96684050634789	9.14931437322568e-07	2.32653994062024e-05	1.80234613968807e-05	5483	tags=51%, list=25%, signal=39%	100705239/100711795/100710104/8677317/100705832/100705312/100694087/100695305/100703061/100709019/100697907/100699226/100695203/8677314/100707594/100706771/100706408/100694342/100693446/100709974/100695052/100701856/100708544/100705346/100710668/100694483/100699388/100702099/100705299/100706528/100694419/100695608/100691881/100706427/100692881/100698942/100708573/100695068/100708725/100705972/100697434/100697524/100706772/100709124/100697423/100705449/100691073/100695760/100707108/100705947/100710259/100697091/8677322/100705793/100695060/100695358/100692041/100710754/100707916/100702176/100694607/100690105/100700806/100711343/100695696/100698621/100689881/100693141/100691549/8677318/100705042/100698306/100705487/100693543/100696414
onl04512	ECM-receptor interaction	109	-0.472363060668133	-1.91812186515101	7.73318770847181e-06	0.000172063426513498	0.00013329573550129	3655	tags=37%, list=16%, signal=31%	100711983/100706711/100696606/100694562/100701440/100700237/100700040/100700514/100699391/100695610/109196113/100691930/100693277/102080801/102075815/100690127/100699105/100690424/100703196/100699811/100698387/102081321/100706865/100690471/100696639/100697706/100689834/100693578/100708902/100696180/100697814/100699320/100706244/102077756/100692535/100710501/100691235/100701057/100699591/100697617
onl03273	Virion - Lassa virus and SFTS virus	26	-0.697883199419879	-2.1527501483514	1.57144421675705e-05	0.000310796745091951	0.000240770985257513	3104	tags=38%, list=14%, signal=33%	100690461/102082606/102081239/100692435/100696429/100706865/102082425/100695592/100691292/100707073
onl03030	DNA replication	37	0.624128626155959	2.18071158112345	2.28462773432637e-05	0.000385860640515437	0.000298922199334844	2935	tags=38%, list=13%, signal=33%	100710394/100695217/100711026/100693703/100692796/100692775/100693300/100691820/100698675/100698369/100689926/100705373/100696838/100705153
