GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0006955	1	immune response	-1.88143928747682	-1.81475976840358	shared_same_direction	0.0666795190732399	NA	NA	NA	NA
GO:0030036	2	actin cytoskeleton organization	-1.86654616090791	-1.93083779244883	shared_same_direction	-0.0642916315409201	NA	NA	NA	NA
GO:0030029	2	actin filament-based process	-1.84454348696246	-1.90158512364539	shared_same_direction	-0.0570416366829301	NA	NA	NA	NA
GO:0007160	3	cell-matrix adhesion	-2.27718136198783	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0007229	4	integrin-mediated signaling pathway	-2.33816257476602	-2.26291957389262	shared_same_direction	0.0752430008734	NA	NA	NA	NA
GO:0033627	3	cell adhesion mediated by integrin	-2.31010876337077	-2.20163089338691	shared_same_direction	0.10847786998386	NA	NA	NA	NA
GO:1902531	4	regulation of intracellular signal transduction	-1.70405216817656	-1.56050485020036	shared_same_direction	0.1435473179762	NA	NA	NA	NA
GO:0007156	3	homophilic cell adhesion via plasma membrane adhesion molecules	2.04865548299016	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0007268	5	chemical synaptic transmission	1.68207201952948	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0006954	6	inflammatory response	-1.94442070949883	-1.80365263650782	shared_same_direction	0.14076807299101	NA	NA	NA	NA
GO:0034097	7	response to cytokine	-1.94054594755717	-1.76549670339422	shared_same_direction	0.17504924416295	NA	NA	NA	NA
GO:1901652	7	response to peptide	-1.94054594755717	-1.76549670339422	shared_same_direction	0.17504924416295	NA	NA	NA	NA
GO:0071345	7	cellular response to cytokine stimulus	-1.87497493157319	-1.72366804872463	shared_same_direction	0.15130688284856	NA	NA	NA	NA
GO:0072359	8	circulatory system development	-1.84131077989981	-1.78464988304844	shared_same_direction	0.05666089685137	NA	NA	NA	NA
GO:0048870	9	cell motility	-1.58466884112128	-1.61520334983688	shared_same_direction	-0.0305345087156002	NA	NA	NA	NA
GO:0006260	10	DNA replication	1.98614014498314	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0006520	10	amino acid metabolic process	1.75992499920498	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0022613	11	ribonucleoprotein complex biogenesis	1.68389683163257	1.90699752553539	shared_same_direction	0.22310069390282	2.14888155911042	NA	solitary_specific	NA
