ID	NES_sol	NES_grp	in_sol	in_grp	category	delta_NES
GO:0006955	-1.88143928747682	-1.81475976840358	TRUE	TRUE	shared_same_direction	0.0666795190732399
GO:0030036	-1.86654616090791	-1.93083779244883	TRUE	TRUE	shared_same_direction	-0.0642916315409201
GO:0030029	-1.84454348696246	-1.90158512364539	TRUE	TRUE	shared_same_direction	-0.0570416366829301
GO:0007160	-2.27718136198783	NA	TRUE	FALSE	solitary_specific	NA
GO:0007229	-2.33816257476602	-2.26291957389262	TRUE	TRUE	shared_same_direction	0.0752430008734
GO:0033627	-2.31010876337077	-2.20163089338691	TRUE	TRUE	shared_same_direction	0.10847786998386
GO:1902531	-1.70405216817656	-1.56050485020036	TRUE	TRUE	shared_same_direction	0.1435473179762
GO:0007156	2.04865548299016	NA	TRUE	FALSE	solitary_specific	NA
GO:0007268	1.68207201952948	NA	TRUE	FALSE	solitary_specific	NA
GO:0006954	-1.94442070949883	-1.80365263650782	TRUE	TRUE	shared_same_direction	0.14076807299101
GO:0034097	-1.94054594755717	-1.76549670339422	TRUE	TRUE	shared_same_direction	0.17504924416295
GO:1901652	-1.94054594755717	-1.76549670339422	TRUE	TRUE	shared_same_direction	0.17504924416295
GO:0071345	-1.87497493157319	-1.72366804872463	TRUE	TRUE	shared_same_direction	0.15130688284856
GO:0072359	-1.84131077989981	-1.78464988304844	TRUE	TRUE	shared_same_direction	0.05666089685137
GO:0048870	-1.58466884112128	-1.61520334983688	TRUE	TRUE	shared_same_direction	-0.0305345087156002
GO:0006260	1.98614014498314	NA	TRUE	FALSE	solitary_specific	NA
GO:0006520	1.75992499920498	NA	TRUE	FALSE	solitary_specific	NA
GO:0022613	1.68389683163257	1.90699752553539	TRUE	TRUE	shared_same_direction	0.22310069390282
GO:0051336	-1.70634550302448	-1.54504379273065	TRUE	TRUE	shared_same_direction	0.16130171029383
GO:0060326	-2.01191425775411	-1.77728944648085	TRUE	TRUE	shared_same_direction	0.23462481127326
GO:0019882	-2.06442291462124	-2.4053282823538	TRUE	TRUE	shared_same_direction	-0.34090536773256
GO:0006753	1.5663607431539	1.57346680508577	TRUE	TRUE	shared_same_direction	0.00710606193187013
GO:0097435	-1.54781715126146	-1.73748251558778	TRUE	TRUE	shared_same_direction	-0.18966536432632
GO:0048584	-1.54051449695898	-1.37126564336279	TRUE	TRUE	shared_same_direction	0.16924885359619
GO:0140546	-1.84457619707892	-1.80553769505827	TRUE	TRUE	shared_same_direction	0.0390385020206501
GO:0016064	-1.97882185518224	-2.16202406201514	TRUE	TRUE	shared_same_direction	-0.1832022068329
GO:0035329	-2.07852206688297	NA	TRUE	FALSE	solitary_specific	NA
GO:0044272	1.8808379078023	NA	TRUE	FALSE	solitary_specific	NA
GO:0002503	-2.0299394022109	-2.32417799590295	TRUE	TRUE	shared_same_direction	-0.29423859369205
GO:0002443	-1.89403530321649	-2.19525736758284	TRUE	TRUE	shared_same_direction	-0.30122206436635
GO:0006418	2.04234686518166	NA	TRUE	FALSE	solitary_specific	NA
GO:0006259	1.4939063467683	1.53035531621754	TRUE	TRUE	shared_same_direction	0.03644896944924
GO:0051965	2.03329726699073	NA	TRUE	FALSE	solitary_specific	NA
GO:0090407	1.49247738523861	1.64430830628075	TRUE	TRUE	shared_same_direction	0.15183092104214
GO:0050727	-1.99099275242365	-1.81304967221034	TRUE	TRUE	shared_same_direction	0.17794308021331
GO:0070585	1.97581455514514	1.99055132373729	TRUE	TRUE	shared_same_direction	0.01473676859215
GO:0009060	1.84244022097141	2.04241004172918	TRUE	TRUE	shared_same_direction	0.19996982075777
GO:0009605	-1.48415093643135	NA	TRUE	FALSE	solitary_specific	NA
GO:1901137	1.47719578286169	NA	TRUE	FALSE	solitary_specific	NA
GO:0045103	-1.94903700484816	-1.79249763382511	TRUE	TRUE	shared_same_direction	0.15653937102305
GO:0045104	-1.94903700484816	-1.79249763382511	TRUE	TRUE	shared_same_direction	0.15653937102305
GO:0006839	1.82543724498463	1.99342279193472	TRUE	TRUE	shared_same_direction	0.16798554695009
GO:0170039	1.78451451195915	1.87459367592529	TRUE	TRUE	shared_same_direction	0.09007916396614
GO:0007005	1.67556445764582	1.92862928182062	TRUE	TRUE	shared_same_direction	0.2530648241748
GO:0048646	-1.7108428712649	-1.49845407164835	TRUE	TRUE	shared_same_direction	0.21238879961655
GO:0007601	-1.81975564480613	NA	TRUE	FALSE	solitary_specific	NA
GO:0048699	1.39494259669845	NA	TRUE	FALSE	solitary_specific	NA
GO:0007009	-1.79059857520595	-1.73089362158113	TRUE	TRUE	shared_same_direction	0.05970495362482
GO:0043603	1.57626301205369	1.43872325895414	TRUE	TRUE	shared_same_direction	-0.13753975309955
GO:0006637	1.85844663503324	NA	TRUE	FALSE	solitary_specific	NA
GO:0044283	1.53762139123437	1.4940948605213	TRUE	TRUE	shared_same_direction	-0.0435265307130699
GO:0001525	-1.70892470905445	NA	TRUE	FALSE	solitary_specific	NA
GO:0006605	1.66441541914332	1.63244058490334	TRUE	TRUE	shared_same_direction	-0.0319748342399799
GO:0044782	-1.5478845785718	NA	TRUE	FALSE	solitary_specific	NA
GO:1990542	1.82832577212093	2.06746769595402	TRUE	TRUE	shared_same_direction	0.23914192383309
GO:0006935	-1.60677396209541	-1.78048714019315	TRUE	TRUE	shared_same_direction	-0.17371317809774
GO:0050804	1.59021560325211	NA	TRUE	FALSE	solitary_specific	NA
GO:0051604	1.48325519708024	NA	TRUE	FALSE	solitary_specific	NA
GO:0007187	1.9323923626298	NA	TRUE	FALSE	solitary_specific	NA
