ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0050684	regulation of mRNA processing	65	-0.631767765313389	-2.58918771444175	1e-10	2.04986093417405e-08	1.52628388402777e-08	3973	tags=52%, list=19%, signal=42%	100707129/100708071/100705851/100693526/100698083/100694078/100707399/100703921/100700642/100689832/100712570/100712461/100692330/100706793/100699188/100708356/100711649/100692185/100711186/100696161/100702848/100695192/100706659/100704767/100701682/100705667/100708897/100708447/100698250/100692969/100706673/100689717/100706247/100705935
GO:0006457	protein folding	138	0.505503627695963	2.445227089928	1e-10	2.04986093417405e-08	1.52628388402777e-08	5889	tags=58%, list=28%, signal=42%	100696748/100711964/100701000/100709337/100705744/100706085/100710395/100708446/100700173/100704884/100707907/100701982/100700751/100704792/100703393/100700552/100705671/100704205/100704076/100709599/100689964/100708681/100706160/100708200/100696358/100701381/100700012/100708580/100701980/100707987/100703286/100691620/100712490/100698795/102080808/100699547/100697898/100704618/100699241/100696034/100690112/100695220/100689866/100709074/100701377/100692882/100712384/100697290/100708649/100693517/100690262/100707186/100690973/100695991/100709962/100699145/100708567/100700083/100693340/100707780/100710408/100711145/100695141/100708509/100698142/100711757/100711553/100709224/100693443/100703595/100692304/100691221/100707128/100689779/100712305/100696752/102081889/100706685/100703840/100694778
GO:0042254	ribosome biogenesis	199	0.455119622191522	2.32282085682163	1e-10	2.04986093417405e-08	1.52628388402777e-08	5905	tags=50%, list=28%, signal=36%	100691321/100700856/100699755/100691767/100694346/100711826/100703095/100690312/100700318/100700764/100701396/100691251/100699770/100696386/100696496/100690694/100704209/100696584/100710665/100709630/100709298/100707444/100705775/100712031/100708798/100692703/100712097/100701367/100696289/100694515/100700222/100704755/100703431/100710418/100702188/100699686/100706520/100699709/100690314/100693690/100708161/100710963/100709176/100709929/100699908/100695069/100706324/100692466/100709012/100700640/100691288/100689889/100706886/100691003/100699026/100698107/100711681/102082472/100708520/100694758/100690398/100705078/100534569/106099017/100700686/100708186/100709429/100690203/100709368/100696019/100695707/100698096/100712351/100709767/100693981/100705218/100693901/102076389/100709353/100712489/100699931/100704603/100712241/109194156/100698168/100707920/100701316/100692034/100700944/100700793/100691224/100708811/100693046/100703765/100710444/100705748/100702046/100690949/100690190/100710789
GO:0051604	protein maturation	249	0.429342091347776	2.24186178053732	1e-10	2.04986093417405e-08	1.52628388402777e-08	4822	tags=44%, list=23%, signal=34%	100696748/100702095/100691693/100711964/100690696/100701000/100708456/100709337/100705744/100706085/100710395/100704794/100708446/100692935/100700173/100704884/100707907/100701982/100700751/100711407/100704792/100703393/100700552/100707462/100706479/100705671/100704205/100697155/100704076/100711040/100709491/100697684/100691339/100709599/100705737/100689964/100708681/100701453/100706160/100708200/100696358/100690836/100701381/100709314/100700012/100708580/100701980/100707987/100703286/100707281/100691620/100689805/100707215/100712490/100698795/102080808/100699547/100534403/100697898/100691556/100704114/100704618/100704124/100705887/100699241/100696034/100700321/100690112/100712494/100700204/100695220/100689866/100709074/100701377/100692882/100711634/100702337/100712384/100697290/100708649/100693517/100690262/100707186/100690973/100695991/100692688/100709962/100699145/100708567/100700083/100693340/100698245/100707780/100710408/100700803/100707494/100704381/100711145/100695141/100699336/100708509/100698142/100699474/100690505/100704865/100709405/100711757/100707283/100711553
GO:0006412	translation	337	0.379033931445845	2.05008251346893	1e-10	2.04986093417405e-08	1.52628388402777e-08	5200	tags=37%, list=25%, signal=28%	100703575/100705814/100704434/100694149/100697041/100699995/100707518/100696426/100699950/100695771/100709276/100697496/100702408/100690333/100691559/100689916/100709394/100711269/100709667/100701352/100710207/100694172/100709298/100711210/100693350/100693173/100707922/100710965/100697473/100705775/100699604/100708407/100691589/100705238/100712355/100693862/100711381/100705169/100693747/100704483/100692200/100690520/100709571/100710527/100694096/100708710/100700760/100708875/100695522/100693906/100704284/100694630/100691481/100708309/100711375/100711590/100712565/100699800/100699078/112841671/100710199/100707984/100702964/100694326/100702471/100691530/100700060/100693430/100711314/100709057/100691150/100709154/100712222/100695069/100701861/100708578/100697189/100697647/100700485/100701616/109204784/100712506/100711953/100691288/100694638/100690707/100697226/100703892/100703786/100708384/100695455/100692502/100698161/100708520/100708490/100690398/100711487/100701276/100695074/100712529/100706003/100534569/100703711/100705490/100710663/106096996/100691995/100709820/100698891/100699952/100709796/100704901/100712351/100709944/100692511/100690034/100691135/100692742/100701141/100707561/100712489/100691299/100711113/100696602/100695243/100703608
GO:0019752	carboxylic acid metabolic process	401	0.353677552621723	1.9479758646847	1e-10	2.04986093417405e-08	1.52628388402777e-08	4747	tags=35%, list=23%, signal=28%	100534427/100691871/100712005/100703736/100697128/100706080/100702383/100691639/100706085/100690209/100534540/100701182/100699387/100697277/100693621/100700973/100704884/100712273/100706630/100694281/100697523/100703085/100704487/100699897/100698403/100699540/100708317/100707810/100705334/100709338/100699784/100706906/100699929/100706271/100690782/100696679/100692276/100703740/100706847/100697766/100712524/100708056/100710809/100703062/100704451/100698584/100711100/100695729/100692737/100705793/100704930/100700576/100709781/100709464/100697889/100710661/100707296/100693079/100711722/100691217/100709925/100707972/100710578/100707459/100707874/100534536/100701200/100704678/109204650/100534541/100698402/100705446/100706747/100703347/100701752/100691671/100693325/100691556/100691099/100709132/100710228/102082248/100698532/100701118/100691111/100705920/100703932/100690844/100700257/100690220/100696248/100701902/100707643/100691990/112841653/100710671/100690676/100696029/100693722/100690946/100701020/102078228/100709803/100707585/100705651/100702337/100709997/100691341/100708614/100702912/100698421/100711999/100698433/100702713/100705565/100706576/100703611/100708820/100696002/100693322/100698696/100699636/100704809/100705761/100701414/100699996/100711018/100693316/100701654/100689827/100701964/100700037/100703423/100706914/100703366/100694528/100692265/100699955/100698949/100691210/100704813/100704074
GO:0048667	cell morphogenesis involved in neuron differentiation	239	-0.405411710323722	-2.02699135460476	2.17508137499229e-09	2.81992902969589e-07	2.09966059666439e-07	4636	tags=38%, list=22%, signal=30%	100703653/100695819/100703317/100691987/100693438/106096418/100710492/100703331/100692989/100699984/100693707/100707125/100708283/100700621/100700172/100711975/100691266/100696429/100706982/100690290/100698864/100693140/100699183/100699858/100696504/100693769/100700868/100702838/100710240/100694078/100690049/100694218/109196279/100705830/100692370/100693357/100699095/100691771/100692390/100691716/100708783/100693271/100708502/100699956/100704789/100699377/100707119/102077685/100706233/100698758/100706865/100703362/100701099/100710579/100710053/100709263/100710234/100694955/100703109/100706624/100698740/100700193/100700503/100708315/100707941/100697450/100710601/100702529/100691067/100701304/100705354/100699141/100701479/100709445/100700380/100711158/100707664/100691209/100694794/100707499/100700486/100711152/100694506/100703532/100712288/100692651/100705111/109194178/100702629/100711384/100704705/100697506
GO:0000902	cell morphogenesis	327	-0.368796707318898	-1.90303978579279	4.35967146217322e-09	5.33817550146099e-07	3.974694625455e-07	4637	tags=37%, list=22%, signal=29%	100695456/100703653/100695819/100703317/100691987/100707506/100693438/106096418/100710492/100703331/100692989/100708854/100699984/100693707/100704801/100707125/100708283/100700621/100700172/100693381/100711975/100691266/100690850/100690668/100696429/100706982/100693831/100690290/100698864/100693140/100699183/100708136/100699858/100696504/100693769/100700868/100702838/100710240/100694078/100706561/100690049/100694218/109196279/100705732/100705830/100692370/100697845/100693357/100699095/100691771/100692390/100694697/100690532/100691716/100708783/100693271/100708502/100699956/100703197/100704789/100699377/100711438/100707119/102077685/100706233/100698758/102078439/100706865/100703362/100691450/100701099/100710579/100710883/100710053/100707816/100709263/100710234/100694955/100703109/100706624/102077596/100698740/100700193/100690957/100700503/100703839/100708315/100707941/100697450/100710601/100702529/100700124/100691067/100701304/100705354/100699141/100701479/100709445/100700380/100711158/100707664/100691209/100694794/100698238/100707499/100708357/100700486/100711152/100694506/100703532/100697050/100712288/100692962/100692651/100705111/109194178/100702629/100711384/100704705/100697506
GO:0009891	positive regulation of biosynthetic process	432	-0.341363939218574	-1.81491389508973	5.0040623532991e-09	5.80471232982695e-07	4.32206825971928e-07	4172	tags=31%, list=20%, signal=26%	100708818/100693386/100703145/100703128/100693960/100691207/102077873/109204785/100697408/100710482/100707390/100696470/100534499/100705840/102083202/100697873/100698268/100702155/100699632/100704988/100693047/102081615/100706722/100706951/100699910/100701803/100706824/102077828/100708975/100694078/100701581/100690070/100701498/100706579/100695017/100690925/100694988/100703242/100699089/102082459/100703972/100711617/100697049/100699288/100701900/100710680/109194414/100694814/100701097/102081093/100710674/100706646/100708841/100707667/102079592/100699863/100707669/100691026/100698878/100693092/109194170/100695549/100698130/100702192/100701649/100708605/100711423/100692488/102075543/100689832/100693371/100712119/100710719/100690089/100703632/100702791/100700776/100689867/100710828/100696117/102082021/100696274/100710066/100696076/100709989/100694646/100690809/100699346/100697915/100708315/100711097/102076123/100712583/100698056/100692728/100704340/100694371/100691833/102078580/102081773/100703494/100704780/100701334/100692573/102075597/100702724/100708694/100706313/100696161/100710717/100700388/100710887/100695813/100700725/100705118/100698988/100705339/100692838/109194181/100710135/100706070/100690941/100708897/102079559/100711457/100712340/100706110/100701827/100706752/100710922/100703278/100700211/100692790/100700132/100706203
GO:0010557	positive regulation of macromolecule biosynthetic process	427	-0.344051047921541	-1.82907727347824	5.35218357570347e-09	5.89810630042523e-07	4.3916074708009e-07	4172	tags=32%, list=20%, signal=26%	100708818/100693386/100703145/100703128/100693960/100691207/102077873/109204785/100697408/100710482/100707390/100696470/100534499/100705840/102083202/100697873/100698268/100702155/100699632/100704988/100693047/102081615/100706722/100706951/100699910/100701803/100706824/102077828/100708975/100694078/100701581/100690070/100701498/100706579/100695017/100690925/100694988/100703242/100699089/102082459/100703972/100711617/100697049/100699288/100701900/100710680/109194414/100694814/100701097/102081093/100710674/100706646/100708841/100707667/102079592/100699863/100707669/100691026/100698878/100693092/109194170/100695549/100698130/100702192/100701649/100708605/100711423/100692488/102075543/100689832/100693371/100712119/100710719/100690089/100703632/100702791/100700776/100689867/100710828/100696117/102082021/100696274/100710066/100696076/100709989/100694646/100690809/100699346/100697915/100708315/100711097/102076123/100712583/100698056/100692728/100704340/100694371/100691833/102078580/102081773/100703494/100704780/100701334/100692573/102075597/100702724/100708694/100706313/100696161/100710717/100700388/100710887/100695813/100700725/100705118/100698988/100705339/100692838/109194181/100710135/100706070/100690941/100708897/102079559/100711457/100712340/100706110/100701827/100706752/100710922/100703278/100700211/100692790/100700132/100706203
