ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006412	translation	337	0.515927489994503	2.69180567363338	1e-10	1.46933333333333e-08	1.1740350877193e-08	5325	tags=54%, list=26%, signal=41%	100712104/100705814/100697473/100703241/100708102/100707213/100711210/100704284/100690804/100690460/100711590/100699889/100708762/100712489/100707561/100710965/100695239/100692200/100697189/100708384/100709571/100704053/100711498/100705169/100709667/100703575/100701387/100707922/100712355/100693350/100691806/100710673/100709298/100702408/100699599/100699747/100695771/100690333/100534443/100706003/100707587/100694149/109195715/100694172/100699604/100705775/100701640/100701352/100698161/100534569/100709057/100534436/100707648/100690707/106098935/100702379/100696251/100695522/100693246/100705596/100692069/100705882/100711334/100690398/100702964/100712222/100696149/100697041/100692502/100711190/100698106/100691299/100699995/100691530/100703892/100691963/100696602/100689858/100695843/100711314/100691559/100708578/100708520/100710267/100701551/100696499/109204264/100703910/100696027/100705081/100696829/100699078/100691103/100704483/100694681/100689943/100699800/100693173/100695708/100689919/100691150/100690746/100709154/100690034/100692490/100696837/100693862/100711381/100711375/100699950/100695556/100704343/100705490/100694704/100692256/100709053/100692742/100697185/100700425/100534449/100705082/100710199/100705238/100693891/100695455/100708460/100712529/100709394/100697190/100709796/100695881/100702758/100699803/100704624/100700271/100693841/100707518/100710207/100691205/100709276/102081676/100695069/100691333/100700493/100697647/100710527/100690284/100694096/100707041/100693356/100711077/100690056/100697017/100700156/100699952/100693457/100698609/100693906/100712493/100694638/100693220/100691912/100710663/100700760/100711912/109194511/100700929/100702190/100696588/100709589/100697988/100712073/100712351/100691135/100698782/100704095/100696222/100697496/100691589/100694630/100695243
GO:0042775	mitochondrial ATP synthesis coupled electron transport	47	0.700959278920442	2.65965585579858	1e-10	1.46933333333333e-08	1.1740350877193e-08	3372	tags=68%, list=16%, signal=57%	100694087/109194175/100700847/100705487/100697423/100695203/100693065/100706772/100701956/100707442/100698752/100702099/106096937/100697142/100692041/100693543/100709085/100707594/100708544/100697524/100697843/100707142/100696168/100699226/100703964/100706528/100704650/100707916/100695052/100708573/100691549/100711343
GO:0042254	ribosome biogenesis	199	0.536195225543174	2.61312963743786	1e-10	1.46933333333333e-08	1.1740350877193e-08	5088	tags=56%, list=24%, signal=43%	100696386/100704755/100709630/100693981/100692034/100696289/100710963/100712489/100711826/100690372/100702188/100711394/100708798/100712031/100691767/100703765/102081115/100707444/100694515/100693690/100690694/100704209/100694346/100709298/100704162/100699908/100699931/100699770/100690312/100708186/100705775/100706886/100534569/100694129/102082472/100696584/100691003/100710694/100701396/100705596/100702046/100711334/100690398/100692466/100705748/100708520/100701551/100696499/100703910/100700318/100692012/100706324/100696027/100693104/100700793/100689943/100690949/100709220/100695708/100700764/100709012/100704343/100698168/100708676/100700425/100534449/100691321/100708161/100692797/100711233/100691983/100698096/100705218/100711681/100690075/100690014/100700856/100702526/100697190/100703447/100710665/100712097/100691205/100700686/100711785/100695069/100691333/100709929/100690314/100700277/100689889/100709797/100693542/100689807/100693356/100711077/100710418/100709353/100701316/100709368/100710789/100699709/106099017/100711132/100698107/100700640/100702899/109194156/100690190/100710303/100693314/100712351
GO:0006364	rRNA processing	138	0.515984174919637	2.40502725835858	1e-10	1.46933333333333e-08	1.1740350877193e-08	4320	tags=48%, list=21%, signal=38%	100696386/100704755/100709630/100693981/100692034/100710963/100690372/100702188/100711394/100708798/100712031/102081115/100704209/100694346/100709298/100704162/100699908/100699931/100699770/100690312/100708186/100694129/102082472/100696584/100691003/100710694/100702046/100711334/100692466/100705748/100701551/100696499/100703910/100700318/100692012/100706324/100700793/100690949/100709220/100709012/100704343/100698168/100708676/100708161/100692797/100711233/100691983/100698096/100690075/100690014/100700856/100702526/100710665/100712097/100700686/100711785/100709929/100690314/100700277/100689889/100709797/100693542/100689807/100693356/100709353/100701316
GO:0016072	rRNA metabolic process	148	0.504671870605882	2.37364063246419	1e-10	1.46933333333333e-08	1.1740350877193e-08	4320	tags=47%, list=21%, signal=38%	100696386/100704755/100709630/100693981/100692034/100710963/100690372/100702188/100711394/100708798/100712031/102081115/100704209/100694346/100709298/100704162/100699908/100699931/100699770/100690312/100708186/100693135/100694129/102082472/100696584/100691003/100710694/100702046/100711334/100692466/100705748/100701551/100696499/100703910/100700318/100692012/100706324/100710370/100700793/100700246/100690949/100709220/100709012/100704343/100698168/100708676/100708161/100692797/100711233/100691983/100698096/100690075/100690014/100700856/100711496/100702526/100710665/100712097/100700686/100711785/100709929/100690314/100700277/100689889/100709797/100693542/100689807/100693356/100709353/100701316
GO:0030182	neuron differentiation	447	-0.375960866922017	-2.03551072817926	1e-10	1.46933333333333e-08	1.1740350877193e-08	4790	tags=37%, list=23%, signal=29%	100710150/100691771/100707941/100696807/100696307/100698740/100703886/100691096/100702919/102077596/100704287/100709727/100707075/100700683/100690943/100706883/100711023/100697755/100701289/100702838/100700503/100706063/100694029/100698344/100699152/100699296/100710240/100708502/100696746/100700172/100705222/100709726/100710509/100690938/100707261/100711616/100711161/100707712/100709158/100711149/100709432/100697537/100706675/100706624/100695819/100705934/100703653/100710688/100704442/100708883/100691209/100710492/100696007/112842785/100690197/100704786/100695150/100709700/106097879/100695617/100700124/100703597/100696208/100707385/102082678/100711152/100701849/100695033/100699956/100705493/100707499/100710475/100690073/100701494/100693707/100696145/100690850/100710700/102075686/100707802/100709055/100693972/100708783/100704867/100694789/100709445/100702629/100709263/109194178/100705316/100697506/100708019/100710601/100703109/100703115/100709535/100704174/100698864/100707768/100702125/100708583/100696429/100698613/100706865/100695280/100694602/100711408/100697062/100699132/100693769/100710577/100693643/100697450/100690049/100705354/100703814/100699141/100712209/100698566/100693991/100701550/100693185/100693425/100697880/100711384/100705337/100703362/100699211/100702720/100701512/100705949/102083107/100710405/100693030/102076553/100692651/100699815/100710674/100704275/100691488/109196279/100694152/100711158/102077685/100700859/100699916/100694078/100710315/100690107/100691239/100699502/100694794/100711829/100696266/100691274/100709179/100696665/100695166/100703532/100692235/100691512/100712304/100706333/100701147/100691867/100701597
GO:0007005	mitochondrion organization	150	0.483723719800715	2.27911435514047	1.09968092945096e-10	1.5148104803187e-08	1.21037249669175e-08	5783	tags=52%, list=28%, signal=38%	100701909/100702835/100694087/100697423/106098298/100703797/100699547/106098419/100698115/100706309/100701366/100700196/100692167/100691219/100703995/100698752/100705095/100689881/100693129/100701960/106096464/100693926/100705419/100690427/100697476/100710867/100690033/100692634/100701609/100708333/100693713/100701489/100692228/100711031/100689723/106096644/100693446/100708012/100696168/100698117/109205000/106097998/100710033/100705749/100708117/100695944/100696586/100712313/100693648/100704380/100693883/100708446/100689929/100693488/102080062/100701453/100700608/100695229/100700477/100696306/100705235/102082689/100690566/102082248/100693383/100697268/100707757/100703871/100693558/100705876/100704051/100700207/100704197/100700515/100691753/100711579/100705792/100696752
GO:0007411	axon guidance	150	-0.479192816449448	-2.27413961748506	2.71028549436712e-10	3.31859401643618e-08	2.65164189010303e-08	4892	tags=47%, list=24%, signal=36%	100709840/100710150/100707941/100696307/100698740/100702919/100704287/100709727/100706883/100697755/100702838/100700503/100706063/100710240/100700172/100709158/100697537/100706624/100695819/100703653/100710688/100708883/100710492/112842785/100709700/100696208/100711152/100690073/100701494/100693707/100696145/100707802/100709055/100693972/100708783/100709445/100702629/100709263/109194178/100697506/100703109/100703115/100708583/100696429/100706865/100695280/100699132/100693769/100705354/100703814/100699141/100712209/100693185/100693425/100711384/100705337/100703362/100705949/100692651/100699815/100704275/109196279/100711158/102077685/100694794/100711829/100709179/100703532/100692235/100706333
GO:0006457	protein folding	138	0.494067339670357	2.30287182655744	6.35689658606349e-10	7.37400003983365e-08	5.89201550608544e-08	4107	tags=48%, list=20%, signal=39%	100701982/100700173/100700751/100707780/100699547/100693340/100705612/100700552/100711070/100704884/100706085/100697290/100704205/100703393/100707186/100703286/100709224/100692205/100691620/100691603/100705744/100699145/100712490/100699602/100696748/100694755/100708200/100705966/100707907/100711145/100704216/100710408/100702611/100689779/100693443/100690112/100701381/100704076/100707987/100706160/100699088/100704792/100692882/100690973/100711757/100708580/100711964/100691596/100701406/100707128/100694901/102080808/100704618/100692304/100708446/100710395/100696034/100701980/100708567/100698142/100692254/100701317/100695141/100694778/100697898/100709962
GO:0051604	protein maturation	249	0.40002150682933	2.0188746210666	2.98607107104341e-09	3.13395268599032e-07	2.50410872273465e-07	3992	tags=39%, list=19%, signal=32%	100701982/100691339/100690696/100700173/100700751/100707780/100699547/100704381/100693340/100705612/100708947/100700552/100690836/100711070/100704884/100706085/100697290/100693596/100704205/100703393/100705887/100707186/100709491/100703286/100709224/100705737/100692935/100692205/100691620/100708456/100691603/100705744/100699145/100702095/100712490/100699602/100696748/100694755/100708200/100705966/100707907/100695335/100692688/100711145/100704114/100704216/100710408/100702611/100689779/100693443/100690112/100696905/100701381/100704076/100707987/100692959/100706160/100699088/100704792/100692882/100690973/100711757/100708580/100711964/100709314/100693929/100697155/100691596/100691556/100707281/100701406/100707128/100697684/100711407/100694901/102080808/100704618/100692304/100708446/100710395/100696034/100700803/100701980/100708567/100704124/100698142/100707215/100702337/100691568/100692254/100701453/100701317/100695141/100694778/100708780/100697898
