ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042775	mitochondrial ATP synthesis coupled electron transport	47	0.694197895310363	2.73038516780915	1e-10	1.3775e-08	1.05e-08	4092	tags=72%, list=20%, signal=58%	100699226/100695203/100693543/100707594/100694087/100702099/100697423/100708544/100695052/100707442/100694607/100711343/109194175/100696168/100697524/100697907/100693065/100706528/100705487/100703964/100706772/100708573/100694342/100691549/100701956/100700847/100692041/100704109/100707916/100707142/100706771/100697843/100694419/100692881
GO:0042254	ribosome biogenesis	199	0.484448700305718	2.44176996115752	1e-10	1.3775e-08	1.05e-08	5819	tags=53%, list=28%, signal=38%	100712031/100690694/100691003/100699026/100704162/100694515/100701138/100698107/100709012/100696289/100695788/100691251/100710789/100690398/100708811/100706886/100708798/100703765/109194156/100711133/100699556/100690312/100699770/100702899/100696499/100700222/100710694/100710963/100696386/100701316/100709298/100704603/100692012/100700793/100704416/100708186/100711681/100709353/100693690/100701396/100702046/106099017/100690727/100691767/100709630/100699709/100712351/100700764/100696019/100691983/100701217/102081481/100693913/100691321/100699908/100700425/100704209/100696778/100689889/100710303/100698166/100690190/100704755/100534569/100707444/100696584/100710665/100691421/100694346/100712097/100693314/100700277/100700318/100709561/100694129/100699755/100700003/100703035/100709176/100692703/100709220/100699686/100710444/100689807/100693901/100699931/100710418/100692753/102082095/100703095/100690314/100696496/100712489/102082472/100708161/100706520/100690949/100703447/100693022/100694091/100697190/100691288/100708520/100699262/100694716
GO:0007005	mitochondrion organization	150	0.487435962272891	2.34680277347854	1e-10	1.3775e-08	1.05e-08	5375	tags=51%, list=26%, signal=38%	100704027/100692228/100694425/100703797/100710033/100711865/100694087/100695944/100697423/100706309/100700196/100693446/100708446/100693713/100708216/100701366/100700862/100690427/100703844/100698117/100697476/100708000/100711014/100696168/102082689/106097998/100710189/100690566/100710653/100708333/100708117/100696752/100701609/100697268/100706710/109205000/100693383/100708029/100704380/100698115/100701909/100710867/100692167/100711031/100692634/100694342/100707757/100697825/100691587/100701489/106098298/100705360/100692913/100702835/100709104/100701003/100699313/100708012/100701453/100705153/100693926/100705235/100693800/100704986/100693129/100689863/100699260/100698752/100705095/100696684/100703995/100703871/100700608/100690033/100699927/100691221
GO:0072359	circulatory system development	157	-0.511391058679825	-2.32698383232646	1e-10	1.3775e-08	1.05e-08	4057	tags=43%, list=20%, signal=35%	100694188/100710719/100705211/100705524/100703589/100695462/100703676/102080255/102076710/100694757/100709470/100705660/100702294/100711870/100700960/100709973/100692213/100695177/100693823/100703947/100696429/100711983/100692123/100698851/100705741/100702564/100701076/100705840/102079969/100708341/100695442/100712340/100703143/100696318/100696924/100699130/100707499/100696606/100707330/102079618/100699372/100705434/100706836/100709844/100695603/100689834/100708828/100694905/100707611/100709263/100698854/100712573/102079592/100710616/100690567/100702631/100701657/100696897/100692052/100698260/102077429/100706480/100711530/100697617/100691958/100696180/100696794/100693400
GO:0016072	rRNA metabolic process	148	0.479515724074712	2.30260954936489	1e-10	1.3775e-08	1.05e-08	6940	tags=61%, list=33%, signal=41%	100712031/100691003/100699026/100704162/100698107/100709012/100695788/100691251/100708811/100708798/109194156/100711133/100699556/100690312/100699770/100710370/100696499/100710694/100710963/100696386/100701316/100709298/100704603/100692012/100700793/100708186/100709353/100702046/100690727/100709630/100696019/100691983/100701217/102081481/100693913/100707498/100699908/100704209/100696778/100689889/100710303/100690190/100704755/100693135/100696584/100710665/100694346/100712097/100693314/100700277/100700318/100709561/100694129/100699755/100700003/100703035/100709176/100700246/100692703/100709220/100699686/100710444/100689807/100693901/100699931/102082095/100690314/100696496/102082472/100708161/100706520/100690949/100694091/100699262/100708852/100694758/109195369/100692797/100712521/100690372/100711947/100705022/100700944/100701551/100704343/100695611/100709929/100691398/100703910/100693542
GO:0051604	protein maturation	249	0.413967280034269	2.15298731713356	1e-10	1.3775e-08	1.05e-08	4322	tags=43%, list=21%, signal=34%	100707780/100704794/100711895/100707709/100700552/100707462/100697898/100705887/100702095/100707907/100696358/100705612/100691339/100700321/100697290/100712490/100692688/100706160/100692254/100708446/100689866/100706085/100709314/100701980/100703357/100705671/100708580/100705737/100700803/100690696/100704381/100704076/102082689/100689805/100696205/100707281/100692197/100690973/100710620/100709074/100695141/100691568/100711070/100699145/100710408/100699474/100695335/100707186/100697155/100534405/100704205/100709224/100696752/100703393/100534403/100691620/102080808/100708567/100708200/100697193/100703286/100709337/100708428/100708681/100692840/100712533/100700751/100691556/100693929/100708258/100692935/100692304/100709962/100690505/100695991/100700173/100710395/100707128/100690836/100711040/100708649/100707987/100701377/100694778/100704618/100692882/100704884/100702337/100692959/100699241/100691461/100707283/100699088/100712384/100693596/100701453/100701982/100708999/100701317/100698440/100711145/100708246/100709491/100708456/100696905/100704698
GO:0006412	translation	337	0.397736896949895	2.13477800662672	1e-10	1.3775e-08	1.05e-08	6224	tags=49%, list=30%, signal=35%	100712355/100711895/100694630/100699604/100695243/100702408/100693173/100694149/100712104/100705053/100705814/100703575/100693350/100697473/112841671/100699950/100691299/100695771/100690398/100704541/100699889/100689858/100695589/100699995/100712565/100703608/100693891/100704284/100708663/100710199/100708407/100690520/100705490/100711113/100700760/100692511/100710207/100696499/100707587/100712073/100691150/100710953/100710267/100701047/100707922/100709298/100708384/100709571/100696426/100698609/100711381/100701387/100691806/100696837/100699747/100695239/100695881/100701352/100705082/100703958/100707518/100705238/100712351/109195715/100709798/100701276/100690658/100699078/100697041/100712529/100693220/100704624/100711590/100696163/100689916/100694326/100690804/100704434/100699952/100709053/100712222/100711375/100703241/100693430/100697647/100700425/100697189/100694172/100698161/100694096/100692200/100692163/100708710/100695556/100708490/100534569/100697226/100708812/100708875/100701961/100701861/100707561/100700485/100692502/100694638/100693841/100711210/100704483/100695436/100534443/100706003/109204784/100691559/100711190/100705081/100691135/100711498/100690746/100709276/100711953/100691963/100709419/109204264/100693246/109194283/100692256/100695522/100711617/100705882/100710527/100691589/100697634/100698106/100692742/100710663/100709667/100534436/100709579/100712489/102080308/100709057/100702379/100703892/100690925/100709836/100697190/100691288/100708520/100701054/100691530/100702471/100692069/100709154/100699599/100695843/102077277/100705169/100690224/100693457/100700656/100709394/100693892/100701640/100702522/100697988
GO:0048870	cell motility	386	-0.399802378172734	-2.00868753686663	1e-10	1.3775e-08	1.05e-08	4611	tags=38%, list=22%, signal=30%	100702002/100702838/100697780/109194378/100695765/100707345/100703846/100695280/100703115/100703128/100711065/102079468/100704474/102077503/100703362/100711023/100701033/100710831/100699552/102079859/100695037/100534551/100695462/100704797/100710447/100690958/100711174/100701633/100693178/100693904/100710118/100704372/100709985/100704345/100711819/100703183/100696672/102077970/100696466/100709470/100704581/100707816/100708801/100693854/100709469/100691617/100693185/100706507/100691283/106098416/100710688/102079249/100711743/100692422/100704789/100708941/100695373/100703947/102076948/100705478/100694807/100695109/100703109/100711158/100701361/100696875/100692123/100698851/100703304/100707731/100707883/100708491/109194170/100704742/100695811/100707159/100706366/100707779/100697097/100708604/102076184/100705213/100709840/100690439/100697969/100704521/100703476/100704486/102081769/100701494/100690621/100692651/100690424/109194178/100696056/100712166/100710491/100699613/100704136/100697807/106096445/100696204/100705632/100711384/100704631/100696973/100706333/100693972/100692122/100705768/100711829/100697814/100691801/100707013/100709715/100701688/100708453/100705849/100695603/100708387/100707172/100706266/100708065/100705374/102079592/100708357/100706609/100710616/100700171/100695886/100703702/100690471/100699105/100692052/100702249/100696272/100691235/102082396/100703317/100692557/100692535/100696634/100709445/100706244/100693027
GO:0055086	nucleobase-containing small molecule metabolic process	338	0.362271453852066	1.94621192102273	4.58443769896936e-10	5.31794773080446e-08	4.05360807066765e-08	4340	tags=36%, list=21%, signal=29%	100697646/100699771/100707085/100711710/100696941/100693415/100696029/100709925/100695554/100696922/100692431/100709145/100705249/100709974/100705972/100702364/100689938/100704074/100705334/102082590/100702481/100709019/100695764/100690302/100695212/100706096/100701414/100712075/100712420/100694899/100708820/100698324/100698306/100698942/100710668/100705734/100699589/100705346/100708095/100701856/100703245/100710754/100706422/100701118/100707381/100689810/100534540/100702176/100703998/100705761/100700674/100690015/100712267/100709891/100710783/100701115/100693141/100694946/100705387/100695831/100703155/100691256/100704298/100692107/100705056/100697307/100694483/100697161/100705947/100703946/100699473/100700247/100703204/100700310/100704656/100702336/100694751/100690674/100706414/100689916/100703903/100691401/100701020/100704678/100697434/100701729/100693642/100692528/100700581/100692587/100534541/100702010/100706142/100697677/100696913/100698773/100696830/100699570/100709464/100708787/100693673/100690537/100690105/100709338/100695002/100696772/100690209/100710868/100708436/100701779/100694202/100703671/100701182/100705521/100692737/100706460/100691217/100699899/100701070/100706630/100705681/100710007
GO:0006364	rRNA processing	138	0.479958577938746	2.27029059188254	9.37139633233743e-10	9.83550357927224e-08	7.49711706586995e-08	5641	tags=50%, list=27%, signal=37%	100712031/100691003/100699026/100704162/100698107/100709012/100695788/100691251/100708811/100708798/109194156/100711133/100699556/100690312/100699770/100696499/100710694/100710963/100696386/100701316/100709298/100704603/100692012/100700793/100708186/100709353/100702046/100690727/100709630/100696019/100691983/100701217/102081481/100693913/100699908/100704209/100696778/100689889/100710303/100690190/100704755/100696584/100710665/100694346/100712097/100693314/100700277/100700318/100709561/100694129/100699755/100700003/100703035/100709176/100692703/100709220/100699686/100710444/100689807/100693901/100699931/102082095/100690314/100696496/102082472/100708161/100706520/100690949/100694091
