ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl00190	Oxidative phosphorylation	146	0.53644682847601	2.47898425863024	1e-10	1.78e-08	1.38947368421053e-08	4429	tags=49%, list=21%, signal=39%	100692587/100692881/100708725/100705239/100703061/100709974/100703579/100705793/100699226/100709654/100710754/100693446/100712084/100695203/100701856/100702099/100698621/100693543/100693065/100700216/100705312/100690057/100693141/100705832/106096937/8677314/100711343/100695608/100694087/100707594/100690645/100696016/100699388/100705972/8677317/100710104/100697843/100695358/100700405/100705231/100706427/100707442/100706771/100705346/100703964/100708573/100692041/100694607/100702176/100695060/100705898/100701139/100709019/100693018/100697524/100690195/100695760/100695068/100708544/100707800/100709256/100694419/100694882/100700806/8677318/100711795/100691401/100696092/100709124/100706772/100697423
onl04330	Notch signaling pathway	92	-0.536597614466268	-2.19384095582112	7.24859265451683e-08	6.45124746251998e-06	5.03586437050643e-06	3534	tags=43%, list=17%, signal=36%	100699902/100697238/100703632/100698688/102081093/100711998/102077828/100709408/100698988/100699831/100709989/100699130/100707611/100692255/100700725/100707701/106098755/100696693/100708178/100704281/100707048/100700695/100709099/100700965/100690969/100709503/100705453/100698599/100712363/100699141/109202241/100696924/100703553/109202242/100700280/100699419/100696073/100695507/100694715/100693766
onl04518	Integrin signaling	206	-0.40746612166408	-1.89152920227788	4.78223339669803e-07	2.83745848204083e-05	2.21492915215488e-05	3526	tags=31%, list=17%, signal=26%	100693657/100711033/100693712/102077756/100701590/100693960/100702302/100711808/100690958/100693685/100692052/100691373/100712404/100700481/100695462/100704245/100712347/100698578/100707163/100693406/100707779/100689963/100701057/100689834/100696639/100692535/100707013/100699320/100712166/100706539/100693178/100710616/100707615/100692594/100708272/100695603/100709470/100691051/100708583/100697814/100533981/100694183/100690424/100703196/100699591/100694989/100706507/100709262/100699105/100707642/100706561/100701270/100704479/100690041/100696180/100691235/100695028/100705233/100708169/100693578/100692252/100697617/100706244/100694506
onl04141	Protein processing in endoplasmic reticulum	199	0.392376865581377	1.90552990168284	8.33548295119379e-07	3.70928991328124e-05	2.89548355146732e-05	4762	tags=36%, list=23%, signal=28%	100690953/100698470/100709493/100700552/100697796/100708428/100709737/100698159/100695162/100691567/100704139/100697898/100693024/100707987/100695991/100534448/100701204/102083160/100705917/100691113/100697107/100704623/100700212/100711054/100700979/100694972/100701982/100705802/100700083/100703393/100692379/100702828/100692516/100691545/100701980/100701641/100700586/100701381/100711740/100697275/100712496/100710058/100701377/100691596/100709117/109202238/100691317/100707709/100704520/100707967/100703417/100699145/100700460/100694778/100707674/100700448/100705481/100696358/100708029/100712204/100709337/100697290/109201890/100696887/100703041/100699888/100710027/106098101/100692517/100709962/100705345
onl04510	Focal adhesion	277	-0.358542245735676	-1.71113269721271	3.2444696133164e-06	0.000115503118234064	9.01621029384769e-05	3526	tags=34%, list=17%, signal=29%	100698851/100697034/100708273/100708521/100708231/100711613/100692017/100691610/100712130/100701476/100691930/100695146/100707883/100700544/100711950/100693657/100711033/100693712/102077756/100709711/100693960/100702521/100706585/100702302/100711808/100690958/100701539/100709440/100692052/100691373/100712404/100700481/100695462/100710191/100698523/100704245/100712347/100704980/100707163/100709219/100693406/100707779/100701057/100711914/100689834/100699493/100696639/100709469/100692535/100707013/100696779/100699320/100712166/100697131/100706539/100693178/100704596/100710616/100707615/100692594/100708272/100695603/100708502/100709470/100691051/100708583/100697814/100533981/100707159/100694183/100690424/100703196/100699591/100694989/100706507/100710886/100709262/100699105/100707642/100701270/100704479/100690041/100696180/100691235/100705233/100693578/100692252/100697617/100706244/100698290/100691168/100696183/100701417/100694506
onl04340	Hedgehog signaling pathway	69	-0.498457601870507	-1.97566299020826	2.49595584465992e-05	0.000740466900582444	0.000578010827184403	3264	tags=39%, list=16%, signal=33%	100690003/100691078/100691373/100712404/100699722/100710191/100692939/100694404/100704788/100700452/100710687/100691051/100709465/100710860/100703880/100704947/100696381/100700194/100707642/100692873/100707331/100703074/100710492/100691042/100697506/100698943/100700486
onl04512	ECM-receptor interaction	105	-0.432253770829518	-1.81761449351733	7.3819686538955e-05	0.00187712917199057	0.0014652930260364	2058	tags=27%, list=10%, signal=24%	100707779/100701057/100707936/100689834/100696639/100692535/100699320/100712166/100693178/100704342/100697814/100533981/100690424/100698387/100703196/100699591/100694989/100706507/100709262/100699105/100690041/100696180/100691235/100695028/100693578/100697617/100706244/100694506
onl01210	2-Oxocarboxylic acid metabolism	42	0.5384820682895	1.9985050579768	0.000132615737784007	0.00292727620874498	0.00228504115644197	3463	tags=48%, list=17%, signal=40%	100694950/100692119/100691871/100705334/100705674/100706906/102082087/100706080/100689951/100708317/100703768/100701752/100707874/100690242/100695998/100689795/100711999/100692487/100691284/100691210
onl03050	Proteasome	52	0.499452305235165	1.92816823211284	0.0001496058707203	0.00292727620874498	0.00228504115644197	6292	tags=63%, list=30%, signal=44%	100693714/100701572/100696839/100691410/100697303/100698291/102080581/100691978/100694719/100701559/100690632/100706501/100700300/100706775/100702859/100710977/100690318/100700845/100704752/100709236/100707147/102080582/100705995/112843250/100712325/100694136/100705986/100694980/100709555/100690533/100697564/100697106/100690634
onl04310	Wnt signaling pathway	228	-0.334336858435858	-1.572356107098	0.000164453719592415	0.00292727620874498	0.00228504115644197	5611	tags=42%, list=27%, signal=31%	100696705/100534434/100699258/100534460/100710417/100691883/100699439/100696224/100712112/100705147/100696229/100705148/100697366/100698659/100704845/100709963/100693937/100705177/100706628/100704773/100695291/100690960/100709462/100696241/102082971/100708288/100695400/100705426/100693196/100708180/100690803/100710509/102077956/100708381/100710778/100697238/100703632/100693960/100691669/100695616/100701076/100697534/100706936/100698220/100692643/100698344/100695270/100691373/100692462/100704879/100712404/100698988/100697948/100697931/100709989/100698523/100700725/100708803/100695880/100701761/100705041/100710423/100696693/100700915/100696659/100696565/100694773/100699493/100707048/100694404/100700695/100700452/100693618/100710611/100700965/100699515/100698585/100691051/100708583/100712340/100694364/100703880/100704057/100698792/100707642/100707909/100704365/100703219/100691716/100700280/100694241/100710461/100691641/100693620/100696204/100701417
onl04137	Mitophagy - animal	136	0.356017253931088	1.63016714918994	0.00044082497651437	0.0071333496199598	0.00556831549281309	4526	tags=35%, list=22%, signal=27%	100701609/100689723/106097033/100704139/100696586/100691403/100696865/100698272/100697476/100702587/100711054/100691790/100696857/100707786/100711888/100698493/100692379/100704427/100707676/100703217/100691545/100705876/100703030/100697001/100693944/100706267/100708872/100709999/100705884/100712356/100694559/100702459/100707568/100690427/100697826/100693713/100710962/100690169/100695341/100700339/100708029/100699081/100690033/100696887/100702223/100693155/100711031
onl04217	Necroptosis	164	0.341070552225187	1.60050464083844	0.000534534906759712	0.00792893445026907	0.00618935155195457	4115	tags=37%, list=20%, signal=30%	102081105/100709493/100701534/100705827/100707972/100698339/100711648/100700892/100702104/100691607/100704139/100706071/102083160/100703459/100705917/100701651/100703882/100711054/100702680/100701982/100706149/100709224/100709564/100692379/100692332/100702822/100700343/100699679/100696509/100701733/109202011/109202006/100696468/100705003/100697870/109194206/102081456/100697558/100692065/100701434/100694115/100702676/100691620/100696359/100710605/100712377/100709386/100690712/112846512/100702537/100695450/100695100/100690648/100711701/100702930/100696358/100697869/109202003/109194437/100709282
