cluster	GO	Description	set	padj	NES
1	GO:0006412	translation	both	Multifasciatus:1.47e-08;Meeli:2.05e-08	Multifasciatus:2.69;Meeli:2.05
1	GO:0051604	protein maturation	both	Multifasciatus:3.13e-07;Meeli:2.05e-08	Multifasciatus:2.02;Meeli:2.24
1	GO:0030163	protein catabolic process	both	Multifasciatus:0.000748;Meeli:0.000421	Multifasciatus:1.57;Meeli:1.55
1	GO:0045116	protein neddylation	Multifasciatus	0.000757	2.19
1	GO:1903320	regulation of protein modification by small protein conjugation or removal	Multifasciatus	0.00205	2.06
1	GO:0043414	macromolecule methylation	Multifasciatus	0.00713	1.77
1	GO:0000413	protein peptidyl-prolyl isomerization	Multifasciatus	0.0123	1.93
1	GO:0018158	protein oxidation	Multifasciatus	0.0163	-1.97
1	GO:0051247	positive regulation of protein metabolic process	Multifasciatus	0.0184	1.48
1	GO:0006486	protein glycosylation	Meeli	0.00208	1.73
1	GO:0046777	protein autophosphorylation	Meeli	0.0134	-1.81
1	GO:0031396	regulation of protein ubiquitination	Meeli	0.0351	1.85
1	GO:0034982	mitochondrial protein processing	Meeli	0.0386	1.79
3	GO:0042254	ribosome biogenesis	both	Multifasciatus:1.47e-08;Meeli:2.05e-08	Multifasciatus:2.61;Meeli:2.32
3	GO:0033108	mitochondrial respiratory chain complex assembly	both	Multifasciatus:1.84e-06;Meeli:0.00609	Multifasciatus:2.38;Meeli:1.83
3	GO:0042255	ribosome assembly	both	Multifasciatus:2.67e-05;Meeli:0.00585	Multifasciatus:2.35;Meeli:1.94
3	GO:0017004	cytochrome complex assembly	Multifasciatus	8.24e-05	2.3
3	GO:0022618	protein-RNA complex assembly	Multifasciatus	0.000258	1.97
3	GO:0000387	spliceosomal snRNP assembly	Multifasciatus	0.00244	2.1
3	GO:0006376	mRNA splice site recognition	Meeli	0.000287	-2.29
3	GO:0002503	peptide antigen assembly with MHC class II protein complex	Meeli	0.00117	2.13
4	GO:0006364	rRNA processing	both	Multifasciatus:1.47e-08;Meeli:1.25e-05	Multifasciatus:2.41;Meeli:2.1
4	GO:0016072	rRNA metabolic process	Multifasciatus	1.47e-08	2.37
4	GO:0016226	iron-sulfur cluster assembly	both	Multifasciatus:4.4e-05;Meeli:0.00103	Multifasciatus:2.34;Meeli:2.25
4	GO:0009201	ribonucleoside triphosphate biosynthetic process	Multifasciatus	0.000274	2.2
4	GO:0043632	modification-dependent macromolecule catabolic process	both	Multifasciatus:0.00201;Meeli:0.0121	Multifasciatus:1.56;Meeli:1.46
4	GO:0046395	carboxylic acid catabolic process	Multifasciatus	0.00335	1.72
4	GO:0006082	organic acid metabolic process	Multifasciatus	0.00342	1.48
4	GO:0019395	fatty acid oxidation	Multifasciatus	0.00381	1.97
4	GO:0072521	purine-containing compound metabolic process	Multifasciatus	0.00933	1.51
4	GO:0006790	sulfur compound metabolic process	Multifasciatus	0.0115	1.58
4	GO:0071025	RNA surveillance	Multifasciatus	0.0117	1.93
4	GO:0046503	glycerolipid catabolic process	Multifasciatus	0.0142	-1.82
4	GO:0043603	amide metabolic process	Multifasciatus	0.015	1.56
4	GO:0006749	glutathione metabolic process	Multifasciatus	0.0174	1.84
4	GO:0009395	phospholipid catabolic process	Multifasciatus	0.0409	-1.77
4	GO:0050684	regulation of mRNA processing	Meeli	2.05e-08	-2.59
4	GO:0019752	carboxylic acid metabolic process	Meeli	2.05e-08	1.95
4	GO:0006399	tRNA metabolic process	Meeli	1.03e-05	2.05
4	GO:0006643	membrane lipid metabolic process	Meeli	0.000239	1.94
4	GO:0009083	branched-chain amino acid catabolic process	Meeli	0.00223	2.12
4	GO:0006091	generation of precursor metabolites and energy	Meeli	0.0034	1.69
4	GO:0009141	nucleoside triphosphate metabolic process	Meeli	0.00427	1.82
4	GO:0006576	biogenic amine metabolic process	Meeli	0.00604	2
4	GO:0009308	amine metabolic process	Meeli	0.00613	2.06
4	GO:0046479	glycosphingolipid catabolic process	Meeli	0.0352	1.77
5	GO:0030182	neuron differentiation	Multifasciatus	1.47e-08	-2.04
5	GO:0007411	axon guidance	Multifasciatus	3.32e-08	-2.27
5	GO:0009888	tissue development	Multifasciatus	1.87e-06	-2.1
5	GO:0120039	plasma membrane bounded cell projection morphogenesis	both	Multifasciatus:2.99e-06;Meeli:1.4e-05	Multifasciatus:-1.91;Meeli:-1.84
5	GO:0000902	cell morphogenesis	both	Multifasciatus:1.08e-05;Meeli:5.34e-07	Multifasciatus:-1.83;Meeli:-1.9
5	GO:0048513	animal organ development	both	Multifasciatus:6.48e-05;Meeli:1.41e-06	Multifasciatus:-1.68;Meeli:-1.81
5	GO:0061061	muscle structure development	Multifasciatus	0.000138	-2.14
5	GO:0042692	muscle cell differentiation	Multifasciatus	0.000168	-2.22
5	GO:0001708	cell fate specification	Multifasciatus	0.00319	-2.04
5	GO:0042552	myelination	Multifasciatus	0.00319	-2.04
5	GO:0048646	anatomical structure formation involved in morphogenesis	Multifasciatus	0.00988	-1.65
5	GO:0050793	regulation of developmental process	both	Multifasciatus:0.0136;Meeli:0.000192	Multifasciatus:-1.42;Meeli:-1.68
