ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007601	visual perception	70	0.656919519216228	2.59674076395662	1e-10	1.18368421052632e-08	1.02160664819945e-08	586	tags=27%, list=3%, signal=27%	100691394/100703065/100696010/100695135/100700337/100691236/100703904/100695749/100710249/100711209/100690909/100696806/100710942/100706275/100710676/100711016/100695018/100706449/100695287
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	160	-0.534998629985433	-2.56254351865139	1e-10	1.18368421052632e-08	1.02160664819945e-08	4635	tags=55%, list=21%, signal=44%	106098617/102079979/100700015/109203098/100701351/102079924/100697845/102077886/100702608/100705732/100698676/100700286/102079396/100709358/100698398/100691319/100694667/100697266/100711078/100698889/102079940/100710615/102079645/100700554/100693785/100705203/100707506/100712359/100707137/100689962/100705471/100701475/112842395/100693769/102077685/100690734/100693271/100707151/100711152/102081907/100699827/109194321/100693381/102079397/100705599/100697944/100704785/100711027/102078323/100696361/100711977/102078401/100694804/100707535/100699051/100698371/100698850/112842423/100708403/100711820/100693831/100710406/100696430/109202951/100697909/100707450/100692037/109204698/112842427/100712209/100696089/100700924/100702438/100707768/100695456/100707828/100702022/112842430/100701201/106098375/112842411/100690228/100690496/100698145/102079302/100693372/102078972/102083127
GO:0007411	axon guidance	153	-0.498643123182375	-2.36356070883579	1e-10	1.18368421052632e-08	1.02160664819945e-08	3800	tags=41%, list=17%, signal=34%	100702199/100698398/100704625/100697755/100696551/100699123/100698889/100695821/100701195/100704789/100711975/100708995/100694794/100705949/100691266/100705354/100693769/100705568/102077685/100693271/100711152/102083175/100709263/100709179/100693972/100701099/100694323/100697537/100706865/100693185/100695575/100703221/100693357/102078323/100694804/100697969/100706063/100693346/100702629/100696429/100703532/100704422/100696430/100692448/100693438/100709158/100712209/100704275/100700503/100707941/100706207/100699441/100699984/100699129/109196279/100702022/100709055/100696145/100706883/100712288/100703814/100692235/100701801
GO:0120039	plasma membrane bounded cell projection morphogenesis	260	-0.463755247561438	-2.35845302664428	1e-10	1.18368421052632e-08	1.02160664819945e-08	4545	tags=44%, list=20%, signal=35%	100694077/100705693/100709727/100699214/100694938/100710492/100700683/102081308/100690938/100704705/100697885/100701892/100703331/100691867/100702199/100695617/100698398/100704625/100697755/100696551/100699123/100698889/100695821/100701195/100704789/100711975/100698748/100700621/100704093/100708995/100694794/100700124/100705949/100691266/100705354/100700942/100693769/100693030/100705568/100690049/102077685/100693271/100699858/100711152/102083175/100709263/100693504/100709268/100709179/100693972/100701099/100690197/100694323/100692989/100691605/100691067/100697537/100691512/100710601/100711694/100706865/100706471/100699183/100693185/100692451/100695575/100703221/100693357/100691716/102078323/100694804/100697969/100704867/100691873/100706063/100692390/100693346/100702629/100707415/100696429/100703532/100690770/100704422/100696430/100707125/100692448/100693438/100709158/100712209/100698299/100704275/100697450/100700503/100694078/100707941/100706207/100699441/100699984/100692943/100702708/100692066/100707768/100699129/109196279/100702022/100709055/100696145/100711149/100706883/100712288/100703814/100692235/100693372/100701801
GO:0000902	cell morphogenesis	338	-0.401988289939957	-2.10416075443831	1e-10	1.18368421052632e-08	1.02160664819945e-08	4545	tags=41%, list=20%, signal=33%	100694077/100705693/100709727/100699214/100694938/100710492/100700683/100697845/102081308/100690938/100712402/100704705/100697885/100701892/100703331/100705732/100691867/109194225/100702199/100695617/100698398/100704625/100697755/100696551/100699123/100698889/100708745/100695821/102078695/100696360/100705203/100701195/100704789/100707506/100711975/100698748/100700621/100704093/100708995/100694794/100700124/100705949/100705471/100691266/100705354/102078207/100700942/100693769/100693030/100705568/100690049/102077685/100693271/100699858/100707151/100711152/102083175/100709263/100693504/100709268/100709179/100693972/100701099/100690197/100694323/100692989/100691605/100691067/100697537/100691512/100710601/100693381/100710670/100711694/100706865/100706471/100699183/100693185/100692451/100695575/100703221/100693357/100691716/102078323/100711977/100694804/100697969/100704867/100691873/100706063/100692390/100693346/100702629/100706366/100708403/100707415/100696429/100703532/100693831/100690770/100710406/100704422/100696430/100691450/100709295/100707125/100692448/100693438/100709158/100712209/100698299/100704275/100697450/100700503/100694078/100707941/100706207/100699441/100702438/100699984/100692943/100702708/100692066/100707768/100699129/100695456/109196279/100702022/100709055/100696145/100711149/100706883/100712288/100703814/100692235/100693372/100701801
GO:0007416	synapse assembly	39	-0.698798693977635	-2.53542821539118	9.03953041778574e-09	1.01649519548001e-06	8.77310215284048e-07	2941	tags=59%, list=13%, signal=51%	100711550/102081148/100708010/100699858/100693270/100699827/100706118/100691605/100691067/100697103/100704867/100691873/100690770/100692208/100697909/100692037/100694050/100698299/100696355/100692188/100707768/100707828/100693372
GO:0007602	phototransduction	10	0.934058987856565	2.28312833991654	3.35889680512063e-08	3.59721853081728e-06	3.10466451561025e-06	586	tags=70%, list=3%, signal=68%	100691236/100710249/100711209/100710942/100710676/100695018/100695287
GO:0051128	regulation of cellular component organization	496	-0.315395616659642	-1.71482786178816	5.11383565729631e-08	5.22773472420882e-06	4.5119200727533e-06	4571	tags=29%, list=21%, signal=24%	100690556/100701736/100694077/100705693/100709727/100699214/100698341/100708894/100694938/102079281/100696514/100690938/100696868/100705488/100712402/100696052/100697885/100701892/100691502/100693622/100703054/100705288/100691295/100711748/102079029/100694535/100700675/100704625/100699135/100703554/100697755/100707045/100696551/100703464/100708019/100706545/100712383/100701003/100694190/102079951/100705649/100701195/100709737/100704789/100689709/100699034/100698748/100701755/100700621/100704093/100703173/100712425/100701292/100694794/100711730/100712115/100697528/100693030/100705568/100699858/100712336/100709348/100706816/102083175/100691076/100693972/100696996/100690197/100699827/100694323/100697034/100692989/100699152/109194287/100691605/100707347/100691067/100697537/100693581/100709328/100711694/100706471/100697979/100693185/100692451/100695575/100709738/100703221/100693357/100698314/100696657/102080114/100709726/100704126/100705333/100697969/100704867/100691873/100706063/100692390/100698249/100702629/100709430/100697985/100706285/100696028/100708714/100690770/100704422/100701312/100709474/100707125/100699396/100707933/100696960/100692448/100697909/100704756/100692037/100704751/100707928/100709158/100698299/102082069/100690083/100694078/100706207/100702708/100707768/100705969/100709462/100707828/100702126/109196279/100709055/100693518/100711705/100712345/100703225/100707144/100703088/100692235/100693372/100701801/100712474/100710368
GO:0008277	regulation of G protein-coupled receptor signaling pathway	33	0.701546434701463	2.40218772137534	1.91832030644987e-07	1.87578363878511e-05	1.61893942567211e-05	765	tags=36%, list=3%, signal=35%	100691394/100696010/100695135/100695749/100693035/100690909/100696806/100699795/100706275/100698846/100700585/100705232
GO:0009583	detection of light stimulus	12	0.892289112994586	2.3438461194873	3.06919079731896e-07	2.87608754298764e-05	2.48227536414744e-05	586	tags=58%, list=3%, signal=57%	100691236/100710249/100711209/100710942/100710676/100695018/100695287
