ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030036	actin cytoskeleton organization	416	-0.406430019674723	-1.93083779244883	1e-10	1.1245e-07	9.69473684210526e-08	5915	tags=40%, list=27%, signal=30%	100699946/100699148/100707664/100705960/100705050/100711937/100691307/100703626/100703143/112841789/100703916/102076870/100706280/100708639/100699204/100696973/100703546/100691714/100702613/100704724/100706624/100696125/100710621/100699229/100693518/100703693/100711405/100697055/102083147/100707913/100696392/100704453/102080594/100694327/100710831/100695634/100690439/100705631/100690695/100710931/100708672/100711537/100689709/100708519/100702502/100702631/100709432/100697985/100703110/100691253/100692123/100712098/100699763/102080366/100692217/100693454/102077035/100701312/100704170/100697255/100697034/100704756/100699372/100697152/100711979/100708861/100694156/100706030/100707369/100709320/100711287/100701197/100704196/100699311/100705760/100699618/100704257/100711729/100704610/102082178/100695482/100700785/100705692/100703554/100701762/100694270/100692247/100709463/100700054/100702767/100697385/100690441/100697335/100691336/102078750/100709105/100701843/100711402/100693200/100694697/100697143/100690378/100693406/100705434/100706462/100712411/100703588/100704265/100697131/100699882/102082069/100689759/100705988/100695259/100710324/100711230/100710078/100689828/100700117/100707816/100709217/100711992/102075582/100698785/100692448/102079795/100695691/100708341/100699825/100696265/100697721/102076835/100704692/100696178/102079281/100702302/100691441/100706321/100696007/100698591/100692827/100692361/100706366/100708357/100696318/100709915/100712402/100692363/100711391/100700630/100708002/100703702/100694733/100703985/100700393/100690525/100705079/100708918/100690567/100691416/100695487/100707659/100709081/100697518/100690950
GO:0030029	actin filament-based process	425	-0.398678030808419	-1.90158512364539	1e-10	1.1245e-07	9.69473684210526e-08	5915	tags=40%, list=27%, signal=30%	100699946/100699148/100707664/100705960/100705050/100711937/100691307/100703626/100703143/112841789/100703916/102076870/100706280/100708639/100699204/100696973/100703546/100691714/100702613/100704724/100706624/100696125/100710621/100699229/100693518/100703693/100711405/100697055/102083147/100707913/100696392/100704453/100691739/102080594/100694327/100710831/100695634/100690439/100705631/100690695/100710931/100708672/100711537/100689709/100708519/100702502/100702631/100709432/100697985/100703110/100691253/100692123/100712098/100699763/102080366/100692217/100693454/102077035/100701312/100704170/100697255/100697034/100701684/100704756/100699372/100697152/100711979/100708861/100694156/100706030/100707369/100709320/100711287/100701197/100704196/100699311/102080323/100705760/100699618/100704257/100711729/100704610/102082178/100695482/100700785/100705692/100703554/100701762/100694270/100692247/100709463/100700054/100702767/100697385/100690441/100697335/100691336/102078750/100709105/100701843/100711402/100693200/100694697/100697143/100690378/100693406/100705434/100706462/100712411/100703588/100704265/100697131/100699882/102082069/100689759/100705988/100695259/100710324/100711230/100710078/100689828/100700117/100707816/100709217/100711992/102075582/100698785/100692448/102079795/100695691/100708341/100699825/100696265/100697721/102076835/100704692/100696178/102079281/100702302/100691441/100706321/100696007/100698591/100692827/100692361/100706366/100708357/100696318/100709915/100712402/100692363/100711391/100700630/100708002/100703702/100694733/100703985/100700393/100690525/100705079/100708918/100690567/100691416/100695487/100707659/100709081/100697518/100690950
GO:0006955	immune response	474	-0.376214291737477	-1.81475976840358	7.08608536178662e-10	5.31220199288604e-07	4.57984885488104e-07	5486	tags=40%, list=25%, signal=31%	100694547/100704387/100706535/112841738/100692878/100709632/100710704/109201331/100690001/100703882/100698104/100696335/109194396/100696221/100689957/100696189/100696765/100705883/100699932/100702768/102076210/102076570/100692000/109201541/100703699/100690266/102076024/106098650/102079388/100696739/109204162/100691779/112848060/100692508/100693988/100699091/100711798/100698182/100696011/100708413/100699154/100710115/102083124/100707443/100707345/100711194/100691574/100699982/100696324/100697463/100704780/109203202/100704679/100702180/100709109/100699257/100711586/100534479/100692238/100708026/100707708/100694857/100704472/102080178/100691426/100700534/100689918/109201948/100702693/100691855/100703853/100710179/100697852/100708142/112841661/100691072/100695333/112841768/100708941/109202588/100697225/100708205/102078666/100699978/100691372/102082261/109202867/100700129/100705543/100709378/102078360/100709029/100704742/100700996/100705695/109201613/102082540/106097237/109194176/109194378/100691975/100703911/100697411/100689711/102079939/100701242/100693670/100701404/102076793/100697699/100705431/100700209/112841688/100702826/100707676/100701969/102082145/100689992/100704474/100700682/100695134/100698904/100691617/109194454/100704136/106098255/100703024/100703184/100701975/100702249/100694338/100699060/100712435/102079562/100691149/100694279/100700900/109197488/100701435/100702234/106096445/109203201/102079592/100704575/102080361/100702230/106098214/100691242/102077259/100694529/109198943/102078978/100693578/100697318/109194160/100702187/100693633/100690893/109194357/100691510/102076978/100711419/100705259/100693436/100703895/100698596/100695758/100698787/100701693/102075976/100703581/100704775/100699435/100709445/100697412/100710598/100702615/100703919/100710971/100694868/100700947/100707781/100702497/102079789/112841757/100711546/100709634/100706178/109200266
GO:0019882	antigen processing and presentation	41	-0.71037127234675	-2.4053282823538	5.39756726621397e-09	3.0347821954288e-06	2.6163997116753e-06	4897	tags=80%, list=22%, signal=63%	100692000/109201541/106098650/100692508/100699091/100709109/100692238/109201948/100702693/100703853/100710179/112841768/100707087/100708205/109202867/100709378/109201613/109194176/100701242/100702826/100701969/109194454/100701975/100706487/100691149/100702234/100697318/100701693/100703581/100710971/112841757/100709634/100706178
GO:0022613	ribonucleoprotein complex biogenesis	269	0.389544732172371	1.90699752553539	4.34453467982158e-08	1.03610093887028e-05	8.93261533499831e-06	5411	tags=36%, list=24%, signal=28%	100696991/100701138/100698107/100701306/100707795/100696019/100706085/100700277/100691251/100699556/100691003/100696289/100710786/100692753/100690174/100704162/100710418/100694326/100691421/100696499/102081115/100711133/100712031/100709012/102082095/100695788/100690949/100696584/100693022/100697768/100690727/100690014/100689717/100690694/100710303/100710789/106099017/100699755/100708215/100700802/100709176/100708811/100693690/100701998/100699131/100704884/100712351/100711291/100702046/100690312/100706886/100700764/100700856/100704347/100699770/100711375/100690398/100694515/100696496/100708852/100690190/100710694/109195369/100712097/100703958/100709561/100712000/100693104/100700793/100699363/100700222/100694716/100691321/100710335/100696778/100712489/100696872/100707920/100693906/100709767/100689807/100691288/100701396/100710449/100703431/100711099/100709797/100704603/100699686/100711132/100534569/100708186/100693218/100695309/100699908/100709298/109194156/100704416
GO:0097435	supramolecular fiber organization	394	-0.367546607302083	-1.73748251558778	5.90632220188452e-08	1.10694321933652e-05	9.54337324199235e-06	5411	tags=35%, list=24%, signal=27%	100708639/100691893/100699204/100696973/100691714/100702613/100704724/102082808/100710621/100690564/100699229/100693518/100703693/100694190/100711405/102083147/100702917/100704453/102080594/100705333/100689892/100710831/100690439/100690695/100708672/102076263/100711537/100689709/100690556/102076674/100710951/100709432/100697985/100692162/100692780/100703110/100691253/100699763/100697928/102080366/100692217/100693454/102077035/100701312/100697255/100701292/100704756/100699372/100697152/100711979/100708861/100694156/100706030/100700990/100707369/100709320/100701728/100711287/100701197/100704196/100699311/100705760/100702817/100699618/100704257/100696034/100712408/100711729/100704610/102082178/100695482/100700785/100705692/100699872/100710368/100703554/100701762/100694270/100692247/100709463/100700054/100690441/100697335/100707521/100691336/100534495/102078750/100709105/100701843/100711402/100697143/100690378/100705434/100712411/100703588/100704265/100697131/100699882/102082069/100698251/100711230/100710078/100689828/100700117/100709217/100711992/102075582/100698785/100692448/102079795/100695691/106098383/100708341/100699825/102076835/100704692/100705488/100696178/102079281/100710451/100706321/100696007/100692361/100712402/100700630/100708002/100703702/100703985/100702644/100700393/100690525/100705079/100708918/100690567/100691416/100695487/100709081/100690950
GO:0007229	integrin-mediated signaling pathway	59	-0.619511044146011	-2.26291957389262	9.39414145165973e-08	1.62518647113713e-05	1.40113429586698e-05	4894	tags=56%, list=22%, signal=44%	100691283/100709660/100698578/106098356/102082286/102080873/100695195/100711983/100696606/100706614/100706709/100695610/100693685/100699105/100709123/100690424/100704136/100700900/106096445/100707242/100697706/102077259/100708582/100712277/100692535/100697412/100710598/109194284/100691235/100703476/100708437/100708169/100697617
GO:0002503	peptide antigen assembly with MHC class II protein complex	34	-0.717275487519268	-2.32417799590295	1.53278045179189e-07	1.81432801898945e-05	1.56420032808901e-05	4897	tags=85%, list=22%, signal=67%	100692000/109201541/106098650/100692508/100699091/100709109/100692238/109201948/100702693/100703853/100710179/112841768/100708205/109202867/100709378/109201613/109194176/100701242/100702826/100701969/109194454/100701975/100691149/100702234/100697318/100701693/100703581/100710971/112841757
GO:0002443	leukocyte mediated immunity	66	-0.589172846660074	-2.19525736758284	1.29692246931937e-07	1.81432801898945e-05	1.56420032808901e-05	4897	tags=62%, list=22%, signal=49%	100692000/109201541/106098650/109202044/100692508/100699091/100699154/100709109/100692238/100707708/109201948/100702693/100703853/100710179/112841661/112841768/100708205/100691372/109202867/100709378/109201613/109194176/100700894/100701242/100693670/100702826/100701969/109194454/100703184/100701975/100691149/100702234/102079592/100697318/100690893/100701693/100703581/100704775/100710971/102079789/112841757
GO:0031589	cell-substrate adhesion	99	-0.52283150386836	-2.08321786221698	3.67693018893053e-07	4.13470799745238e-05	3.56468705684738e-05	4691	tags=42%, list=21%, signal=34%	100709660/100698578/100708065/106098356/100708519/102082286/102080873/100695195/100711983/100696606/100706614/100711287/100701197/100696097/100706709/100699050/100702647/100711246/100693685/100707013/100699105/100709123/100693406/100703243/100690424/100709545/100707242/100690471/100697706/100693578/100708582/100691337/100712277/100692727/100706244/100692535/109194284/100691235/100703476/100708437/100708169/100697617
