ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006955	immune response	474	-0.390406004072113	-1.88143928747682	1e-10	2.249e-07	1.86421052631579e-07	6125	tags=44%, list=28%, signal=32%	100697006/100701239/100690534/100692776/112841710/102083126/112841738/100710115/100534479/100689992/100706535/100707676/100694547/100692878/109204162/100691327/102082710/109201613/100693311/100700209/100705695/109201541/106096818/109201331/100701722/109204084/102079249/100700187/100706994/100705431/100707066/100693988/100705433/100696221/102078978/106096754/100692238/100702768/100693579/100700996/102080842/100691526/100692000/100711996/100697852/100692749/100695655/100691705/102079310/106096614/100696765/100711596/100691072/100706144/100698833/100711194/100701404/106098214/100708629/100691372/100707443/100702241/100709415/100693670/100694338/100698512/100691990/100691149/102079939/102078195/106096422/102076024/100695134/109194454/100697463/100699330/109194396/100702961/100710704/100690570/112841768/100698787/100691975/100708413/100705584/102081935/112846394/106097905/102083124/109199340/102082540/100691855/100703262/102079388/100696739/100691617/100696983/102077259/100708740/100705485/100704780/100697411/106096913/100700534/100710971/100697318/100703947/100692001/109198943/100691574/100705543/100709378/100701969/100696335/109201948/112847257/100702180/109203201/109202867/100711798/100689918/100696011/100702230/100700129/100709029/112841688/100702234/100689957/106097237/102079592/100694279/100697225/100704472/102080361/100699978/102076978/100707708/102081683/109194160/100696324/100691779/102079562/100703895/100702249/100705259/102078666/100705883/100704136/100699435/100708026/106098255/100704742/100703853/100707345/100697699/100693436/100700900/100711586/100711419/100694826/100693578/106096445/100708142/100710598/100701975/100691426/100703184/102076793/100699091/100692508/100691242/100712435/100701693/106098416/100695758/100698596/112841757/112846038/100693633/100701435/100703919/100690893/100703581/100689711/100702187/100694868/100703911/100694529/100700947/100703024/100697412/100702615/109194357/109197488/100709445/100699060/102075976/100691510/102079789/100704575/100711546/100709634/100706178/100707781/100704775/100702497/109200266
GO:0030036	actin cytoskeleton organization	416	-0.390441205101859	-1.86654616090791	8.23627399719328e-10	9.26169010984385e-07	7.67707434159437e-07	4156	tags=31%, list=19%, signal=26%	100703916/100703229/100709320/100707664/100691990/100709973/100703747/100695482/100700785/100702294/100709432/100711405/106096418/100694156/100693454/100711729/100699763/100691714/100701762/100691336/100699148/100703626/100694407/100691253/100705692/100694049/100704392/100704257/100698238/100693200/100704196/100699882/100703702/100706462/100692123/100703110/100694270/100706366/100698598/102078750/100697055/100694327/100692247/100689759/100699204/102083147/100699311/100697385/100705631/100710324/100696392/100695288/100712098/100690441/100700117/100708639/100708341/100691738/100699372/100710078/102082178/100690378/100703546/102077035/100711402/100696265/100702631/100711287/102075582/100701197/100704692/102079281/100697143/100709105/100711230/100697721/100699618/100697131/100701843/100702767/100691416/100704265/100709217/100692072/100712402/100693406/100695691/100697152/100697335/100698785/100707369/100694697/100700630/100709915/100706030/100708918/100711391/100712411/100692363/100711992/100689828/100691441/100692827/100696178/102079795/100707816/100706321/100710621/100705434/100690525/100699825/100702302/100700393/100708357/100703985/100695259/100696318/100695487/100709081/100692361/100694733/102076835/100690567/100696007/100705988/100705079/100698591/100708002/100707659/100697518/100690950
GO:0030029	actin filament-based process	425	-0.38501298033736	-1.84454348696246	1.79527823330476e-09	1.34586024890081e-06	1.11559219339745e-06	4156	tags=31%, list=19%, signal=26%	100703916/100703229/100709320/100707664/100691990/100709973/100703747/100695482/100700785/100702294/100709432/100711405/106096418/100694156/100693454/100711729/100699763/102080323/100691714/100701762/100691336/100699148/100703626/100694407/100691253/100705692/100694049/100704392/100704257/100698238/100693200/100704196/100699882/100703702/100706462/100692123/100703110/100694270/100706366/100698598/102078750/100697055/100694327/100692247/100689759/100699204/102083147/100699311/100697385/100705631/100710324/100696392/100695288/100712098/100690441/100700117/100708639/100708341/100691738/100699372/100710078/102082178/100690378/100703546/102077035/100711402/100696265/100702631/100711287/102075582/100701197/100704692/102079281/100697143/100709105/100711230/100697721/100699618/100697131/100701843/100702767/100691416/100704265/100709217/100692072/100712402/100693406/100695691/100697152/100697335/100698785/100701684/100707369/100694697/100700630/100709915/100706030/100708918/100711391/100712411/100692363/100711992/100689828/100691441/100692827/100696178/102079795/100707816/100706321/100710621/100705434/100690525/100699825/100702302/100700393/100708357/100703985/100695259/100696318/100695487/100709081/100692361/100694733/102076835/100690567/100696007/100705988/100705079/100698591/100708002/100707659/100697518/100690950
GO:0007160	cell-matrix adhesion	70	-0.595979131137295	-2.27718136198783	2.31868426926668e-08	1.30368023039519e-05	1.08062890549245e-05	3149	tags=39%, list=14%, signal=33%	100706709/100706614/100699050/100695195/100696272/100709545/100697993/100693685/100711287/100701197/100703243/100699105/100712277/100708582/100707242/100693578/100692727/100692535/100690424/106098356/100697706/100703476/109194284/100691235/100708437/100697617/100708169
GO:0007229	integrin-mediated signaling pathway	59	-0.626040000912702	-2.33816257476602	4.60840543677199e-08	1.7273839712167e-05	1.43183965412688e-05	3149	tags=44%, list=14%, signal=38%	100706709/100695610/100706614/102077259/100695195/100696272/100693685/100699105/100712277/100708582/100707242/100704136/100700900/106096445/100710598/100692535/100690424/106098356/100697706/100703476/109194284/100691235/100697412/100708437/100697617/100708169
GO:0033627	cell adhesion mediated by integrin	49	-0.64493861740544	-2.31010876337077	9.79411967309703e-08	3.14671073497075e-05	2.60832871294058e-05	5757	tags=61%, list=26%, signal=45%	100708312/100691061/100709123/100709715/102082286/100709660/100696606/100691283/100693670/100711983/100706709/100695610/100706614/100695195/100696272/100699105/100712277/100708582/100707242/100693578/100692535/100690424/106098356/100697706/100703476/109194284/100691235/100708437/100697617/100708169
GO:1902531	regulation of intracellular signal transduction	455	-0.354775447428252	-1.70405216817656	1.17162496500282e-07	3.29373068286418e-05	2.73019449081578e-05	4307	tags=28%, list=19%, signal=23%	100702746/100708521/100707443/100691359/100709415/100703664/102078975/100707905/100702220/100691009/100708647/100695233/100694534/100697881/100694883/100691473/102078018/109194396/100702757/100702092/109194223/100691253/100702947/100704392/100708025/100693200/102081935/106097905/100705892/100700270/100694916/100712060/100707883/100703788/100696739/102081977/100701657/100692247/100700534/100690859/100692522/100690348/100697385/100703947/100700311/100696392/100697641/100701131/102076492/100694058/100697740/100710923/100703839/100697422/100693794/102083202/100698798/100700544/100710571/100703546/100696457/102080548/100694976/100700129/100701308/102079592/100694279/102076215/100706281/100707432/100690044/100711221/100697000/100699667/100693011/100706196/100691779/100703895/100704265/100712175/102079435/100712032/100708313/100708606/100704136/100695341/102081671/100704742/100707258/106096445/100708142/100690856/100707369/106097797/100692007/102080150/100702155/100691242/102075704/100690529/100701435/100696959/100704495/100702108/100692827/102077198/100695936/100704185/100706321/100691822/100693654/100709440/100707172/102081763/100691047/100692417/100695487/100693073/100691510/100707896/100696475/100698880/102079351/100691839/100696183/100711215
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	160	0.430561292000712	2.04865548299016	2.35875396037387e-07	5.89426406320093e-05	4.88579329102003e-05	4714	tags=45%, list=21%, signal=36%	100699095/102079988/100710406/102083127/102078972/100702438/100699827/100698398/100690496/100711977/112842430/100705732/100707137/102079924/102077685/100696361/100704934/100707768/100697909/100693381/100699673/109194321/100699051/100708854/106098375/100705599/112842431/106098617/100698145/100700924/100699266/100692037/100705203/100708403/102079213/102080371/100705471/100709480/102078979/102078547/100693831/100711027/102079397/100694052/100689882/112842395/100707151/100702022/100707828/100707506/100711431/100704785/102079302/112842427/100698371/112842434/100711820/100698850/100709358/100700286/100690228/100700646/100706561/102082177/100696430/102082032/100708136/100697944/100696089/100693785/112842439/100689962
GO:0007268	chemical synaptic transmission	367	0.325303421052889	1.68207201952948	1.24662234248415e-06	0.000215665665249758	0.000178766653323031	5187	tags=35%, list=23%, signal=28%	100699752/100708153/100694195/100691867/100699827/100697725/100690921/100691177/100710701/100709618/100692208/100697058/100692376/100691148/100708132/100696881/100694783/100704341/100706663/100699488/100691116/100697180/100704175/100707768/100697103/100708766/100697909/100700254/100698517/100697206/100534440/100693921/100704754/100696649/100699762/100712199/100693910/100707430/100710030/100700017/100699011/100690211/100692037/100704853/100710216/100695033/100705418/102077758/100701884/100696880/100693476/100704093/100534442/100712467/100708195/100703627/100692942/100709573/100694586/100706735/100696591/100694050/100702979/100697032/100710649/100709535/100704496/100697438/100707828/100696355/100698807/100691502/100711431/100699483/100697491/100694933/102082332/100692708/100700102/100712559/100690173/100691272/100710059/100707925/100705905/100697877/100712216/100700629/100700221/100701745/100712584/100705220/100705941/100698622/100700778/100711427/100706693/100694268/100703311/109204846/100708961/100710042/100695110/100702202/100706344/102082032/100704648/100690578/100696615/100707122/100709033/100690640/100699717/100691827/100700288/100701565/100695922/100693270/100703715/100696258/100704187/100705513/100708303/100534510/100694824/100700561/100705952/100699505/100704911/100698500
GO:0006954	inflammatory response	126	-0.461807581328164	-1.94442070949883	5.159115491058e-06	0.000702277437932225	0.000582122273093524	6095	tags=48%, list=27%, signal=35%	100701239/100690534/100692776/100710115/100534479/100707676/100694547/100691327/100705695/106096818/100700187/100707066/100705433/100692049/100692589/100708068/106098214/100707443/100704761/100703727/100691990/106096422/100706134/102076024/100699330/109194396/100698787/102081935/106097905/100699579/100534460/100703080/100703947/100709869/100711231/100693111/100689957/102079592/100694279/109194160/100691779/100702249/100704136/100704742/102080433/102082360/106096445/100708142/100691242/106098416/100693633/100690893/100702187/102082059/100703911/100703024/102077344/100699060/100691510/100711546
