ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl04744	Phototransduction	45	0.828557333383886	2.98480478311776	1e-10	1.78e-08	1.46315789473684e-08	445	tags=53%, list=2%, signal=52%	100696535/100700337/100691236/100709379/100703259/100706288/100695749/100697897/100693035/100706802/100711209/100711075/100696806/100710942/100706644/100693630/100708779/100698069/100690422/100709902/100704481/100710676/100702856/100700585
onl04517	IgSF CAM signaling	471	-0.332893762275448	-1.78288611297635	2.18437433017905e-09	1.94409315385936e-07	1.59804227313099e-07	4334	tags=31%, list=19%, signal=25%	100702414/100698552/100693503/100702235/100709153/100704976/102080824/100711323/100704705/100701892/100702242/100700487/102078731/102077886/100707971/100693877/100703331/100711065/100704725/100697102/100689753/100711580/100699123/100698889/100695821/100698643/100693228/102077929/100711699/102079940/100711069/102079645/100694033/100709689/100703476/100692535/100704789/100711550/109197098/100698505/100708582/102078747/100704988/100704093/100697482/100691780/100701978/100695265/100694794/102076153/100706357/100707557/100705354/100692990/100699858/100711853/100696152/100703205/100709268/100709123/100696250/100709179/100702325/102081907/100697801/100695811/100703612/100694447/100690197/100693270/100705076/100711914/109194321/100690187/100706118/100691605/100710986/100691067/100700047/100694140/100705837/100707829/100701849/100705599/100695575/102080873/100697103/100534412/100699436/100691322/100698314/100707658/100692350/100702803/100700494/100712272/100694804/100704867/100534414/100691873/100705907/100695486/100694711/100694183/100699154/100695798/100698711/100711948/100696429/100690770/100700573/100711680/100712088/100702666/100710692/100692208/100691174/100696188/100707450/112841648/109197651/100701546/100709158/100698299/100704275/100712012/106096429/100699299/100696355/102076258/100707768/100702022/100695429/100702243/100705626/100711602/100703069/100701748/100707998/100703814/100693372/100710710/100697485/100699229
onl04514	Cell adhesion molecule (CAM) interaction	280	-0.349298781357243	-1.78502781749904	8.56137679810961e-07	5.07975023354504e-05	4.1755486839903e-05	3564	tags=31%, list=16%, signal=26%	100709740/109194312/100698889/109194454/102077929/100704307/102079940/102079645/109201613/102076978/100710153/100691642/100703476/100692535/100707506/100708582/100704093/102076153/100707557/100712080/100692990/100706060/100699858/100711853/102076489/100709123/100698213/100694738/100698417/100702325/100690029/100693270/102076883/109194321/100706118/100691605/109198943/100691067/102083017/100697318/109194176/100705837/100707829/100693366/100691149/100705599/102080873/100697103/100707658/100708205/100712272/100694804/100704867/100691873/100705907/100694711/100699154/100698711/100701242/100690770/100711680/100692208/100707450/100709109/100694050/102078098/100691035/100698955/100710179/102083200/100702693/100698299/100711527/100712012/100696355/100702438/102078978/102076258/100707768/100702826/100710971/100703814/112841757/100693372/100701688/100710710
onl04519	Cadherin signaling	434	-0.30564845954296	-1.63323350017802	2.63730637604124e-06	0.000117360133733835	9.64698911236138e-05	3674	tags=26%, list=17%, signal=22%	100709358/100691319/100710862/100710446/100697058/100697266/100705148/100701505/100712297/100706936/100692523/100694033/100700554/100703031/100693785/100702843/100703537/100710451/100705203/100707506/100711613/100707527/100710156/100712359/100697482/100707137/100700668/100700540/100689962/100708296/100695445/100705471/100701475/100708288/112842395/100698861/100698321/100693476/100690734/100707151/100695735/100689728/100708266/100704057/100701331/100705353/100694447/100693728/100697034/100690187/100707676/100710675/100710986/100699788/100708013/100693381/100708988/100708759/100692869/100691663/102079397/100697944/100534412/100699436/100698314/100691716/100704785/100711027/100700494/100694540/100696361/100711977/102082320/100707535/100534414/100695021/100710961/100694183/100699051/100698850/100711948/100708403/100711820/100696028/100710406/100704422/100691174/100705716/100698251/100701833/100695709/100701546/100700924/100702438/100710886/100692943/100692066/100707768/100709462/100695456/100695429/100701201/100711149/100691416/100690228/100690496/100692217/100698145/102079302/100693372/100699229/102083127
onl00230	Purine metabolism	167	0.394038218122821	1.7940315738608	2.53486315824533e-05	0.000902411284335339	0.000741781008412845	4432	tags=29%, list=20%, signal=24%	100691394/100696010/100696535/100709379/100695749/100690909/100696806/100706644/100704485/100708779/100706159/100711016/100693394/100704242/100701070/100701529/100690841/100697135/100708543/100706813/100696913/102083227/100710041/100690151/100690200/100710165/100705718/100697586/100695989/100697435/100706000/100708095/102078803/100712026/100698195/100698477/100703903/100698553/100695448/100699375/100691320/100694881/100712420/100693349/100698601/100707455/100693415/100699962/100696772
onl04080	Neuroactive ligand-receptor interaction	478	-0.273648826095501	-1.47020499401669	0.000167332372600374	0.00496419372047776	0.0040805613669214	5279	tags=31%, list=24%, signal=24%	100711096/100691383/100697502/100700102/100693586/100691617/100692730/100690133/100698410/100707330/100705226/100702581/100693664/100701745/100534510/100693278/100704989/100534442/100698384/100695739/100704436/100690309/100700957/100708397/100704531/102078354/100702353/100708840/100699144/100534478/100707753/100711169/100710302/100712161/100699029/100711458/100701884/100712110/100705513/100696844/100690291/100698927/100705974/100710216/100695795/100694615/100712082/100696181/100695639/100698540/100697058/100534400/100695690/100704776/100693471/100702227/100702089/102082854/100711248/100697877/100699200/100702503/102077518/100705941/102081250/100690266/100690292/100704766/100706592/100695832/100700254/100700994/100692877/100693077/102079317/100534440/100705157/100699011/100700288/100704763/100534519/100707068/100702742/100694484/100693476/100695498/100707925/100710195/100689728/100693087/100703311/100709703/100701565/100691084/100691231/100534588/100697499/100710530/100706134/100692983/106098248/102077569/100534509/100704653/100699752/100697270/100695110/100534587/100695984/100690455/100695300/100699420/100691599/100534574/100710151/100708195/100692475/100705021/100690120/100708153/100696880/102075509/100700221/100700643/100704175/100705106/100698847/100710318/100693249/112842169/100691717/100711102/100712216/100707302/100692153/100698904/100534492/100696119/100712487/100690011/100708685/100695840/100690173/100705658/100705045/100695736/102079892/100694489
onl00140	Steroid hormone biosynthesis	56	0.492191250036465	1.85833600874185	0.000240130448825774	0.00610617427014112	0.00501926802808762	2989	tags=25%, list=13%, signal=22%	100695275/100694479/100698923/100705564/100702592/100698702/109204525/100534581/102076912/100691782/100703825/100700736/100701254/100698819
onl00591	Linoleic acid metabolism	32	0.567256604659161	1.87807773795349	0.000499716391664078	0.0111186897145257	0.00913954979490879	1628	tags=28%, list=7%, signal=26%	100699898/109196840/100700439/100700441/100702592/109194408/100712009/100702365/100703555
onl04110	Cell cycle	189	-0.326042136971483	-1.59002409847897	0.000667397331930629	0.0131996361204058	0.0108500852793401	5615	tags=38%, list=25%, signal=29%	100695113/100697698/100695003/100695802/100699860/100699511/100697160/100710499/100697842/100709826/100691373/100709989/100708381/100692908/100706243/100706903/100709880/100706117/100689869/100697280/100705288/109194260/100695153/100693703/100698498/100695673/100701578/100710281/100708745/100711118/100690458/100691363/100703537/100710156/100700668/100700540/100702661/100695114/100692470/100708754/100691989/100693300/100698660/100703369/100702557/100701026/100703039/100691663/100698269/102082422/100696174/100706704/100689989/100693620/100700822/100698249/100710554/100706285/100697228/100709474/100709583/100705716/100701918/100704751/100708411/100707677/100694277/100711022/100695767/100709785/100712474/100710836
onl00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	33	-0.533973245988985	-1.8780271168019	0.00134190446874032	0.0238858995435778	0.0196341811742005	5067	tags=55%, list=23%, signal=42%	100692215/100695867/100690217/100710426/100690672/100695641/100694141/100696783/100707723/109194193/100711711/100690379/100701237/100703873/100693479/100693145/100694061/100700775
