ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl00190	Oxidative phosphorylation	146	0.605089911491318	2.74058149356319	1e-10	8.9e-09	7.10526315789474e-09	4679	tags=62%, list=21%, signal=50%	8677317/8677314/100692587/100692881/100710104/100705239/8677313/8677318/8677316/100706771/8677319/106096937/8677324/100708725/100700806/8677323/100705042/100704883/100694419/100705299/8677320/100705449/100707142/100695760/100705793/100697907/100696786/100690195/8677322/100695060/100694087/100691549/100703579/8677321/100695358/100701856/100696414/100697843/100705312/100693065/100707800/100697434/100705898/100693141/100692041/100712084/100690057/8677312/100703061/100693446/100705792/100709124/100693543/100709974/100710754/100705972/100711343/100704109/100709019/100708573/100695203/100701139/100706427/100692526/100711795/100705832/100702099/100695608/100706497/100698621/100705346/100699388/100707594/100705231/100709654/100692250/100691881/100700405/100698306/100694882/100697524/100691746/100691073/100693018/100709256/100694607/100707916/100697423/100708544/100696271/100694483
onl03010	Ribosome	173	0.533167889071459	2.46355380958719	1e-10	8.9e-09	7.10526315789474e-09	7643	tags=68%, list=34%, signal=45%	100690398/100693690/100697226/100693430/100693246/100700005/100710267/100712355/100704434/112841671/100700449/100698782/100705698/100697473/100695777/100690179/100707213/100695635/100707344/100712529/100709025/100691103/100706131/100699676/100534572/100699139/100695239/100693457/100699889/100712565/100699787/106098935/100702758/112843666/100700060/112843668/100692584/100705165/100707518/100701387/100699803/112842563/100708525/100709394/100694819/100705490/100712489/100693537/100705775/100711334/112841902/100690746/100696163/112846812/100699572/100706003/100708197/100708384/100698311/100534436/100699950/100712250/100700493/100697185/100706674/100710875/100534449/100690460/100695522/100709648/100697017/100710306/100712073/100711912/100691299/100709517/100705596/100703910/100707041/100693220/100700760/100704095/100695843/112843665/100697647/100692256/100691205/100692069/100693356/100694681/100703575/100690056/100696981/100711314/100690034/100693891/100697189/100712222/100712259/100534443/100708460/100699764/100704343/100691333/100711190/100704791/100694481/100689858/100705081/100707884/100708407/100710199/100708520/100696829/100695708/100699908/100699747
onl04141	Protein processing in endoplasmic reticulum	198	0.416967663464149	1.96579542054476	1.81609294626779e-07	1.07754848145222e-05	8.60254553495271e-06	3514	tags=33%, list=16%, signal=28%	100698159/100700083/100709493/100698470/102083160/100695162/100707967/100534448/100699888/100695155/100690953/100696698/100694779/100692517/100694674/100699822/100691567/100697290/100707674/100701646/100704139/100691317/100712496/100705917/100703041/100696358/100709737/102077389/100704920/100711796/100693024/100700552/100696705/100696887/100711740/100704710/100709763/100698341/100708428/100694060/100697796/100701641/100701982/100695366/100702828/100704020/100704269/100695345/100707709/100694240/100710058/100709064/100708965/100691545/100708489/100700979/100701377/100697936/100700212/100700460/100704623/100707987/100691113/100699544/100703518
onl04142	Lysosome biogenesis	304	0.345533692572913	1.71370170658289	1.88821170792368e-06	8.40254210026036e-05	6.70812054130779e-05	3953	tags=31%, list=18%, signal=26%	100709126/100708292/100698122/100694034/100694958/100707426/100695517/100702623/100700372/100701268/100701733/100707472/100694056/100694135/100708725/100710839/100699240/100700525/100696865/100709808/100697862/100712265/100705449/100691332/100690195/100689736/100694692/100708717/100711488/100699960/100710077/100697342/100705959/100703579/100694834/100711428/100701856/100696414/100701867/100707855/100705898/100696850/100692916/100703745/100707381/100690057/100703061/109202474/100697421/100705026/100705613/100704202/100703787/100701925/100689844/100695975/100710754/100710956/100711136/100705649/100709701/100691615/100694853/100699901/100697104/100703629/100696189/100711795/100700357/100706489/100705883/100697281/100699356/100704874/100707775/100706490/102075572/100697328/100700252/100695033/100692435/100695758/100710936/100708870/100690785/100704055/100708225/100700382/100709654/100689992/100704394/100694706/100711467
onl03050	Proteasome	51	0.577671859848176	2.17681344243509	5.45650147547163e-06	0.000169252540293703	0.000135121779654938	6939	tags=75%, list=31%, signal=51%	100700300/112843250/100701093/100698291/100696839/100708662/100710147/100693714/100690632/100704752/100703299/100705995/100708984/100703712/100707147/100705986/102080581/100697106/100691358/100709555/100697999/100706775/100697303/100709236/100704021/100700845/100691978/100712325/100701572/100706501/100701743/100694980/102080582/100696341/100690318/100710977/100691410/100697564
onl01200	Carbon metabolism	147	0.420976538525915	1.9076793766106	5.70514180765292e-06	0.000169252540293703	0.000135121779654938	3302	tags=33%, list=15%, signal=28%	102082087/100692881/100692119/109202929/100705239/100707972/100696029/100699971/100689795/100534539/100709145/100701752/100695998/100710574/100704894/100712273/100691284/100694419/100711999/100710157/100699473/100690209/100707874/100704840/100706096/100534543/100698186/100710696/100705334/100706906/100691210/100709925/100709891/100703707/100534541/100711262/100690242/100712084/100534536/100703760/100696248/100705056/100705758/100710143/100691625/100534538/100689951/100692108
onl01210	2-Oxocarboxylic acid metabolism	42	0.596172655430261	2.1705815005527	7.18488996109575e-06	0.000182701487582149	0.000145858668383147	2062	tags=43%, list=9%, signal=39%	102082087/100692119/100689795/100705674/100701752/100695998/100691284/100711999/100707874/100706080/100698186/100705334/100706906/100691210/100711018/100694950/100690242/100693722
onl05132	Salmonella infection	336	0.328000092934969	1.64224209647567	1.23833418837526e-05	0.000275529356913495	0.000219967257145605	5676	tags=41%, list=26%, signal=31%	100702521/100706139/100707144/109197038/100690576/100697722/100705629/100708590/100699666/100534414/100702243/100704894/100691451/100695417/100696865/100698022/100707267/100705970/100534412/100696524/100697008/100704139/100705569/100696513/100694181/100699261/102081456/100696358/100703003/100692536/100710986/100697482/100702414/100694803/100705329/100690501/100704725/106096429/100700552/100702953/100694867/100689989/100697612/100692041/100691790/100696072/100695429/100701982/100696881/100691670/100695357/100705531/100700214/100701925/100694620/100707933/100709035/100707676/100703930/100699229/100697826/100703685/100689877/100691615/100708170/100709203/100693083/100711493/100711948/100710477/100698497/100694447/100699436/100712415/100699356/100692943/100701272/100709795/100694033/100704543/100705050/100696600/100704365/100700534/100694500/100705953/100697168/100698314/100691322/100698656/102081105/100702676/100704245/100707781/100695691/100699338/100691780/100706808/100695427/100697275/100706560/100705884/100708845/100696271/100706781/100698574/100711937/100709656/100705849/109194206/100690197/100711598/100702247/100705703/100690967/100712402/100707971/100702706/109197651/100699365/100692363/102076024/100705328/100690370/100701978/100691174/100708547/100695265/100699907/100702331/100690499/100707786/100710520/100691708/100708620/100709598/100534474/100710319
onl04260	Cardiac muscle contraction	130	0.425930652235005	1.8988997265429	1.91233207531056e-05	0.000378216788228089	0.000301947169785878	4625	tags=39%, list=21%, signal=31%	8677317/8677314/100699862/100693295/100699477/8677313/100712462/100534413/100706771/100706607/100712391/106096937/100707930/100711543/100700806/100708478/8677323/100698262/100707142/100701149/100695760/100696786/100694365/100697843/100705312/100709284/100690578/100711157/100692280/100709124/112841652/100704754/100699762/100704109/100694494/100708132/100692262/100702099/100694025/100695608/100706497/100697725/100707594/100690441/100712579/100695267/100694607/100697423/100703066/100694151/100701831
onl00020	Citrate cycle (TCA cycle)	39	0.577275968531765	2.04969108036112	8.24537140593739e-05	0.00146767611025686	0.00117171067347531	1993	tags=38%, list=9%, signal=35%	100692881/100692119/100705239/100696099/100689795/100712273/100694419/100711999/100707874/100698186/100710696/100705334/100709891/100711262/100712084
