ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl04518	Integrin signaling	215	-0.464632042532028	-2.10766972811919	5.83058604106031e-10	1.03784431530873e-07	8.10144586757853e-08	4257	tags=38%, list=19%, signal=31%	100702507/100706711/100693369/102075815/100712562/100709470/100711983/106096418/100707971/100708902/100707642/100711033/100693657/100706709/100707883/100695610/100706614/102080801/100694829/100699811/100704058/100695195/100696272/100691930/100710324/100705703/100693960/100701440/100698851/100700544/100693685/100706609/100692052/100696265/100705849/100689963/100696557/100703196/100693277/100696639/100699105/100712277/100704152/100707615/100694506/100708582/100697814/100707242/100701057/100693406/100693578/100692252/100694562/100692535/100695603/100690471/100710616/100708296/100711808/100701270/100690424/100705233/106098356/100697706/100696180/100703476/100706244/100707013/109194284/100691235/102077756/100702302/100699320/100692594/100710501/100699591/100701590/100708437/100697617/100706539/100708169
onl04060	Cytokine-cytokine receptor interaction	241	-0.412771458893	-1.8929963978527	1.90611294249196e-07	1.69644051881784e-05	1.32424688636283e-05	6111	tags=46%, list=27%, signal=33%	102076609/100694010/100534452/102083126/100692989/100710115/100534479/100706535/112844175/100693748/109204162/100694653/102077946/100693311/100700209/100705695/100693806/100706216/102079249/100700187/100700123/100707066/100708828/100711855/100702221/100702768/100691414/100692823/100534534/100691526/102078268/100705058/100695655/100691705/100711596/102078673/109194437/100701404/100698033/100707443/100697530/100702824/100701970/100693424/100695134/100701694/109194396/100709201/100690570/100691975/102083188/102075875/100703262/100710422/100694771/100693899/100690512/100705485/100699972/100706478/100712491/100707419/100704377/100692513/100703947/100534493/100702230/100696093/100703991/100709277/100709907/102079592/100694279/100696736/100702023/100707671/100712573/100690458/102079512/100690327/100702249/100708026/100704742/100691796/100707345/100707516/100708142/100703184/100691242/100690186/106098416/100698596/100706480/100690893/102076432/100695936/100694868/100692417/100698783/100709445/102079789/100703251/102080920/102078481/100705710/100696663/100710555/100707781/102081429/100702497
onl04082	Neuroactive ligand signaling	317	0.340273995892092	1.7267607116394	6.19358222328946e-07	3.67485878581841e-05	2.86860650341828e-05	4045	tags=32%, list=18%, signal=26%	100708153/100695832/100700994/100703896/100697913/100710383/100691177/100710701/100697719/100697058/100689896/100693191/100704341/100699488/100691116/100697180/100704175/100710878/100708556/100700254/100698517/100705226/100705974/100534440/100693864/100712161/100696649/100700744/100712199/100693910/100695984/100706825/100708890/100696068/100700017/100699011/100690211/100708840/100703527/100710216/100705418/100711441/100699691/100701884/100707705/100696880/100700659/100693476/100711458/100534442/100691601/100699420/100712467/100708195/100696482/100703627/100692942/100709573/100690061/100694586/100710201/100706735/100692486/100697949/100703444/100695156/100708260/100689928/100708032/100699333/100710773/102079892/100698807/100709658/100699483/100712332/100708943/100699508/100707753/100700102/100691355/100534521/100712559/100692028/100690173/100706736/100693875/100691272/100707925/100706838/100697877/100712216/100701338/100700221/100701745/100705941/100711823/100706693/100694268/100703851
onl04510	Focal adhesion	285	-0.384479301310592	-1.78891705440089	1.07267612522419e-06	4.77340875724766e-05	3.72613811919983e-05	4298	tags=32%, list=19%, signal=26%	100708521/100702507/100706711/102075815/100712562/100709469/100709470/100711983/106096418/100711819/100707971/100708902/100707786/100707642/100711033/100693657/100696779/100707883/100695610/100709711/100706585/102080801/100694829/100699811/100704058/100696272/100691168/100691909/100691930/100710324/100712315/100705703/100710923/100706186/100693960/100701440/100698851/100700544/100706609/100692052/100696265/100704596/100705849/100696557/100703163/100703196/100693277/100696639/100705884/100701156/100699105/100697131/100703685/100707615/100694506/100697814/100701057/100699613/100693406/100698785/100693578/100692252/100694562/100692535/100695603/100693678/100690471/100710616/100708296/100711808/100701270/100690424/100705233/100697706/100696180/100706244/100707013/100691235/102077756/100709440/100702302/100699320/100694458/100709493/100692594/100710501/100699591/100697617/100706539/100696183
onl04820	Cytoskeleton in muscle cells	315	-0.356019501599011	-1.6688915528627	1.33583792618955e-05	0.000475558301723481	0.00037122232896215	4772	tags=35%, list=21%, signal=28%	100705764/100691959/100700823/100703143/100708774/100709592/100704538/100700481/100705486/100696606/100696273/100701890/100705217/100707155/100693782/100704170/100706711/100708310/102075815/100701329/100709973/100703747/100706865/100711983/100702294/100689758/100694156/100699763/100708902/100693214/100698708/100703626/100707499/100705692/100703094/100690446/102081358/100707976/100693701/100700290/100695610/102080801/100694829/100706366/100698598/100692162/100699811/100704058/100694327/100699204/100696272/100696816/100705631/100703741/100690441/100708639/100700133/100701576/100701440/100707241/100699372/100710451/100699408/100702631/100703243/100703196/100693277/100696639/100696714/100704602/100708228/100697721/100699105/100699677/100697131/100709506/100695257/100706971/100690920/100694562/100694697/100701567/100692535/100711808/100712411/100690424/100697706/100707816/100696180/100700984/100699230/100711584/100691235/100708357/100693942/100696318/100699320/100707073/100710501/100707214/100699591/100701590/100691292/100698591/100699569/100697617/100710745/100702919/100697518
onl03030	DNA replication	37	0.620482798067184	2.24147005859021	1.83459357399294e-05	0.000481990172210323	0.000376243067603564	4579	tags=57%, list=21%, signal=45%	100710394/100711026/100695217/100692796/100693703/100693300/100710836/100691820/100696838/100692775/100701579/100705373/100689926/100694927/100705153/100698369/100692093/100710402/100697228/100702557/100698675
onl04744	Phototransduction	45	-0.592197651773799	-2.10557327786776	1.89546696936644e-05	0.000481990172210323	0.000376243067603564	4220	tags=58%, list=19%, signal=47%	100702856/100701793/100710676/100698069/100708779/100693035/100709902/100706802/100706644/100694101/100695749/100707107/100703644/100690422/100711075/100693630/100700337/100709340/100696806/100710942/100706288/100709379/100711209/100696535/100703259/100691236
onl04810	Regulation of actin cytoskeleton	322	-0.336971980613167	-1.58481842106325	0.000128941456479064	0.00286894740665918	0.00223950950726796	5144	tags=33%, list=23%, signal=26%	100712037/100711613/100705764/102082286/100693040/100694928/100700557/100695709/100711937/100696796/100709824/100709660/100702004/100700730/100696606/100709219/100705399/100703128/100708521/100708672/100695781/100712562/100699731/100709469/100709470/100711879/100695482/100711983/106096418/100705330/100711819/100707971/100691336/100693657/100702757/100701814/100699882/100706709/100703262/100707883/100695610/100706614/100691617/100694270/100697050/100705611/100704058/100695195/100696272/100691168/100697571/100691909/100705703/100699405/100710923/100700117/100691738/100700544/100706609/100692529/100711402/100696265/100704596/100705849/100696557/100704692/100697143/100697225/100701156/100699105/100697131/100704152/100703748/100708582/100707242/100698414/100699613/102081168/100695691/100698785/100692252/100692535/100695603/100708296/100692363/100690424/100705233/106098356/100697706/100696180/100703476/100707013/100705632/109194284/100691235/100709445/100694458/100707073/100692594/100705988/100693255/100691292/100708437/100697617/100706539/100708169/100696183
onl03050	Proteasome	51	0.498530375761978	1.94431208935509	0.000363012917724281	0.00558092260477051	0.00435648600727207	6603	tags=61%, list=30%, signal=43%	100697303/100710147/100700300/100704021/100702859/100691410/100708662/100701093/100691358/100700845/100703299/100709236/100705995/100690632/100703712/100693714/100707147/100704752/100690533/100706559/102080581/100701559/100694719/100691978/102080582/100698291/100701457/100703382/100706775/100712325/100708984
onl01212	Fatty acid metabolism	71	0.456096926231579	1.87727947471185	0.00031156341896471	0.00558092260477051	0.00435648600727207	2619	tags=28%, list=12%, signal=25%	100698696/100695390/100696941/100698433/100706142/100704074/100692024/100706914/100699540/100693325/100705521/100703825/100702753/100701654/100702912/100711736/100692418/100701414/100702823/100703037
