cluster	GO	Description	category_Mu	category_Me	NES_sol_Mu	NES_grp_Mu	NES_sol_Me	NES_grp_Me	delta_NES_Mu	delta_NES_Me	padj_Mu_sol	padj_Mu_grp	padj_Me_sol	padj_Me_grp
3	GO:0007160	cell-matrix adhesion	solitary_specific	NA	-2.27718136198783	NA	NA	NA	NA	NA	1.30368023039519e-05	NA	NA	NA
3	GO:0033627	cell adhesion mediated by integrin	shared_same_direction	NA	-2.31010876337077	-2.20163089338691	NA	NA	0.10847786998386	NA	3.14671073497075e-05	8.99516733496533e-05	NA	NA
3	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	solitary_specific	NA	2.04865548299016	NA	NA	NA	NA	NA	5.89426406320093e-05	NA	NA	NA
3	GO:0031589	cell-substrate adhesion	group_specific	NA	NA	-2.08321786221698	NA	NA	NA	NA	NA	4.13470799745238e-05	NA	NA
3	GO:0098609	cell-cell adhesion	group_specific	NA	NA	-1.38415767352614	NA	NA	NA	NA	NA	0.0215496158983991	NA	NA
3	GO:0045785	positive regulation of cell adhesion	group_specific	NA	NA	-1.54628711519468	NA	NA	NA	NA	NA	0.0377756400517791	NA	NA
3	GO:0003341	cilium movement	NA	solitary_specific	NA	NA	-1.92996570451517	NA	NA	NA	NA	NA	0.0245927751612362	NA
3	GO:0006457	protein folding	NA	group_specific	NA	NA	NA	1.71712975189804	NA	NA	NA	NA	NA	0.0132420581575542
3	GO:0007018	microtubule-based movement	NA	group_specific	NA	NA	NA	-1.60870236058141	NA	NA	NA	NA	NA	0.0154688004416237
3	GO:0007017	microtubule-based process	NA	group_specific	NA	NA	NA	-1.39367816260306	NA	NA	NA	NA	NA	0.0304833446714874
3	GO:0022402	cell cycle process	NA	group_specific	NA	NA	NA	-1.37629354665068	NA	NA	NA	NA	NA	0.0435523453570311
4	GO:0007229	integrin-mediated signaling pathway	shared_same_direction	NA	-2.33816257476602	-2.26291957389262	NA	NA	0.0752430008734	NA	1.7273839712167e-05	1.62518647113713e-05	NA	NA
4	GO:1902531	regulation of intracellular signal transduction	shared_same_direction	NA	-1.70405216817656	-1.56050485020036	NA	NA	0.1435473179762	NA	3.29373068286418e-05	0.00067151944511787	NA	NA
4	GO:0048584	positive regulation of response to stimulus	shared_same_direction	NA	-1.54051449695898	-1.37126564336279	NA	NA	0.16924885359619	NA	0.00273211385231568	0.0360703917644128	NA	NA
4	GO:0035329	hippo signaling	solitary_specific	NA	-2.07852206688297	NA	NA	NA	NA	NA	0.00418671798545767	NA	NA	NA
4	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	solitary_specific	NA	1.9323923626298	NA	NA	NA	NA	NA	0.0209263876053483	NA	NA	NA
4	GO:0002764	immune response-regulating signaling pathway	solitary_specific	NA	-1.62612242103897	NA	NA	NA	NA	NA	0.0326159526141922	NA	NA	NA
4	GO:0002682	regulation of immune system process	group_specific	NA	NA	-1.38818783223795	NA	NA	NA	NA	NA	0.0419367547084518	NA	NA
4	GO:0070374	positive regulation of ERK1 and ERK2 cascade	NA	group_specific	NA	NA	NA	1.81727908255926	NA	NA	NA	NA	NA	0.0286531594591623
4	GO:0050776	regulation of immune response	NA	group_specific	NA	NA	NA	1.59629774583794	NA	NA	NA	NA	NA	0.0435523453570311
6	GO:0006954	inflammatory response	shared_same_direction	NA	-1.94442070949883	-1.80365263650782	NA	NA	0.14076807299101	NA	0.000702277437932225	0.00120712276957371	NA	NA
6	GO:0140546	defense response to symbiont	shared_same_direction	NA	-1.84457619707892	-1.80553769505827	NA	NA	0.0390385020206501	NA	0.00304634928669512	0.0019809059455943	NA	NA
6	GO:0050727	regulation of inflammatory response	shared_same_direction	NA	-1.99099275242365	-1.81304967221034	NA	NA	0.17794308021331	NA	0.00742333810663416	0.0319162823383536	NA	NA
6	GO:0009605	response to external stimulus	solitary_specific	NA	-1.48415093643135	NA	NA	NA	NA	NA	0.00742333810663416	NA	NA	NA
6	GO:0009615	response to virus	group_specific	NA	NA	1.94755493962004	NA	NA	NA	NA	NA	0.0251060305046937	NA	NA
6	GO:0042594	response to starvation	NA	solitary_specific	NA	NA	1.82539282143571	NA	NA	NA	NA	NA	0.0365678679330134	NA
6	GO:0098542	defense response to other organism	NA	group_specific	NA	NA	NA	1.73925329217277	NA	NA	NA	NA	NA	0.00734515175088554
6	GO:0006952	defense response	NA	group_specific	NA	NA	NA	1.6183845039238	NA	NA	NA	NA	NA	0.0115075133183101
6	GO:0031667	response to nutrient levels	NA	group_specific	NA	NA	NA	1.81292284603017	NA	NA	NA	NA	NA	0.0286531594591623
9	GO:0048870	cell motility	shared_same_direction	NA	-1.58466884112128	-1.61520334983688	NA	NA	-0.0305345087156002	NA	0.00131819815551034	0.000514798820599298	NA	NA
9	GO:0060326	cell chemotaxis	shared_same_direction	NA	-2.01191425775411	-1.77728944648085	NA	NA	0.23462481127326	NA	0.00218177973796022	0.0262906962331666	NA	NA
9	GO:0006935	chemotaxis	shared_same_direction	NA	-1.60677396209541	-1.78048714019315	NA	NA	-0.17371317809774	NA	0.0203536598680332	0.00199291823097443	NA	NA
9	GO:0040011	locomotion	group_specific	NA	NA	-1.40875493038048	NA	NA	NA	NA	NA	0.0474841573352022	NA	NA
9	GO:0002548	monocyte chemotaxis	NA	shared_same_direction	NA	NA	1.92132055706255	2.08374835571655	NA	0.162427798654	NA	NA	0.0469216804891136	0.00776167891435534
9	GO:0072676	lymphocyte migration	NA	group_specific	NA	NA	NA	1.87271439478313	NA	NA	NA	NA	NA	0.0305098226448159
11	GO:0022613	ribonucleoprotein complex biogenesis	shared_same_direction	solitary_specific	1.68389683163257	1.90699752553539	2.14888155911042	NA	0.22310069390282	NA	0.00145729718974867	1.03610093887028e-05	1.1245e-07	NA
11	GO:0097435	supramolecular fiber organization	shared_same_direction	NA	-1.54781715126146	-1.73748251558778	NA	NA	-0.18966536432632	NA	0.00273211385231568	1.10694321933652e-05	NA	NA
