ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009060	aerobic respiration	92	0.539664637828513	2.3305122058383	7.29485223439352e-09	8.07031607300444e-06	6.98800412663915e-06	4429	tags=53%, list=21%, signal=42%	100692881/100692119/100705239/100691871/100696168/100699226/100705674/100712273/100693446/100712084/100695203/100702099/100689951/100698621/100693543/100693065/100708317/100693141/106096937/100711343/100694087/100707594/100705972/100702481/100698752/100697843/100705231/100711722/100707442/100706771/100689795/100711999/100703964/100708573/100692041/100694607/100692487/100709891/100699929/100697524/100708544/100711978/100694419/100700806/100707459/100706460/100710696/100706772/100697423
GO:0072359	circulatory system development	157	-0.46390098901757	-2.06958708662633	1.81847455042012e-08	8.11889294052306e-06	7.03006633927229e-06	4946	tags=54%, list=24%, signal=41%	100712573/102077429/100692892/100695442/100702837/100692523/100700507/100699372/100698484/100694757/100707579/102077688/100699759/100699692/102076710/100706392/100709844/100698851/100710980/100696318/100690960/100694035/100692178/100696429/100705434/100711530/100711870/100711438/100704724/100705840/100702564/100702294/100698260/100695177/100697989/100699848/100701076/100701463/102079969/100709263/100692052/102079346/100691634/100695462/100691958/100699130/100712234/100707611/100692123/100705524/100689834/102081151/100693593/102082854/100693823/100696897/100699860/102080255/100701657/100707499/100706836/100710616/100701186/100698854/100703676/100695603/102079592/100709470/100533981/100712340/100706480/100710719/102079618/100692213/100705741/100712385/100695485/100696794/100696180/100696924/100697721/100697617/100693400/100702631
GO:0051604	protein maturation	249	0.390480320225739	1.95168351422474	1.84185411536367e-08	8.11889294052306e-06	7.03006633927229e-06	5566	tags=46%, list=27%, signal=34%	100704794/100711040/100711895/100708446/100702095/100700321/100704792/100707780/100700552/100708428/100690696/100709314/100706085/100697898/100707987/100698440/100695991/100534448/100534403/100710395/100689805/100708681/100700204/100707907/100705612/100707462/100691221/100708999/100701982/100690505/100709599/100700803/100704205/100708456/100700083/100692688/100708567/100709224/100692254/100534405/100703393/100689866/100703286/100697193/100690112/100711634/100697155/100691339/100701980/100708580/100704884/100701381/100705671/100704216/100697637/100710058/100693596/100701377/100691596/100691620/100707494/100710620/100707281/100708649/100696205/100705744/100694109/100693884/100707709/100711407/100702992/100709074/100711070/100699145/100701845/100710408/100694778/100703649/100704915/100692935/100701453/100695220/100696358/100690836/100709337/100697290/100709491/100712490/100695141/100701000/100707022/100701317/100709962/100696752/100707128/100709405/100693517/100692378/100702611/100703357/100712494/100710627/100692197/100702337/100701252/100700173/100708509/100692304/100701646/100704381/100704293/100698142/100706479/100707283
GO:0006457	protein folding	138	0.451475207849053	2.09462677667038	1.06390794520971e-07	3.34979015891742e-05	2.90054902957173e-05	4883	tags=48%, list=24%, signal=37%	100711895/100708446/100704792/100707780/100700552/100708428/100706085/100697898/100707987/100698440/100695991/100534448/100710395/100708681/100707907/100705612/100691221/100701982/100709599/100704205/100700083/100708567/100709224/100692254/100703393/100689866/100703286/100697193/100690112/100701980/100708580/100704884/100701381/100705671/100704216/100697637/100710058/100701377/100691596/100691620/100708649/100705744/100707709/100709074/100711070/100699145/100701845/100710408/100694778/100703649/100704915/100695220/100696358/100709337/100697290/100712490/100695141/100701000/100701317/100709962/100696752/100707128/100693517/100692378/100702611/100703357
GO:0007005	mitochondrion organization	150	0.417923276985172	1.95315439351396	1.74629671122311e-06	0.000296064457810441	0.000256359185218421	5086	tags=39%, list=24%, signal=30%	100693488/100708446/100701609/100694425/100703797/100689723/100696168/100692167/100696586/100701489/100693446/100707757/100695944/100697476/100691221/100698115/100705419/100700608/100705153/100711865/100701366/100694087/100692228/100705876/100698117/100708216/100703871/100693383/100698752/100703844/100702459/100703164/100693926/100690427/100693713/100692634/100708333/106098298/100702128/106098419/100691219/100701453/100708029/100706710/100708117/102082248/100690033/109201890/109205000/100697423/100711031/100693558/100700862/100696752/100697825/100704380/100708000/100704986/100699927
GO:0051254	positive regulation of RNA metabolic process	351	-0.338304856415483	-1.66318383035854	2.47458222745453e-06	0.000363598615287319	0.000314836321289478	5217	tags=37%, list=25%, signal=28%	100695549/100696117/100700776/100696161/100700814/100703150/100696335/100706110/100709869/100707366/100697114/100706126/100702192/100710828/100689867/100708897/102081185/102082021/100710206/100702161/100702791/102076123/100690997/100703267/102079029/100704786/100699910/100694646/109194539/100709139/100693371/100712268/100691661/100690077/100692488/100697389/100711530/100700211/100692838/100701672/100706913/102081847/100706579/100694065/100700623/100706951/100699579/100703632/100696739/100706646/100692326/100705840/100692527/102081093/100691095/100693960/102077828/100698260/102079559/100704197/100698130/100697049/100699288/100707240/102075543/100691888/100698988/100711423/100701498/100712366/100695813/100709989/100705339/100695255/100700725/100689832/102081773/102082360/100697873/100708694/102082268/102078580/100710516/100706722/100693063/100711457/100704340/100710717/102075597/100708315/100704780/100692630/100710066/100705595/100703242/100702392/100712304/100701186/100700132/100707667/100697915/100702349/100697249/102079592/100692790/100707214/100712340/100711565/100710674/100710719/100708841/100705118/100708818/100706754/100710887/100702724/100698599/100698057/100703278/100710922/100706313/112841626/100707695/100693731/100706203/100710022/100701334/100701827/100691289/100690128
GO:0098609	cell-cell adhesion	445	-0.318364523723451	-1.59206843001961	3.88545988215864e-06	0.000535222098767353	0.000463443339891686	4654	tags=29%, list=22%, signal=23%	112846610/100702011/100689882/100694667/100706094/100692057/100705599/100700503/112842423/100690734/100690228/102081358/100692404/100693769/100700646/100698828/100692878/102079182/100708437/102077685/100690252/109199077/112846611/100691319/100693268/100692508/100705732/100698145/100703581/100699902/100711438/100698711/100691044/100693712/100691571/100710961/100699422/100694679/109199133/100702720/100689714/100698737/100707588/102082964/106096615/100711808/100694804/100705772/100708136/102076656/100703886/100702234/102078323/100698301/100699502/100695273/100706971/102079940/100690564/100712347/100698578/100711152/100701042/100696430/100697056/100703411/100708178/100710257/100708883/100696425/100692037/100699844/100695882/100711743/100704705/100696688/100712166/100691574/100697131/100693178/100707450/100707499/100701966/100709160/100705111/100705453/100690424/100691354/112841757/100708783/100695456/100702629/100699982/100709715/100704521/100707460/100702608/100696089/100692399/100706561/100700554/100712359/100707392/100690041/100699141/109200266/100695045/102076978/100695028/100698251/100701688/102076864/100699513/100693366/100708169/100710403/102079645/100701491/100707843/100697506/100697617/100700486/100701528/100695507/102079988/100693766/100703660
GO:0050793	regulation of developmental process	331	-0.339294443020667	-1.65603860095001	9.74240600407264e-06	0.00126307428429271	0.00109368310126215	3488	tags=26%, list=17%, signal=22%	100708462/100700632/100695859/100694216/100698688/100705840/100694955/100701463/100701494/100693060/100705141/100692052/100691139/100691593/100690957/100711384/100707261/100691239/100695462/100690290/100699130/100710677/100707611/100700923/100692255/100703109/100700664/100691067/102075686/100710678/100705524/100703197/100692361/106097879/112847813/100706722/100695872/100696504/100693593/100710883/100692037/100700868/100708315/100703317/100707816/100707664/100709099/102083227/100702838/100692651/100707499/100710616/100698854/100692962/100700029/100701082/100708502/102079592/100708583/100697814/100533981/100697050/100704136/100710674/102079618/100699982/100698136/100708357/100707842/100700865/100709841/100691209/100703693/100697335/109202241/100696924/100703553/100702043/109202242/100705370/100699419/100696073/100692557/100693400/100694506/100706233
GO:0007219	Notch signaling pathway	59	-0.53279521008192	-2.02930875929126	1.43747994392384e-05	0.00158410289820407	0.00137165849385996	3802	tags=46%, list=18%, signal=37%	100692440/102076000/100699902/100698688/102081093/102077828/100699130/100707611/100707701/106098755/100692001/100708178/100704281/100709099/100690969/100707659/100705453/100698599/100699141/100696924/100703553/100702767/100699419/100696073/100695507/100694715/100693766
GO:0022613	ribonucleoprotein complex biogenesis	267	0.323915233208838	1.64743987025863	1.87205410624395e-05	0.00187545784098258	0.00162393975819153	5015	tags=34%, list=24%, signal=26%	100698096/100699026/100700856/100695309/100690398/100712031/100708811/100703231/100706085/100691321/100696507/100707795/100697041/100710786/100693690/100699770/100694758/100699556/100694515/100709176/100694346/100701396/100696584/100708215/100700318/100699262/100709630/100696019/100701663/100699755/100700764/100704209/100711133/100710665/100709353/100701316/100695069/100711383/100694326/100704884/100693901/100710449/100708798/100712241/100710963/100711826/100711638/100693314/106099017/100705775/100690694/100693046/100696999/100701217/100691003/100696872/100700793/100697768/100696289/100691421/100693906/100703605/100703765/100704603/100702899/100690312/100706354/100692146/100700944/100691251/100690190/100696995/102082472/100706886/100709012/100709368/100712097/100701138/100712351/100701998/100693022/100692703/100699709/100699131/100711947/100701306/100709220/100708161/100711375/100696778/100700640/100701367
GO:0006805	xenobiotic metabolic process	25	-0.663249843586936	-2.07200565037278	3.03388269968466e-05	0.00247654721115	0.00214441689455294	3028	tags=60%, list=15%, signal=51%	102080408/109196840/100707722/100709821/100694687/100699634/100700165/100709629/100695136/106097004/109194408/100702869/100701797/100700439/100707188
GO:0009410	response to xenobiotic stimulus	25	-0.663249843586936	-2.07200565037278	3.03388269968466e-05	0.00247654721115	0.00214441689455294	3028	tags=60%, list=15%, signal=51%	102080408/109196840/100707722/100709821/100694687/100699634/100700165/100709629/100695136/106097004/109194408/100702869/100701797/100700439/100707188
GO:0033108	mitochondrial respiratory chain complex assembly	57	0.516620598958953	2.02279015332716	2.7784265899373e-05	0.00247654721115	0.00214441689455294	4799	tags=47%, list=23%, signal=37%	100693488/100696168/100692167/100701489/100693446/100707757/100695944/100698115/100705419/100711865/100694087/100693383/100698752/100703164/100693926/100708333/106098298/100702128/106098419/100691219/100701453/100706710/100708117/102082248/100697423/100693558/100704380
GO:0009891	positive regulation of biosynthetic process	432	-0.305237524419568	-1.52565249996782	3.96069916058368e-05	0.00290979364997548	0.00251956055373271	5170	tags=33%, list=25%, signal=25%	100698878/100695549/100696117/100692976/100700776/100696161/100700814/100703150/100696335/100706110/100534503/100709869/100707366/100703711/100706126/100702192/100710828/100689867/102081676/100708897/102081185/100690361/102082021/100698056/100710206/100702161/100702791/102076123/100690997/100702155/100703267/102079029/100704786/100699910/100694646/109194539/100709139/100702901/100693371/100712268/100691661/100692488/100711530/100700211/100692838/100711677/100706913/100706579/100692573/100700623/100694371/100706951/100699579/100703632/100696739/100706646/100692326/109194181/100705840/102081093/100691095/100693960/102077828/100689714/100698260/102079559/100704197/100698130/100697049/100699288/100710135/100707240/102075543/100696480/100691888/100698988/100711423/100701498/100695813/100691833/100709989/100705339/100708254/100700725/100689832/100700271/100700156/102081773/100696647/102082360/100697873/100708694/102078580/100710516/100706722/100693063/100711457/100704340/100710717/102075597/100708315/100704780/100692630/100710066/100705595/100703242/100702392/100712304/100701186/100700132/100707667/100697915/100697249/102079592/100692790/100707214/100712340/100690089/100704136/100707708/100710674/100710719/100708841/100705118/100708818/100703415/100706754/100710887/100702724/100698599/100698057/100703278/100710922/100706313/112841626/100707695/100700388/100706203/100710022/100701334/109194414/100701827/100690128
GO:0007602	phototransduction	10	0.836464104772062	2.07763321810186	4.51141295844514e-05	0.00320746908400422	0.00277731466677794	533	tags=30%, list=3%, signal=29%	100710249/100696641/100695287
GO:0006605	protein targeting	126	0.392820566681648	1.79188163714822	5.99984287212567e-05	0.00367323713615694	0.00318061845823504	2150	tags=25%, list=10%, signal=22%	100692578/100693826/100703877/100697796/100703797/100698331/100703878/100704806/100706130/100710944/100699356/100706463/100689805/100699561/100708921/100690917/100690505/100707209/100698493/100704205/100694502/100692688/100700608/100701366/100690059/100697939/100697287/100710034/100703030/100708628/100691339
GO:0045595	regulation of cell differentiation	186	-0.368147430520918	-1.67812995747765	6.88943107431568e-05	0.00410386651021399	0.00355349602780493	5272	tags=38%, list=25%, signal=28%	100710468/100697642/109202143/100709727/100710491/100705644/100711499/100700093/100709612/100698978/100699759/100707537/100709272/100703115/102079029/100704786/100709462/100693972/100701550/102076553/100709158/100700632/100695859/100694216/100701494/100705141/100691139/100691593/100711384/100707261/100691239/100690290/100699130/100710677/100707611/100700923/100692255/100703109/102075686/100710678/100703197/100692361/106097879/100706722/100695872/100696504/100700868/100708315/100703317/100707664/100709099/102083227/100702838/100692651/100700029/100701082/100704136/100710674/100698136/100700865/100709841/100691209/100703693/100697335/109202241/100696924/100702043/109202242/100693400/100706233
GO:0010557	positive regulation of macromolecule biosynthetic process	427	-0.304623687883928	-1.51919755672507	7.24255377307463e-05	0.00420068118838329	0.00363732686719787	5261	tags=33%, list=25%, signal=25%	100698878/100695549/100696117/100692976/100700776/100696161/100700814/100703150/100696335/100706110/100709869/100707366/100703711/100706126/100702192/100710828/100689867/102081676/100708897/102081185/100690361/102082021/100698056/100710206/100702161/100702791/102076123/100690997/100702155/100703267/102079029/100704786/100699910/100694646/109194539/100709139/100702901/100693371/100712268/100691661/100692488/100711530/100700211/100692838/100706913/100706579/100692573/100700623/100694371/100706951/100699579/100703632/100696739/100706646/100692326/109194181/100705840/102081093/100691095/100693960/102077828/100689714/100698260/102079559/100704197/100698130/100697049/100699288/100710135/100707240/102075543/100696480/100691888/100698988/100711423/100701498/100695813/100691833/100709989/100705339/100708254/100700725/100689832/100700271/100700156/102081773/100696647/102082360/100697873/100708694/102078580/100710516/100706722/100693063/100711457/100704340/100710717/102075597/100708315/100704780/100692630/100710066/100705595/100703242/100702392/100712304/100701186/100700132/100707667/100697915/100697249/102079592/100692790/100707214/100712340/100690089/100704136/100707708/100710674/100710719/100708841/100705118/100708818/100703415/100706754/100710887/100702724/100698599/100698057/100703278/100710922/100706313/112841626/100707695/100700388/100706203/100710022/100701334/109194414/100701827/100690128
GO:0006412	translation	337	0.295779083206414	1.52884253340975	8.62453094674732e-05	0.00475211655165777	0.00411480910696129	4465	tags=26%, list=21%, signal=21%	100690520/100711895/100712355/100690398/112841671/100711269/100699950/100699995/100695243/100697473/100698609/100702408/100697041/100705814/100703608/100700760/100695074/100704483/100709276/100699078/100705053/100699800/100695522/100708407/100691481/100704434/100695589/100712565/100696709/100709571/100712529/100709154/100700485/100701825/100699604/100690333/100699747/100701047/100693173/100695069/100693350/100711487/109204784/100694326/100689858/100697496/100694172/100707518/100701352/100711953/100705775/100696837/100711113/100705490/100711314/100710199/100710965/100693906/100708490/100698891/100709667/100693220/100700656/100703575/100693892/100711590/100707922/102080308/100710267/100694630/100708384/100692742/100691530/100692200/100689916/100708578/106096996/100696493/100709610/100695239/100709053/100698010/100704284/100712222/100693430/100712351/100694638/100708710/100697634
GO:0034330	cell junction organization	217	-0.35398769816333	-1.64191310317607	9.17254479868478e-05	0.00493080213080519	0.0042695311219552	3515	tags=24%, list=17%, signal=21%	100698921/100711438/102076852/100700567/100694955/100698737/100694804/100708136/100693541/100701197/100707661/100704445/100707064/100693164/100690564/100694840/100692463/100698578/100691067/100697056/100703411/100692361/100710257/100689834/100709545/100692037/100695882/100696688/100707664/100707499/100704602/100709582/100702423/100711273/100691932/100712264/100691354/100695456/100707460/100701555/100696089/100706561/100707392/100691209/100696180/100698251/100692699/100709806/100708837/100704065/100701417/100706233/100710159
GO:0009583	detection of light stimulus	12	0.781043213447129	2.04210371229402	0.000120559761621825	0.00617938871196515	0.00535066946928686	1180	tags=33%, list=6%, signal=31%	100710249/100696641/100695287/100695459
