ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0072359	circulatory system development	157	-0.466993218971738	-2.05996834967402	6.09329283537315e-08	6.71480870458121e-05	5.72448826902161e-05	2610	tags=33%, list=13%, signal=29%	100697860/100689834/100703676/100692123/100698854/102079618/100695462/100708341/100697721/100695442/100698851/100705434/100699130/102082854/100694757/100703947/100693823/100705741/100694905/100709263/100705211/100709844/100707611/100712340/100701076/100696794/100696924/100692178/100705660/100708828/100696318/102080255/100712573/100709470/100698260/100692052/100695603/100701657/100696897/100705524/100711530/100706480/102079592/100690567/100706836/100692213/100696180/100710616/100691958/100697617/100702631/100693400
GO:0006955	immune response	421	-0.363761891663542	-1.78482518644881	3.8872374996571e-08	6.71480870458121e-05	5.72448826902161e-05	5258	tags=39%, list=25%, signal=30%	100702961/109194378/100705584/102078354/100711382/100701893/100698332/100700209/106096615/100702187/100696011/100705441/106098255/100696221/100691426/106097915/100691072/100701969/102081137/109194343/100705370/100697699/100691526/100701791/100703853/102082710/102082261/100700068/100699978/100698833/102081732/100706453/100704472/102079562/100704679/100705431/100706144/100694547/100693436/100705695/100709415/100694279/100711419/100706409/100702230/100705566/109202867/102082964/100689711/102080842/100711798/100699119/100711546/100710376/100710598/112841768/100708941/100693994/100708740/100700187/106098650/100697411/100706994/100693311/100690570/102076210/109201252/109203201/109202472/102076024/102076978/100704775/100700129/100697852/100696739/102082540/100701239/100695012/100698904/100707345/100701693/100691242/109194160/100691574/102076948/100692000/100709943/102083124/100709378/106098214/112843776/112846038/100700947/100692776/100696983/102076793/100691316/100689957/100705827/100703947/100704742/100705953/102080361/100697225/102079249/100692508/112841738/100708387/102079388/100692238/100701975/100703024/100697412/100691855/100704780/100701404/100693578/100703911/109204162/100689992/100702615/100694338/100703919/109194357/102079939/100702234/100703184/100691510/100698596/106096913/100705543/100707708/100695758/100704136/100692001/109200266/100695134/100700900/100693633/102079789/100709634/100704575/100710971/100701722/100703581/100690893/100712435/102079592/100707781/100702249/102082145/102075976/100705259/100701435/106096445/100709029/100704190/100694868/100702497/112841757/100694529/100706178/100709445/100689918
GO:0007167	enzyme-linked receptor protein signaling pathway	393	-0.347154740796106	-1.69190437341127	2.69463064909331e-06	0.00181656087322132	0.00154864894388196	4597	tags=32%, list=22%, signal=26%	100701296/100706982/100698095/100707883/100711155/100709931/100706266/102079859/100703653/100692465/100711033/102079662/100691394/100690473/100702310/100707581/100698239/100693436/100710008/100694675/100697536/100711975/100711419/100706409/100707215/100706145/100703128/100690000/100701099/100699834/100704980/100698783/100705094/100695709/100691455/100705514/100711627/100703833/100703856/100693777/100702083/102082242/100701568/100695151/100698033/100712568/100693787/100705352/100695012/100706188/100712460/100703622/100707438/100709907/100692422/100709943/100705632/100700968/100693204/100709921/100692989/100691716/100699132/100702629/100695462/100704631/100691730/100704116/100696208/100709601/100693937/100703725/100698851/100698788/100700868/100693424/100694653/100707172/100693958/100708491/100709263/109194170/100704348/100697412/100706900/100696779/100696093/100702148/100708522/100712288/100693657/100695008/100708453/100708378/109203547/100699731/100707013/100692602/100694608/100710422/100707410/100699525/100712573/100690529/100709470/100693635/100699930/100706478/100700558/100692052/100695603/100534493/100690021/100706480/100709440/100692594/100695886/100698548/100707615/100701270/100691361/100711890/100704185/100710616/100709992/100710262/100691078
GO:0048870	cell motility	386	-0.341797608776948	-1.6662397710498	3.29684369005684e-06	0.00181656087322132	0.00154864894388196	5345	tags=36%, list=26%, signal=27%	100692128/100710118/100690958/102075906/100690702/100701361/109194378/100701633/100695575/100697807/100705441/100695811/100703183/100706507/100699377/100711384/100710961/100690439/102079468/100707883/109194178/100706266/102079859/100701494/100694807/100701688/100696973/100704372/100696096/102080801/100693720/100709138/100709715/100694279/100706409/100707779/100703128/100699119/100708941/100693994/100700187/100709810/100710619/100703833/100694069/100708604/100699946/100704581/100699683/100709840/100693854/100691909/100704789/100693972/100695037/100698785/100693787/100692420/100693178/100690621/100707345/100691242/100705220/100705768/102077035/102076948/100699105/100693797/100692422/100692123/100705632/100690471/100703702/100691283/100692122/100697097/100695462/100707159/100697462/100699613/100704631/112843776/100701033/100700171/100704797/102076184/100699552/100698851/100692363/100703947/100697814/100703476/100704742/100710491/100707172/102079249/100712166/100708491/100693904/100708387/109194170/100695765/100697969/100706366/100692557/100707816/100696056/100705374/100711743/100708453/100691510/102082396/100707013/100696466/100706609/100710831/100704521/100696204/100709470/100704136/100708357/100692052/100695603/100691235/100705849/102077970/102079592/100695886/100696634/100703317/100702249/100691801/106096445/100710616/100692535/100709445/100706244/100693027
GO:0006260	DNA replication	98	0.458543041562348	2.02127905702513	4.37921857299924e-06	0.00193035954697807	0.0016456642426955	4616	tags=42%, list=22%, signal=33%	100710394/100711026/100698369/100695217/100692796/100692775/100710836/100694927/100693703/100709977/100699585/100709110/100698675/100697228/100710033/100691630/100692093/100693026/100693300/100704306/100699059/100701137/100705373/100694443/100697846/102080670/100711211/100691820/100702463/100692913/100702163/100708019/100705153/100696561/100694900/100702557/100693943/100710402/100705686/100711947/100710607
GO:0007389	pattern specification process	56	-0.566246795940366	-2.1177257166234	6.61369791795383e-06	0.00242943170186171	0.00207113171641186	3242	tags=38%, list=16%, signal=32%	102076622/100690253/100702161/100700968/100708805/100699130/100690918/100707611/109202243/100707701/100696924/100692255/109202143/100698260/100690021/100700632/100706480/100697735/109202241/109202132/109202242
GO:0002252	immune effector process	82	-0.473346686665375	-1.89003522481659	0.000102411589735978	0.0114198658025203	0.00973562921840611	4740	tags=45%, list=23%, signal=35%	109202044/100701969/109194343/100697699/100703853/109202867/100710376/112841768/100708941/106098650/100693311/100704775/100701239/100701693/102076948/100692000/100709378/100703947/102079249/100692508/100692238/100701975/100704780/100703919/100702234/100703184/100707708/100704136/100692001/102079789/100710971/100703581/100690893/102079592/106096445/100704190/112841757
GO:0000725	recombinational repair	81	0.432301521904711	1.8442455148446	8.30323359107031e-05	0.0114198658025203	0.00973562921840611	5991	tags=44%, list=29%, signal=32%	100700660/100707315/100707621/100692775/100710836/100694927/100693703/100697228/100691630/100693300/102078106/100701137/100706394/100710265/100711388/100691820/100708019/100701738/100693251/100703970/100692220/100700864/100693943/109204785/100710410/100702312/100705420/100697842/100534447/102075829/106097853/100710576/100534531/100710845/100702955/100693105
GO:1902531	regulation of intracellular signal transduction	424	-0.322045542861219	-1.58169158331205	0.000103628546302362	0.0114198658025203	0.00973562921840611	5187	tags=33%, list=25%, signal=25%	100698332/100708563/100699214/100700270/100697385/100709523/100691644/100695496/100697140/100692007/100700983/100708982/100708313/100705441/100693493/100709242/100698798/102079435/102081321/100704382/100701131/100709855/100692560/100693200/100697422/102078975/102079468/100707883/100705992/100693011/100692465/100704438/100700311/100708521/100711560/100706144/100707581/102080150/100708025/100709415/100694279/100706409/100693522/100699119/100690521/100693994/100699310/100700187/100703788/100696457/100694058/100692522/100702083/100706519/100708442/100703664/100706196/100700129/100696959/102075704/100696739/100694883/100704435/100696454/100701239/106098865/100693654/100691242/100701308/100707438/102076948/100708130/100711221/100690044/100710952/100706281/100704208/100704392/102077198/100708218/100691030/100708027/100711937/100695374/100700208/100690859/100704265/100707896/102078018/100695936/100707258/100703725/100690007/100705827/100690348/106097797/100703947/109204787/100693227/100704742/100707172/100702757/100708491/100697000/100692557/100697881/100697534/100707183/100708611/100702574/100702947/100691822/100696475/100704495/100691510/100689945/100691723/100692827/100690529/100704136/100694976/100709795/100702108/100701657/100702155/100709440/102079592/100696951/100695487/100706321/100712175/100704185/100701435/106096445/109194223/100691839/100692417/100711215/100696183
GO:0033627	cell adhesion mediated by integrin	49	-0.53830525757876	-1.95433154599879	0.000151476945632029	0.0117456572873684	0.0100133719829748	6311	tags=63%, list=30%, signal=44%	100709660/100690424/100691211/100696272/100696606/100692707/100693712/100711983/100703183/102082286/100690041/100709715/100708604/100693142/100712277/100693178/100699105/100706614/100691283/100709123/100703476/100712166/100693578/100708582/100707242/100691235/100697706/100708437/100692535/100697617/100708169
GO:0016064	immunoglobulin mediated immune response	47	-0.532690285988592	-1.92232694579516	0.000159877367795395	0.0117456572873684	0.0100133719829748	4721	tags=49%, list=23%, signal=38%	100701969/109194343/100703853/109202867/100710376/112841768/106098650/100693311/100701693/100692000/100709378/100703947/100692508/100692238/100701975/100702234/100703184/100707708/102079789/100710971/100703581/102079592/112841757
GO:0009060	aerobic respiration	92	0.418146931483039	1.81712293393046	0.000140059622229338	0.0117456572873684	0.0100133719829748	5854	tags=51%, list=28%, signal=37%	100705239/100699226/100702481/100692119/100702933/100699929/100694342/100698621/100712084/100694607/100697907/100707594/100693141/100693543/100695203/100711722/100690705/100695052/100706771/100711343/100693446/100708544/100702099/100698306/100698186/100708317/100701173/100705674/100711262/100696168/100712273/100704109/100709891/100689951/100705972/100700806/100691871/100697423/100694087/100706528/100711999/100708573/100691549/100691894/100689795/100697524/100706997
GO:0070585	protein localization to mitochondrion	42	0.524868149673711	1.9300942678339	0.000192610226245179	0.0128640284437689	0.0109668023555868	4416	tags=48%, list=21%, signal=38%	100704978/100704237/100710189/100703030/100691587/100705887/102082689/100696752/100709104/100692688/100689953/100690505/100697268/100705360/100692578/100703797/100693846/100691366/100700196/100695809
GO:0006954	inflammatory response	106	-0.427512063061896	-1.76909976658682	0.000200152074304808	0.0129745638755235	0.0110610356852657	5593	tags=49%, list=27%, signal=36%	106098416/100690001/100703629/109194378/100702187/100703292/100705441/102081321/100697805/100705370/102080433/100692589/100694547/100705695/100694279/102082059/100699119/100692049/100711546/100693994/100700187/102076024/102077344/100708068/100709869/100699579/100701239/100695012/100691242/109194160/100705061/102076948/100703080/106098214/100692776/100689957/100703947/100704742/100705953/100708387/100703024/100703911/100691510/100693111/102082360/100704136/100693633/100690893/102079592/100704761/100702249/106096445
GO:0002503	peptide antigen assembly with MHC class II protein complex	29	-0.612067353050021	-1.97438390118892	0.000335138560426687	0.0160762154666305	0.0137052462546257	4721	tags=55%, list=23%, signal=43%	100701969/109194343/100703853/109202867/112841768/106098650/100701693/100692000/100709378/100692508/100692238/100701975/100702234/100710971/100703581/112841757
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	29	-0.612067353050021	-1.97438390118892	0.000335138560426687	0.0160762154666305	0.0137052462546257	4721	tags=55%, list=23%, signal=43%	100701969/109194343/100703853/109202867/112841768/106098650/100701693/100692000/100709378/100692508/100692238/100701975/100702234/100710971/100703581/112841757
