ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl04145	Phagosome	213	0.447924175519856	2.29092174521878	1e-10	1.78e-08	9.89473684210526e-09	4614	tags=37%, list=22%, signal=29%	100707242/100690863/100702693/100705883/100709747/100705579/100703061/102076024/109202513/100691790/100703853/100696865/109202867/100690127/112841710/102082286/100709654/100689992/100696639/100690501/100706614/100703581/100692000/100690195/100708725/100706709/100712435/100701856/100691401/100705898/100700431/100701440/100694547/100700620/100697838/100710185/100712415/100696414/100701980/100701175/100697553/100695758/100700630/100692238/100694924/100704618/100693018/100695592/100709378/100698926/100709035/100706267/100695195/100697852/100710668/100704478/100705953/100709109/100696698/100690614/100533981/100696092/100701242/100705606/100705437/100711071/100689711/106098650/100704472/100710754/100698241/100703579/102078978/109194343/100704725/109197098/100705351/100703518
onl04142	Lysosome biogenesis	298	0.373019620596616	1.97602019239896	3.19012361735547e-10	2.83921001944636e-08	1.57827168437586e-08	3476	tags=30%, list=17%, signal=25%	100699356/100705883/100704001/100705579/100703061/100707855/100706158/100706489/100701584/100710628/100689911/100707631/100711488/100707845/100708717/100690785/100695688/102076596/100696865/100708610/100694034/100690050/102080361/100703085/100709654/100705613/100689992/100705766/100694692/100707775/100693914/100707102/100700034/100700357/100703047/100690195/100697684/100708725/100702456/100702623/100704769/100709126/100701856/100707381/100691401/100701925/100705898/100707426/100706635/100703787/100700431/100693374/100710617/100701867/100696414/100700356/100696547/100710704/100699603/100709808/100711467/100694056/100695758/100704055/100698122/100704732/100693018/100710077/109194165/100706835/100710936/100695517/100706842/100705026/100694958/100710668/100697565/100697003/100689736/100696850/100696189/100703629/100710956/100708413/100696092/100699365/100705649/100700784/100700046
onl03050	Proteasome	52	0.611532034458997	2.48578511778025	4.75280953290313e-08	2.82000032285586e-06	1.56759331962419e-06	4441	tags=62%, list=21%, signal=49%	100706501/100694136/100691410/100702859/100693714/100701572/100690318/100698291/100706775/100697303/100707147/100694719/102080582/100712325/102080581/100704752/100690533/100706523/100709236/100700845/100691978/100701457/100701559/100696839/100690632/100708984/100697999/100690634/112843250/100703299/100700300/100697106
onl04517	IgSF CAM signaling	456	-0.32033467022104	-1.7345748256024	6.89725001316414e-08	3.06927625585804e-06	1.70616184536166e-06	5258	tags=36%, list=25%, signal=28%	100692677/100699878/100697262/100710878/102080174/100709158/100694809/100696355/100711323/100695288/100695429/100692208/100709676/100706165/100703353/100694038/100703256/100706932/100707758/100709892/100696652/100709723/100702861/100689963/100690473/100710714/100698505/100706266/100701546/100697778/100711914/100699673/100705076/106096418/100702451/100703331/100697856/100709810/100698643/100693960/100699718/100711069/100691909/100699299/100697954/100702913/100710635/100700727/100709824/102076406/100696429/100693503/100702155/100704988/100698864/100704058/100699858/100689731/100698253/100704976/100712450/100693270/100702838/100708963/100701096/100707588/100710240/100706561/100709239/100694218/100701183/100707971/100696096/100696811/100707965/100698856/100692535/100708502/100704789/100703154/100705907/100691444/100710350/100692017/100709524/100698552/109194201/100708294/100699484/100705764/100696235/100693712/100709689/100701491/100701849/100704479/100706118/100705631/100708130/100711937/100707163/100710883/100711065/100699125/100701319/100695811/100706939/100700931/100708273/100699493/100708310/100691292/100696727/100691738/100689759/100707658/100692990/100708093/100704230/100707073/100712404/100691067/100706122/100696506/100707475/100705599/100705354/100696098/100693657/100711853/100697722/100700918/100704581/100711602/100694794/100698256/100709469/100704596/100703458/100691647/100697056/100702878/100708363/100699304/100702908/100711956/100692252/100703272/100704445/100699182/100690271/100697050/100711687/100705233/100696265/109194178/100690420/100703081/100709901/100691441/100692052/100698737/100708272/100691932/100704705/100709549
onl04330	Notch signaling pathway	92	-0.507911464547309	-2.24767239006421	8.89495600817553e-08	3.16660433891049e-06	1.76026497846e-06	5375	tags=58%, list=26%, signal=43%	100697280/100704281/100709099/100697163/100704115/100695702/100693784/100711035/100703150/100694718/100709612/100703124/100698659/100696693/100708178/100697735/100699840/102079948/100704845/100712363/102077828/100697583/100703921/106098755/102081093/100690969/100711998/100705338/100707701/100694715/100699130/100703632/100710579/100709408/100709989/100707611/100698066/100707048/100699141/100700695/100696924/100700280/100699902/100700725/100698988/100697238/100703553/100699831/100696073/100699419/100700965/100709503/100693766
onl00280	Valine, leucine and isoleucine degradation	56	0.580187238530799	2.39895881134308	1.07264218023305e-07	3.18217180135806e-06	1.76891868319135e-06	5008	tags=59%, list=24%, signal=45%	100697128/100706080/100702383/100693621/100700973/100698741/100712075/100699540/100707810/100689799/100690782/100709781/100710578/100692833/100707145/100701752/100691671/100691111/100693722/100693723/102078228/100702912/100708820/100706017/100705559/100711018/100689827/100703423/100707441/100704813/102078289/102082725/100697026
onl04012	ErbB signaling pathway	114	-0.448597152377944	-2.03312876370068	9.89397153331192e-07	2.51589561847075e-05	1.39854635207717e-05	4543	tags=39%, list=22%, signal=31%	100707819/100690473/100691710/100701546/100711914/100708231/100697856/100711613/100690421/100692645/100709219/100702155/100704988/100698864/100703163/100707971/100692331/100711745/100708502/100692017/100708294/100690945/100695100/100705099/100705041/100704479/100698373/100711065/100708273/100699493/100696779/100712404/100709597/100706444/100693657/100697722/100704581/100691647/100698076/100692252/100705233/100709901/100707515/100701539/100705501
onl04520	Adherens junction	169	-0.392549682612372	-1.89494808237974	1.43034625040814e-06	3.18252040715811e-05	1.76911246761007e-05	4380	tags=37%, list=21%, signal=29%	100701546/100699673/106096418/100711613/100695750/100712007/100693960/100690029/100690421/100692077/100702913/102076406/100695177/100704058/100690588/100696191/100693709/100706561/100692385/100699355/100696811/100698856/100697366/100702521/100710520/100696794/100703154/100710350/100711438/100698220/100695442/100711937/100693823/100691354/100703632/100707163/100701319/100709989/100691738/100707658/100692990/100697854/100704057/100691078/100705050/100698512/100711853/100697722/100691958/100705177/100695270/100712573/100700725/100698988/100701657/102082971/100697056/100702878/100696265/100698737/100708272/100704365
onl03010	Ribosome	172	0.369371681255574	1.83356095140498	3.5243995150576e-06	6.97047904089169e-05	3.87477841421537e-05	5152	tags=33%, list=25%, signal=25%	100703575/100704434/100707518/100699950/100705165/100712259/100709394/100699572/100709298/100711210/100697473/100705775/100708407/100705238/100712355/100693862/100700760/100699676/100695522/100708309/100712565/112841671/100710199/100702964/100698311/100693690/100700060/100693430/100711314/100709057/100712222/100699908/100697189/100697647/100691288/100692584/100697226/100708384/100708520/100690398/100712529/100706003/100704791/100534569/100711682/100705490/100699952/100710875/100712351/100712250/100690034/100701605/100712489/100691299/100709517/100696602
onl04310	Wnt signaling pathway	228	-0.355012574512854	-1.78057593588552	5.18829969267391e-06	9.23517345295956e-05	5.13368601169839e-05	4305	tags=32%, list=21%, signal=26%	106096418/100698659/100696693/100693618/100693960/100693301/100696224/100691823/100704845/100712297/100703880/100691669/100692462/100690588/100699353/100704879/100692385/100697583/100698389/100690824/100705147/100710611/100690960/100691716/100703219/100690803/100697366/100710520/100711771/100696241/100699872/100710461/100699515/100697948/100694364/100695100/100696565/100692643/100698220/100705072/100705041/100697276/100709462/100703632/100696229/100709989/100699493/100693937/100712404/100707048/100704057/100702483/100704608/100697931/100700695/100705177/100700280/100695270/100705148/100700725/100698988/100695880/100705426/100697238/102082971/100695400/100698792/100708803/100700965/100689729/100712340/100704365/100707642/100700452
