ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl00190	Oxidative phosphorylation	146	0.634041342992794	2.97313974233572	1e-10	2.54285714285714e-09	1.74436090225564e-09	4121	tags=58%, list=20%, signal=46%	100692526/100694087/109194175/100705972/100700847/100705487/100697423/100699388/100708725/100695203/100693065/100706772/100701956/100701139/100695831/100707442/100690105/100710259/100693018/100702099/100709654/100694882/100689881/100698942/100703061/106096937/100697142/100709124/100705042/100706408/100700431/100692041/100693543/100709085/100695358/100705312/100705299/100711795/100695608/100696414/100707594/100708544/100708794/100694483/100697524/100697843/100707142/100700216/100705898/100693446/100697434/100699226/100695760/100705449/100703964/100707800/100698306/100702176/8677322/100706528/100695068/100704650/100707916/100705231/100698436/100705832/100700405/100709974/100695052/100707108/100708573/100712330/100691549/100711343/100701929/100692674/100692587/100709256/100706427/100705947/100697091/100710754/100705346/100694419
onl03010	Ribosome	172	0.614226774911038	2.92901505268138	1e-10	2.54285714285714e-09	1.74436090225564e-09	5242	tags=74%, list=25%, signal=56%	100712259/100697473/100703241/100707213/100711210/100690804/100690460/100699889/100708762/100712489/100706839/100695239/100697189/100708384/100704053/100711498/100693690/100703575/100701387/100712355/100691806/100710673/100709298/100699599/100699747/100534443/100706003/100699908/109195715/100705775/100700005/100701640/100534569/100709057/100534436/100707648/106098935/100699676/100696251/100695522/100699787/100693246/100705596/100692069/100705882/100711334/100690398/100702964/100712222/100711190/100691299/100709517/100691963/100696602/100689858/100695843/100711314/100708520/100710267/100701551/100699572/100696499/100703910/100710875/100696027/100705081/100696829/100691103/100694681/100689943/100695708/100712250/100690746/100690034/100692490/100693862/100706983/100699950/100704791/100704343/100705490/100694704/100692256/100697185/100700425/100534449/100710306/100710199/100705238/100693891/100708460/100712529/100709394/100702526/100697190/100695881/100702758/100699803/100698311/100707884/100707518/100691205/100691333/100700493/100697647/100690179/100707041/100693356/100711077/100690056/100697017/100699952/100693457/100693220/100691912/100700760/100711912/109194511/100702190/100696588/100709589/100697988/100712073/100712351/100698782/100704095/100696222/100705165
onl04512	ECM-receptor interaction	105	-0.579199806694209	-2.63971925331754	1e-10	2.54285714285714e-09	1.74436090225564e-09	3683	tags=47%, list=18%, signal=39%	100698387/100711983/100692535/100691235/100701361/100703196/100708721/100696180/100700040/100700481/100708902/100700237/100693369/100706253/102083190/100694989/100711318/100709262/100706244/100710915/100690127/100700747/100693712/100704407/100706865/100689834/100710205/100693578/100691930/100690424/100692395/100705113/100699320/100699591/100707465/100696606/100533982/100694532/100690471/100699105/100705213/100700514/100710094/100701057/100695028/100709531/100701440/100702721/100696272
onl04820	Cytoskeleton in muscle cells	282	-0.5024580491928	-2.59504122301859	1e-10	2.54285714285714e-09	1.74436090225564e-09	3766	tags=41%, list=18%, signal=34%	100695815/100694847/100534412/100707214/100702294/100709592/100711983/100705928/100712221/100703243/100692535/100700801/100691235/100708478/100703196/100696152/100708721/100696180/100700481/100711584/100701567/100704690/100694447/100708902/100705080/100699125/100700237/100698303/100534402/100698351/100701798/100694254/100692763/100697072/100690446/100706971/100707499/100698213/100705537/100701890/100711318/100709262/100703573/100708395/100710707/102083127/100690127/100700747/100693712/100704407/100706865/100703741/100690920/100689834/100696273/100707241/100711531/100704245/100697102/100707976/100703143/100711543/100701576/100690424/100705764/100698513/100699320/100699591/100701590/100690306/102082782/100699862/100702521/100707073/100696606/100533982/100697076/100697636/100702938/100699907/100698284/100695476/100703186/100694532/100708639/100705631/100709026/100707116/102082320/100699105/100705213/100700514/100710094/100701881/100712026/100705823/100701165/100695257/100701380/100692104/100709531/100701440/100694912/100702721/100534411/100696272/100707421/100696264/100703747/100710292/100703845/100699372/100705731/100698998/100702396
onl04382	Cornified envelope formation	151	-0.512715994319231	-2.43635481371221	1e-10	2.54285714285714e-09	1.74436090225564e-09	2700	tags=34%, list=13%, signal=30%	100707214/100697056/100691235/100709536/100702817/100700481/100709405/109194246/102075793/100711707/100711401/100706971/100703454/100705046/100709897/100711329/102083127/100705565/100708080/100699711/100698082/100710159/100700747/100709534/100699626/100697928/100712177/100705917/100690141/100706304/100692901/100698417/100690424/100699320/100699591/100696071/100706043/100701772/100702519/100692699/100711368/100691347/100698737/100709826/100690270/100697934/100707895/100696601/100697671/100696272/100697248/100698206
onl04518	Integrin signaling	206	-0.455441590027645	-2.28325920757064	1e-10	2.54285714285714e-09	1.74436090225564e-09	3669	tags=35%, list=18%, signal=29%	100704975/100534412/100711983/100706609/100692535/100691235/100701361/100703196/100708721/100696180/100700040/100700481/100693685/100709985/100694447/100708902/100698323/100700237/100695709/100693197/100693369/100694989/100711318/100709262/100694924/100706244/100711033/100710915/100690127/100700382/100700747/100708583/100693712/100704407/100689834/100696265/100704245/100711120/100693578/100698578/100708273/100691930/100707615/100708272/100690424/100692395/100705113/100709660/100534565/100704988/100699320/100699591/100701590/102080873/100696606/100533982/100707642/100694532/100690471/100699105/100705213/100700514/100710324/100706266/100710094/100701057/100690951/100695028/100709531/100701440/100689963/100702721/100696272
onl04517	IgSF CAM signaling	456	-0.354146405778675	-1.92007059585434	1e-10	2.54285714285714e-09	1.74436090225564e-09	5549	tags=40%, list=27%, signal=30%	100700487/100694218/100691292/100706165/100699613/100712450/100696098/100711680/100693083/100699858/102079645/100692222/100698643/100693372/100703272/100703991/100701491/100709676/109194284/100696727/100702878/100701319/100534414/100691605/100708604/100699156/102079940/100705599/102080824/100691947/100709469/100698314/100711069/100708310/100703813/100699304/100692052/100691932/100707965/100696506/100709723/100702838/100698136/100707588/100710240/100708502/100703612/100692355/100692990/100704975/100534412/100709153/100697056/100696250/100711983/100710710/100706609/100701746/100703353/100709158/100692535/100711687/100712193/100696152/100705076/100708363/112846610/100693228/100699493/100705907/100708883/100695811/100711580/100694447/100695798/100690197/100700931/100690271/109196111/100700226/100699125/106096429/100703003/100702666/100693197/100702414/100698552/100706553/100712088/100701849/100705626/100707127/100702908/100693751/100707450/100691578/100711948/100694924/100704504/100708294/102079979/100699484/100698528/100704867/100709239/100704596/109194178/100699718/100699299/100698864/100707768/100704725/100707038/100708583/100696429/100693712/109197038/100710350/100702354/100705772/100689759/100698711/100696265/100704976/100704574/100695373/100704245/100709549/100702803/100694867/100697102/100705354/100703814/100708273/100691444/100709192/100704230/100710692/100708272/102076326/100699182/100705764/100689731/100711956/100709660/100704988/100707758/102080873/100709901/100698856/100699181/100707073/100696606/100692985/102077929/100693503/106096431/100704445/100704275/100694458/100703186/100707658/100705631/100696183/100698253/100699105/100712030/100694794/100698737/100709179/109197651/109197098/100706266/100710714/100702442/100702913/100693877/100708257/100689963/100711602/100702451/100694711
onl04814	Motor proteins	224	-0.42335073069949	-2.13951674291154	2.9736350663024e-10	6.61633802252285e-09	4.53870615382998e-09	3728	tags=33%, list=18%, signal=28%	100711011/100694407/100693211/100534412/100705928/100703966/100709432/100708478/102080367/100700433/100712243/100695694/100694447/100705282/100709105/100699125/106096429/100703003/100701798/100700124/100693788/100702414/100712088/100701943/100697976/100708652/100703573/100708395/100700807/100691922/100704725/100695142/100711967/109197038/100711408/100707241/100704245/100705791/100694867/100707976/100712129/100711543/100699079/100708070/100705764/100699862/100702521/100691416/100707073/100708085/100692718/100699907/100709306/100709026/100707116/100706139/100699005/109197651/109197098/100701881/100697040/100705823/100701165/100699756/100708257/100707121/100695398/100534411/100707421/100696264/100703747/100710292/100703845/100705731/100698998
onl04510	Focal adhesion	277	-0.388452509272203	-1.99922170671221	1.05474226559088e-09	2.08604581416863e-08	1.43099535448587e-08	4082	tags=34%, list=20%, signal=28%	100697814/100694829/100712347/100705884/100708502/100707883/100534412/100707201/100711983/100706609/100692535/100691235/100701361/100703196/100705076/100708721/100696180/100700481/100699493/100693176/100709985/100694447/100708902/100709780/100690197/100698323/100700237/100693947/100701417/100695709/100706553/109194150/100694989/100708231/100711318/100709262/100704504/100706244/100711033/100708294/100711819/100698528/100710915/100704596/100690127/100700747/100698864/100708583/100693712/100704407/100712315/100689834/100696265/100704574/100704245/100711120/100693578/100708273/100691930/100696536/100707615/100696779/100708272/100690424/100692395/100705113/100709219/100701476/100534565/100699320/100699591/100702521/100696606/100533982/100707642/100710191/100699907/100694458/100694532/100690471/100690580/100709026/100696183/100699105/100705213/100700514/100710324/100706266/100710094/100701057/100690951/100709531/100701440/100702721/100696272
onl00280	Valine, leucine and isoleucine degradation	56	0.586280911646857	2.38516128205776	2.93486129951389e-07	5.22405311313473e-06	3.58362011309065e-06	3699	tags=50%, list=18%, signal=41%	100694545/100693722/100692528/100704813/100689799/100698450/100707184/100706017/100693621/100712075/100702912/100700973/100706080/100703423/100699406/100710578/100689827/100692418/102078228/100692833/100702383/100698741/100709781/100691111/100691671/109194280/100709434/100693723
onl04514	Cell adhesion molecule (CAM) interaction	255	-0.347463394995078	-1.77839919923332	4.50181936839693e-07	7.28476225067867e-06	4.9972348969765e-06	3742	tags=29%, list=18%, signal=24%	100692990/100709153/100696567/100710710/100692535/102081292/100709536/100708363/112846610/100698955/100712080/100705907/100708883/100690271/109196111/100700226/100702693/100705374/100702908/100694146/100698213/100693751/100707450/100691578/100694924/100711329/102079979/100704867/100693366/109198943/100699711/100701242/100710159/100707768/100693712/100704407/109194176/100709183/100699626/100710350/100705772/100702438/100698711/100695373/100709549/102083276/100703814/102080215/102078098/100689918/100698417/100692508/100690424/100691642/100709660/100704307/102080873/100699181/100701688/102077929/100707658/100692699/100694738/102077463/100701796/100709109/109201613/100693877/100690270/100707895/100696272/112841757/100697248/100694711
onl03018	RNA degradation	84	0.4544778011807	1.96359900122354	7.57287865252517e-06	0.00011233103334579	7.70573617274491e-05	4137	tags=42%, list=20%, signal=34%	100689983/100709630/100692527/100700133/100711394/100710871/100708186/100693135/100705055/100708537/100705735/100694409/100706795/100704258/100692012/100710370/100699738/100691704/100700246/100690209/100705627/100708580/100695309/100696946/100710937/100705067/100697105/100694828/100696935/100701182/100698699/100704384/100690213/100709929/100689807
onl04810	Regulation of actin cytoskeleton	312	-0.317595835584404	-1.66011154657943	1.44342517554852e-05	0.000197638216344335	0.000135576777622371	5547	tags=37%, list=27%, signal=28%	100709462/100702821/100691292/100699613/100701156/100701304/100704787/100693083/100693650/109196021/100693248/109194284/100534414/100712010/100708604/100704152/100710886/100701539/100691168/100691947/100709469/100698314/100698373/102082069/100711879/102081168/100698136/100696901/100701281/100693255/100705632/100708502/100698056/100707883/100692465/100534412/100695956/100711983/100695781/100706609/100692535/100703262/100691235/100705076/100708721/100696180/100689713/100699882/100694447/100709780/100690197/100704126/100689850/100699125/100701417/100695709/100698321/100706553/109194150/100708231/100711318/100711948/100694924/100704504/100708294/100711819/100698528/100709445/100704596/100698864/100691976/100699420/100708583/100698613/100693712/100704407/100695280/100689834/100701287/100696265/100704574/100704245/100705399/100704516/100696875/100708273/100693040/100708272/100690424/100705764/100709219/100695827/100709660/100712037/100701476/100704902/100707758/102080873/100702521/100707073/100696606/100691488/100712345/100699907/100694458/100690580/100709026/100696183/100699105/100705213/100701814/100711288/100706266/100691617/100712425/100696272
