ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl00190	Oxidative phosphorylation	146	0.608746420751176	2.9293126086596	1e-10	5.93333333333333e-09	3.85964912280702e-09	4230	tags=63%, list=20%, signal=51%	100705312/100699226/100695203/100699388/100705239/100706408/100705793/100693543/100709974/100707594/100695608/100705972/100708725/100694087/100703061/100702099/100697423/100709019/100693446/100708544/100709654/100695052/100707442/100694607/100711343/100698306/100698942/100709124/100710668/100710104/100711795/100705346/109194175/100701856/100710754/100712084/100695760/100705832/100690057/100702176/100701139/100697524/100697907/100698621/100695068/100695358/100705898/100693141/100697091/100693065/100706528/100695831/100705487/100700405/100703579/100703964/100694483/100706772/100705947/100708573/100694342/100691549/100710259/100707800/100701956/100692526/100700847/100692041/100705299/100691401/100697434/100704109/100707916/100706427/100705449/100692587/100707142/100706771/100695060/100701929/100700431/100691073/100694882/100693673/100700216/100690105/100697843/100694419/100692881/100698436/100696414/100696092
onl03010	Ribosome	172	0.514542611245173	2.53067964586034	1e-10	5.93333333333333e-09	3.85964912280702e-09	7559	tags=66%, list=36%, signal=43%	100712355/100703575/100697473/112841671/100699950/100691299/100690398/100699889/100689858/100712565/100710875/100693891/100704791/100710199/100708407/100705490/100700760/100698311/100696499/100712073/100710267/100709298/100708384/112842563/100701387/100691806/100693690/100699747/100695239/100695881/100699787/100707518/100705238/100712351/109195715/100712529/100693220/100696163/100690804/100704434/100699952/100712222/100709517/100703241/100693430/100697647/100699908/100700425/100712259/100697189/100534569/100695635/100697226/100709025/100699676/100711210/100534443/100706003/100711190/100705081/100711498/100690746/100691963/100693246/100692256/100695522/100705882/112843665/100700005/100534436/100712489/100709057/100692584/112843666/100699572/100697190/100691288/100708520/100705165/112846812/100692069/100699599/100695843/100693457/100709394/100701640/100697988/100708460/100700060/100711099/100690179/100693862/106098935/100691205/100701551/100704343/100690174/100695708/100709589/100703910/100711682/100705775/100696251/100704053/100700493/100690460/100710306/100696027/100699803/100711912/100534449/100710673/100712250/100711314
onl04518	Integrin signaling	206	-0.492353718268035	-2.34246040698279	1e-10	5.93333333333333e-09	3.85964912280702e-09	4096	tags=43%, list=20%, signal=35%	100711613/100693277/100696095/100695462/100690958/100693178/100709531/100693197/100709985/100704058/100704975/100703183/100709262/100709470/100691930/100704245/100706507/100711120/100704152/100696639/100706539/100700481/100709123/100708273/100711808/100701361/100711983/100693369/100708902/100698851/100707883/100704988/100707779/100702302/100705233/100708604/100708582/100705213/100693406/100698578/100693712/102077756/100703476/100697706/100709660/100695028/100711033/100690424/100708583/100694653/100712166/100707971/100695709/100710324/100696606/100692252/100693657/100697814/100707013/100705849/100695603/100689834/100707642/100692594/100708437/100706266/100693685/100701057/100706609/100710616/100689963/100690471/100693578/100699105/100696265/100692052/100701590/100696272/100691235/100699320/100701270/100697617/100696180/100692535/100707615/100708169/100699591/100706244
onl04510	Focal adhesion	277	-0.417570414577546	-2.06189709169644	3.53703899407058e-10	1.57398235236141e-08	1.02387970880991e-08	3731	tags=34%, list=18%, signal=28%	100693178/100709531/100709985/100704058/100701539/100711819/100703183/100709711/100708521/100707864/100709262/100709470/100691930/100709469/100706585/100704245/100706507/100711120/100696639/100706539/100700481/100708273/100708294/100711808/100701361/100712315/100711983/100708902/100698851/100704596/100709493/100707883/100707159/100707779/100702302/100705233/100708604/100705213/100693406/100706186/100693712/102077756/100697706/100711033/100690424/100708583/100712166/100707971/100710191/100695709/100699613/100710324/100699493/100696606/100699878/100692252/100691168/100696536/100693657/100697814/100697131/100707013/100698523/100705849/100695603/100689834/100709440/100707642/100692594/100706266/100694458/100701057/100709219/100706609/100710616/100690471/100693578/100699105/100696265/100692052/100696779/100696272/100691235/100699320/100701270/100703163/100697617/100696180/100692535/100707615/100699591/100696183/100706244
onl04060	Cytokine-cytokine receptor interaction	214	-0.436136013676395	-2.08201579802706	2.04368741422994e-09	7.27552719465859e-08	4.7327498013746e-08	4573	tags=39%, list=22%, signal=31%	100697780/100705710/100705058/100708239/100707345/100695280/102083126/100697904/102080666/100691526/100691414/112841661/102081732/100695496/100534522/100706900/100702221/100712568/100703676/100694771/100702389/100703262/100691796/100700163/100693748/100706478/100699754/106098416/100694608/102079249/100695177/100691527/109204162/100708941/100703947/100702023/100534534/100698783/102078481/100704742/100700209/100698596/100693958/100695936/100701404/100693511/102076609/100690893/100694653/100703184/100690021/102083188/100692513/100697530/100705827/100703991/100710422/100696736/102079789/100702230/100696093/100712491/100690327/100707781/102081429/100693899/100708828/100711890/100696663/100712573/100703251/102079592/100695134/100534493/100702249/100706480/102082145/102076432/100694868/100702497/102080920/100692417/100709445
onl03050	Proteasome	52	0.614223254092704	2.44869031521085	1.66047941526622e-08	4.92608893195646e-07	3.20443395928569e-07	4354	tags=56%, list=21%, signal=44%	100691410/100691978/102080582/100700300/100697303/100701559/100690632/100693714/102080581/100694719/100709236/100690533/100702859/100704752/100706501/100700845/100690318/100712325/100698291/100704021/100690634/100703382/100701457/100710147/100706775/100701711/100691358/100708662/100708984
onl04810	Regulation of actin cytoskeleton	312	-0.377486151435835	-1.87855422927347	5.90928828010345e-08	1.50264759122631e-06	9.77476256859217e-07	5055	tags=38%, list=24%, signal=29%	100707758/100708272/100706709/100711937/100711318/100712562/100695691/100695827/100699420/100702193/100701321/100689850/100694924/100710886/100701156/102082069/100695280/100690121/100708502/100703128/100693248/100709824/100694077/100711613/100690580/100701312/100690958/100693178/100712425/100704058/100691976/100701539/100711819/100703262/100703183/100708521/100707864/100709470/100696796/100709469/100697050/100691617/100698136/100704245/100692529/100699882/100705764/100704152/100708672/100706539/100709123/100705399/100708273/100708294/100711983/100696875/100704596/100698373/100697225/100707883/100705611/100702757/100707159/100692465/100697571/100705233/100699405/100708604/100708582/100705213/100704692/100699731/100693712/100703476/100697706/100709660/100690424/100708583/100712166/100707971/100693040/100695709/100699613/100711288/100712037/100705632/100696606/100692252/100691168/100693657/100697131/100707013/100708453/100705849/100695603/100689834/100692594/100708437/100706266/100694458/100709219/100706609/100694270/100693255/100705988/100699105/100696265/100691292/100696272/100691235/102081168/100697617/100696180/100707073/100692535/100708169/100709445/100696183
onl04820	Cytoskeleton in muscle cells	282	-0.382270724708117	-1.88771572281666	1.52570428763197e-07	3.39469203998114e-06	2.20825620578312e-06	4543	tags=35%, list=22%, signal=28%	100693942/100690920/100703196/100701329/100707116/100703243/100698708/100693248/100693277/100705692/100704538/102075731/102081358/100693178/100709531/100703626/100704058/100710451/100694156/100703183/100706865/100709262/100707816/100694847/100697518/100702294/100704245/100709973/100701798/100705764/100696264/100696639/100700481/100697636/100701165/100711808/100711983/100699230/100708902/100705631/100712411/100698598/100695133/102076003/100695257/100706366/102082782/100707155/100708604/100702396/100705213/100693712/100697706/100697076/100694327/100690424/100701567/100703143/100712166/100696318/100707241/100690441/100701576/100711584/100694254/100707499/100696606/100703186/100534411/100699372/100697131/100704602/100706971/100689834/100694912/100697072/100698591/100708357/100702631/100703747/100699105/100709506/100691292/100699569/100701590/100696272/100699408/100691235/100708639/100699320/100697617/100696180/100707073/100692535/100707214/100702919/100710745/100699591
onl01200	Carbon metabolism	144	0.425646427395319	2.04636099461219	3.70092906734478e-07	7.31961526652634e-06	4.76142920944942e-06	4284	tags=44%, list=21%, signal=35%	100692498/100702001/100709695/100696029/100709925/100702912/100705239/100709145/100705384/100706906/100691871/100705334/100692119/100712273/100707972/100706096/100698741/100708820/100698324/100689799/109194175/100711722/100710696/100712084/100701118/100699540/100534540/100708317/100705761/100707113/100689951/100709891/100701115/100689827/100703155/100705056/100705758/100712533/100697876/100707874/100703946/100699473/100702933/100692528/100708775/100689795/100534541/100690782/100711999/100702337/100705559/100709338/100690209/100701182/100694419/100690705/100692737/100692881/100706460/100691217/100698186/100699523/100691111
onl04514	Cell adhesion molecule (CAM) interaction	255	-0.371622896391802	-1.81022282301786	9.7631574056854e-07	1.67362824524671e-05	1.08869962730419e-05	6121	tags=40%, list=29%, signal=29%	100700226/100696704/100701722/100692000/100701791/100707936/100692990/100699858/100693372/100709536/102082286/100704472/100701555/109194284/102080873/100701969/102083124/102076978/100705074/100694688/100698889/102078978/100706709/100690271/100698574/100699692/100694924/100698921/102083017/109194312/102079940/100699711/102083200/100693751/112846610/109194176/100703853/100708363/102080215/100709740/100706174/100698385/102076489/109198943/100711329/102080174/100707658/100703183/100702234/100692238/100701242/106098255/100695373/100703947/100709123/100712435/100692699/100701693/100694738/100691067/100707475/109202867/100708582/100693366/100693712/100701975/100703476/100707064/100709660/100709109/100697852/100690424/100709549/100697248/109201613/100711853/100693541/102079388/100699465/100699626/100706165/100707708/100703581/100701688/100702908/100708437/100692463/100705374/100692508/100710403/100710971/102079592/100696272/100707450/100705772/100697617/100692535/100708169/100707843/100689918/112841757/100710159
