ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
onl04060	Cytokine-cytokine receptor interaction	214	-0.457857367621584	-2.09417086755729	1.45662301382492e-09	2.59278896460836e-07	2.0852708408441e-07	4082	tags=37%, list=20%, signal=30%	100694771/100710008/100705695/100707671/100694279/100702230/102082329/100698783/100708941/100693806/100700187/100702221/100693311/100690570/102080666/102075875/100698033/100712568/100707345/100691242/100709907/100703676/100693748/100534534/100691030/100692989/112843776/100695936/100705827/100693424/100703947/100692513/100703991/100694653/100704742/102079249/100700163/100690512/100693958/102076609/100706900/100696093/100701404/109204162/100693899/100703184/100698596/100708828/100705710/100694608/100693511/100712491/100710422/100690327/100712573/102083188/100690186/100695134/100706478/102079789/100534493/100690021/100706480/100690893/102079592/100707781/102076432/100696736/100702249/100711890/100696663/102082145/100697530/100694868/100702497/100703251/100709445/100692417/102080920
onl03030	DNA replication	37	0.60742739055227	2.20215271507194	1.19277134179417e-05	0.00106156649419681	0.000853773170968459	3014	tags=49%, list=15%, signal=42%	100710394/100711026/100698369/100695217/100696838/100692796/100692775/100710836/100694927/100693703/100698675/100697228/100692093/100693300/100705373/100694443/100689926/100691820
onl01200	Carbon metabolism	144	0.368097668859376	1.75681706678535	0.000151323798320773	0.00673390902527442	0.0054157990977961	4452	tags=38%, list=21%, signal=30%	100709695/100692498/100702001/100698324/100705239/100705758/100696029/100705384/100709925/100692119/100534539/100706096/100702912/100709145/100707972/100699473/100702933/100534543/100699540/100708820/100705056/100712428/100707113/100712084/100711722/100690705/100703707/100708775/100699971/100534540/100705559/100703155/100698741/100712533/100691813/100707874/100534545/100706906/100693990/100698186/100690782/100708317/100701115/100691625/100711262/100690661/100712273/100534535/100703760/100703768/100705334/100709891/100689951/100710574/100704894
onl04518	Integrin signaling	206	-0.372688097926665	-1.69446283157601	0.000124855060487782	0.00673390902527442	0.0054157990977961	6498	tags=50%, list=31%, signal=35%	100710153/100697482/100704975/100698578/100712331/100694506/100709660/100690424/100691211/100691373/100705703/100693369/100696272/100711613/100696606/100700481/100702193/100693712/100708902/100712404/100712362/100690958/100701361/100697553/100708296/100711983/100693277/100703183/100706507/100708583/100699811/100689963/100704152/102082286/100707883/100690041/100706266/100701057/100711033/100690473/100707581/102080801/100707642/100707779/100702302/100708519/100695709/100704058/100703833/100708604/100712562/100696095/100712277/100693178/100693960/100696557/100697860/100689834/100699105/100690471/100706614/100695462/100709123/100698851/100697814/100707971/100703476/100694653/100696639/100712166/100693406/100692252/100705233/100701590/100693578/100693685/100693657/100696265/100708582/100707013/100706609/100707242/100699320/100706539/102077756/100709470/100711808/100692052/100695603/100691235/100705849/100692594/100697706/100707615/100701270/100708437/100696180/100710616/100692535/100699591/100697617/100708169/100706244
onl03430	Mismatch repair	23	0.616865671557129	1.98791005588652	0.000615697538612059	0.0213404565789908	0.0171632294189399	4277	tags=57%, list=21%, signal=45%	100692796/100692775/100694927/100697326/100699904/100692093/100705373/100710916/100691820/100705153/100700502/100702557/100710402
onl04330	Notch signaling pathway	92	-0.44229612248936	-1.79228854600179	0.000839231438499636	0.0213404565789908	0.0171632294189399	3271	tags=36%, list=16%, signal=30%	100700695/100706363/100693784/100707844/100705154/100694718/100699840/100698066/100709852/100690969/100692440/100708805/100699130/100696073/100695507/100700280/100707611/100710579/109202243/100707701/100693766/100700935/100709503/100696924/100692255/109202143/100711998/100699141/100712363/100697735/109202241/109202132/109202242
onl03082	ATP-dependent chromatin remodeling	117	0.357793562498272	1.64719599052149	0.00083584375037178	0.0213404565789908	0.0171632294189399	3257	tags=28%, list=16%, signal=24%	100698369/100696249/102077873/100701651/100691799/100694183/100711479/100702169/100691722/100689974/100691294/100705552/100692601/100696262/100712547/100691541/100697768/100694447/100534412/100697365/100689875/100693699/100696469/100691178/100706360/100702129/100708215/100699679/100710591/100711689/100697280/100703494/100698821
onl00900	Terpenoid backbone biosynthesis	22	0.629032881547702	2.0206727702092	0.00102019027571514	0.0226992336346619	0.0182560365127973	4631	tags=59%, list=22%, signal=46%	100697646/100689931/100702912/100709246/100700130/100705873/100708999/100699723/100712075/100695797/100691678/100693505/100692164
onl00190	Oxidative phosphorylation	146	0.328527568715713	1.56727352771157	0.00118134230848845	0.0233643256567715	0.0187909419829742	6047	tags=47%, list=29%, signal=33%	100705239/100705312/100699226/100710104/100705793/100701856/100690057/100709974/100709019/100710668/100694342/100698621/100712084/100694607/100706408/100697907/100707594/100691881/100693141/100693543/100695608/100695203/100699388/100695052/100691401/100705346/100706771/100711343/100710754/100693446/100695060/100703579/100703061/100708544/100702099/100698306/100705832/100697091/100701173/100695760/100702176/100704109/100711795/100709654/100695068/100708725/100705972/100705947/100700806/100709124/100698400/100697423/100700405/100694087/100693673/100696092/100706528/100690645/100698942/100690195/100708573/100691549/100691073/100697524/100704883/100706427/100705898/100692881
onl03060	Protein export	32	0.516969135779167	1.79701237386611	0.0018492955454564	0.0329174607091239	0.0264741257033758	3097	tags=34%, list=15%, signal=29%	100697796/100708428/100704710/100689805/100697901/100708921/100706160/102082689/102080406/100692840/100697939
onl04810	Regulation of actin cytoskeleton	312	-0.29957136163446	-1.42170025395874	0.00222561190728154	0.0360144472269194	0.0289649013770612	3823	tags=25%, list=18%, signal=21%	100707864/100703128/100705566/100697050/100695691/100695709/100704058/100695639/100708604/100694458/100708672/100694928/100706519/100691909/100692529/100712562/100699405/100698785/100693787/100693178/100696600/100694077/100696796/100696557/100697143/100689834/100699105/100708130/100705632/100706614/100707159/100699613/100709219/100711937/100698414/100709123/100692170/100691168/100705611/100692363/100707971/100703476/100697225/100700730/100702757/100712166/100697571/100692252/100705233/100693657/100704692/100696265/100708582/100708453/100699731/100707013/100706609/100707242/100697131/100706539/100693255/100709470/100695603/100691235/100691292/100707073/100694270/100705849/100692594/100697706/102081168/100705988/100708437/100696180/100692535/100697617/100709445/100708169/100696183
onl04370	VEGF signaling pathway	79	-0.412993048538329	-1.62002547578866	0.00248815688569725	0.0369076604711759	0.0296832751276163	5738	tags=46%, list=28%, signal=33%	100702193/100711065/100709118/100697553/100708296/100706560/100708583/100708547/100706266/100699392/100690473/100701183/100704581/100712562/100699493/100695012/100696557/100702063/100709219/100699484/100707971/100697571/100696779/100692252/100705233/100705966/100696566/100693657/100698573/100707013/100706609/100699878/100700904/100698523/100692052/100705849
onl04672	Intestinal immune network for IgA production	67	-0.446491500481211	-1.6909927980571	0.00306644614638121	0.0419867241581427	0.0337681518953721	4721	tags=37%, list=23%, signal=29%	100701969/109194343/100703853/102081732/100694279/109202867/102077250/106098650/100701693/100692000/100709378/102077649/100703947/100694653/100692508/100692238/100701975/102077087/100702234/100710971/100703581/102079592/100696663/112841757/100709445
