cluster	GO	Description	category_Mu	category_Me	NES_sol_Mu	NES_grp_Mu	NES_sol_Me	NES_grp_Me	delta_NES_Mu	delta_NES_Me	padj_Mu_sol	padj_Mu_grp	padj_Me_sol	padj_Me_grp
1	GO:0072359	circulatory system development	shared_same_direction	group_specific	-2.05996834967402	-2.32698383232646	NA	-2.06958708662633	-0.26701548265244	NA	6.71480870458121e-05	1.3775e-08	NA	8.11889294052306e-06
1	GO:0007389	pattern specification process	solitary_specific	NA	-2.1177257166234	NA	NA	NA	NA	NA	0.00242943170186171	NA	NA	NA
1	GO:0048646	anatomical structure formation involved in morphogenesis	shared_same_direction	NA	-1.7003021050049	-2.22528056940023	NA	NA	-0.52497846439533	NA	0.0204608214072981	2.98789395665997e-07	NA	NA
1	GO:0035239	tube morphogenesis	group_specific	group_specific	NA	-2.29307697829429	NA	-1.7548369065297	NA	NA	NA	5.71550502693239e-07	NA	0.0112397629602102
1	GO:0007411	axon guidance	group_specific	NA	NA	-1.82400094850983	NA	NA	NA	NA	NA	0.000707846197462295	NA	NA
1	GO:0009888	tissue development	group_specific	NA	NA	-1.79339357338591	NA	NA	NA	NA	NA	0.00128149381226548	NA	NA
1	GO:0045165	cell fate commitment	group_specific	NA	NA	-1.95353167306696	NA	NA	NA	NA	NA	0.00316471501197295	NA	NA
1	GO:0061061	muscle structure development	group_specific	NA	NA	-1.81145034176677	NA	NA	NA	NA	NA	0.00992920734575541	NA	NA
1	GO:0000902	cell morphogenesis	group_specific	group_specific	NA	-1.46984418972172	NA	-1.43895819196553	NA	NA	NA	0.0117278423397062	NA	0.0462708322810336
1	GO:0050767	regulation of neurogenesis	group_specific	NA	NA	-1.69158714526293	NA	NA	NA	NA	NA	0.0126041872711949	NA	NA
1	GO:0120039	plasma membrane bounded cell projection morphogenesis	group_specific	group_specific	NA	-1.5055015974873	NA	-1.48982584226245	NA	NA	NA	0.0195391573827657	NA	0.0281278952736711
1	GO:0007286	spermatid development	NA	solitary_specific	NA	NA	-2.00193080345012	NA	NA	NA	NA	NA	0.0491344171264995	NA
1	GO:0048699	generation of neurons	NA	group_specific	NA	NA	NA	-1.48250549860422	NA	NA	NA	NA	NA	0.0100092838939889
1	GO:0048667	cell morphogenesis involved in neuron differentiation	NA	group_specific	NA	NA	NA	-1.57381688763463	NA	NA	NA	NA	NA	0.0100613237389103
1	GO:0048729	tissue morphogenesis	NA	group_specific	NA	NA	NA	-1.87331209613006	NA	NA	NA	NA	NA	0.0268757702331642
1	GO:0009952	anterior/posterior pattern specification	NA	group_specific	NA	NA	NA	-1.88766979164184	NA	NA	NA	NA	NA	0.0274296433312949
2	GO:0006955	immune response	shared_same_direction	NA	-1.78482518644881	-1.6426526599493	NA	NA	0.14217252649951	NA	6.71480870458121e-05	0.00011922661160408	NA	NA
2	GO:0002252	immune effector process	shared_same_direction	NA	-1.89003522481659	-1.84583482791599	NA	NA	0.0442003969006	NA	0.0114198658025203	0.00383530580836195	NA	NA
2	GO:0016064	immunoglobulin mediated immune response	solitary_specific	NA	-1.92232694579516	NA	NA	NA	NA	NA	0.0117456572873684	NA	NA	NA
2	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	group_specific	NA	NA	-1.98617844926531	NA	NA	NA	NA	NA	0.00362220628404148	NA	NA
2	GO:0019882	antigen processing and presentation	group_specific	NA	NA	-2.00214286282405	NA	NA	NA	NA	NA	0.00404045981586857	NA	NA
2	GO:0006956	complement activation	NA	group_specific	NA	NA	NA	1.85651870621248	NA	NA	NA	NA	NA	0.038931890350006
3	GO:0007167	enzyme-linked receptor protein signaling pathway	shared_same_direction	NA	-1.69190437341127	-1.87593648135362	NA	NA	-0.18403210794235	NA	0.00181656087322132	1.64885321420266e-07	NA	NA
3	GO:1902531	regulation of intracellular signal transduction	solitary_specific	NA	-1.58169158331205	NA	NA	NA	NA	NA	0.0114198658025203	NA	NA	NA
